indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,418,"lao people's dem, republic",la,1,1950,0
total net number of migrants,418,"lao people's dem, republic",la,2,1951,0
total net number of migrants,418,"lao people's dem, republic",la,3,1952,0
total net number of migrants,418,"lao people's dem, republic",la,4,1953,0
total net number of migrants,418,"lao people's dem, republic",la,5,1954,0
total net number of migrants,418,"lao people's dem, republic",la,6,1955,0
total net number of migrants,418,"lao people's dem, republic",la,7,1956,0
total net number of migrants,418,"lao people's dem, republic",la,8,1957,0
total net number of migrants,418,"lao people's dem, republic",la,9,1958,0
total net number of migrants,418,"lao people's dem, republic",la,10,1959,0
total net number of migrants,418,"lao people's dem, republic",la,11,1960,0
total net number of migrants,418,"lao people's dem, republic",la,12,1961,0
total net number of migrants,418,"lao people's dem, republic",la,13,1962,0
total net number of migrants,418,"lao people's dem, republic",la,14,1963,0
total net number of migrants,418,"lao people's dem, republic",la,15,1964,0
total net number of migrants,418,"lao people's dem, republic",la,16,1965,0
total net number of migrants,418,"lao people's dem, republic",la,17,1966,0
total net number of migrants,418,"lao people's dem, republic",la,18,1967,0
total net number of migrants,418,"lao people's dem, republic",la,19,1968,0
total net number of migrants,418,"lao people's dem, republic",la,20,1969,0
total net number of migrants,418,"lao people's dem, republic",la,21,1970,0
total net number of migrants,418,"lao people's dem, republic",la,22,1971,0
total net number of migrants,418,"lao people's dem, republic",la,23,1972,0
total net number of migrants,418,"lao people's dem, republic",la,24,1973,-787
total net number of migrants,418,"lao people's dem, republic",la,25,1974,-6000
total net number of migrants,418,"lao people's dem, republic",la,26,1975,-13881
total net number of migrants,418,"lao people's dem, republic",la,27,1976,-21767
total net number of migrants,418,"lao people's dem, republic",la,28,1977,-26952
total net number of migrants,418,"lao people's dem, republic",la,29,1978,-27256
total net number of migrants,418,"lao people's dem, republic",la,30,1979,-23358
total net number of migrants,418,"lao people's dem, republic",la,31,1980,-17366
total net number of migrants,418,"lao people's dem, republic",la,32,1981,-11080
total net number of migrants,418,"lao people's dem, republic",la,33,1982,-6191
total net number of migrants,418,"lao people's dem, republic",la,34,1983,-4105
total net number of migrants,418,"lao people's dem, republic",la,35,1984,-2698
total net number of migrants,418,"lao people's dem, republic",la,36,1985,-1388
total net number of migrants,418,"lao people's dem, republic",la,37,1986,-485
total net number of migrants,418,"lao people's dem, republic",la,38,1987,0
total net number of migrants,418,"lao people's dem, republic",la,39,1988,-88
total net number of migrants,418,"lao people's dem, republic",la,40,1989,-1288
total net number of migrants,418,"lao people's dem, republic",la,41,1990,-3100
total net number of migrants,418,"lao people's dem, republic",la,42,1991,-5393
total net number of migrants,418,"lao people's dem, republic",la,43,1992,-7501
total net number of migrants,418,"lao people's dem, republic",la,44,1993,-9394
total net number of migrants,418,"lao people's dem, republic",la,45,1994,-11792
total net number of migrants,418,"lao people's dem, republic",la,46,1995,-14290
total net number of migrants,418,"lao people's dem, republic",la,47,1996,-16589
total net number of migrants,418,"lao people's dem, republic",la,48,1997,-32327
total net number of migrants,418,"lao people's dem, republic",la,49,1998,-34039
total net number of migrants,418,"lao people's dem, republic",la,50,1999,-36679
total net number of migrants,418,"lao people's dem, republic",la,51,2000,-34009
total net number of migrants,418,"lao people's dem, republic",la,52,2001,-33600
total net number of migrants,418,"lao people's dem, republic",la,53,2002,-33635
total net number of migrants,418,"lao people's dem, republic",la,54,2003,-36615
total net number of migrants,418,"lao people's dem, republic",la,55,2004,-40174
total net number of migrants,418,"lao people's dem, republic",la,56,2005,-24171
total net number of migrants,418,"lao people's dem, republic",la,57,2006,-24639
total net number of migrants,418,"lao people's dem, republic",la,58,2007,-26808
total net number of migrants,418,"lao people's dem, republic",la,59,2008,-27282
total net number of migrants,418,"lao people's dem, republic",la,60,2009,-27999
total net number of migrants,418,"lao people's dem, republic",la,61,2010,-27446
total net number of migrants,418,"lao people's dem, republic",la,62,2011,-27661
total net number of migrants,418,"lao people's dem, republic",la,63,2012,-26451
total net number of migrants,418,"lao people's dem, republic",la,64,2013,-25256
total net number of migrants,418,"lao people's dem, republic",la,65,2014,-25666
total net number of migrants,418,"lao people's dem, republic",la,66,2015,-12995
total net number of migrants,418,"lao people's dem, republic",la,67,2016,-11401
total net number of migrants,418,"lao people's dem, republic",la,68,2017,-10400
total net number of migrants,418,"lao people's dem, republic",la,69,2018,-10303
total net number of migrants,418,"lao people's dem, republic",la,70,2019,-10303
total net number of migrants,418,"lao people's dem, republic",la,71,2020,-10303
total net number of migrants,418,"lao people's dem, republic",la,72,2021,-10303
total net number of migrants,418,"lao people's dem, republic",la,73,2022,-9999
total net number of migrants,418,"lao people's dem, republic",la,74,2023,-9999
