indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,904,latin america and the caribbean,zj,1,1950,-23226.0
total net number of migrants,904,latin america and the caribbean,zj,2,1951,-101780.0
total net number of migrants,904,latin america and the caribbean,zj,3,1952,-153025.0
total net number of migrants,904,latin america and the caribbean,zj,4,1953,-225622.0
total net number of migrants,904,latin america and the caribbean,zj,5,1954,-238019.0
total net number of migrants,904,latin america and the caribbean,zj,6,1955,-260163.0
total net number of migrants,904,latin america and the caribbean,zj,7,1956,-271392.0
total net number of migrants,904,latin america and the caribbean,zj,8,1957,-284913.0
total net number of migrants,904,latin america and the caribbean,zj,9,1958,-362171.0
total net number of migrants,904,latin america and the caribbean,zj,10,1959,-259662.0
total net number of migrants,904,latin america and the caribbean,zj,11,1960,-241884.0
total net number of migrants,904,latin america and the caribbean,zj,12,1961,-257127.0
total net number of migrants,904,latin america and the caribbean,zj,13,1962,-290963.0
total net number of migrants,904,latin america and the caribbean,zj,14,1963,-316558.0
total net number of migrants,904,latin america and the caribbean,zj,15,1964,-326704.0
total net number of migrants,904,latin america and the caribbean,zj,16,1965,-320577.0
total net number of migrants,904,latin america and the caribbean,zj,17,1966,-382144.0
total net number of migrants,904,latin america and the caribbean,zj,18,1967,-376325.0
total net number of migrants,904,latin america and the caribbean,zj,19,1968,-411179.0
total net number of migrants,904,latin america and the caribbean,zj,20,1969,-431608.0
total net number of migrants,904,latin america and the caribbean,zj,21,1970,-423225.0
total net number of migrants,904,latin america and the caribbean,zj,22,1971,-487974.0
total net number of migrants,904,latin america and the caribbean,zj,23,1972,-500025.0
total net number of migrants,904,latin america and the caribbean,zj,24,1973,-498113.0
total net number of migrants,904,latin america and the caribbean,zj,25,1974,-510210.0
total net number of migrants,904,latin america and the caribbean,zj,26,1975,-542243.0
total net number of migrants,904,latin america and the caribbean,zj,27,1976,-604152.0
total net number of migrants,904,latin america and the caribbean,zj,28,1977,-433663.0
total net number of migrants,904,latin america and the caribbean,zj,29,1978,-456698.0
total net number of migrants,904,latin america and the caribbean,zj,30,1979,-466618.0
total net number of migrants,904,latin america and the caribbean,zj,31,1980,-636260.0
total net number of migrants,904,latin america and the caribbean,zj,32,1981,-924568.0
total net number of migrants,904,latin america and the caribbean,zj,33,1982,-858643.0
total net number of migrants,904,latin america and the caribbean,zj,34,1983,-803802.0
total net number of migrants,904,latin america and the caribbean,zj,35,1984,-878243.0
total net number of migrants,904,latin america and the caribbean,zj,36,1985,-921704.0
total net number of migrants,904,latin america and the caribbean,zj,37,1986,-1026392.0
total net number of migrants,904,latin america and the caribbean,zj,38,1987,-1003865.0
total net number of migrants,904,latin america and the caribbean,zj,39,1988,-927776.0
total net number of migrants,904,latin america and the caribbean,zj,40,1989,-951705.0
total net number of migrants,904,latin america and the caribbean,zj,41,1990,-631497.0
total net number of migrants,904,latin america and the caribbean,zj,42,1991,-786150.0
total net number of migrants,904,latin america and the caribbean,zj,43,1992,-733914.0
total net number of migrants,904,latin america and the caribbean,zj,44,1993,-796460.0
total net number of migrants,904,latin america and the caribbean,zj,45,1994,-724275.0
total net number of migrants,904,latin america and the caribbean,zj,46,1995,-809653.0
total net number of migrants,904,latin america and the caribbean,zj,47,1996,-811676.0
total net number of migrants,904,latin america and the caribbean,zj,48,1997,-799403.0
total net number of migrants,904,latin america and the caribbean,zj,49,1998,-798735.0
total net number of migrants,904,latin america and the caribbean,zj,50,1999,-878011.0
total net number of migrants,904,latin america and the caribbean,zj,51,2000,-944826.0
total net number of migrants,904,latin america and the caribbean,zj,52,2001,-962131.0
total net number of migrants,904,latin america and the caribbean,zj,53,2002,-959173.0
total net number of migrants,904,latin america and the caribbean,zj,54,2003,-1018456.0
total net number of migrants,904,latin america and the caribbean,zj,55,2004,-940766.0
total net number of migrants,904,latin america and the caribbean,zj,56,2005,-1061812.0
total net number of migrants,904,latin america and the caribbean,zj,57,2006,-1024555.0
total net number of migrants,904,latin america and the caribbean,zj,58,2007,-1002916.0
total net number of migrants,904,latin america and the caribbean,zj,59,2008,-1037998.0
total net number of migrants,904,latin america and the caribbean,zj,60,2009,-964640.0
total net number of migrants,904,latin america and the caribbean,zj,61,2010,-596921.0
total net number of migrants,904,latin america and the caribbean,zj,62,2011,-503184.0
total net number of migrants,904,latin america and the caribbean,zj,63,2012,-494659.0
total net number of migrants,904,latin america and the caribbean,zj,64,2013,-540739.0
total net number of migrants,904,latin america and the caribbean,zj,65,2014,-497520.0
total net number of migrants,904,latin america and the caribbean,zj,66,2015,-431002.0
total net number of migrants,904,latin america and the caribbean,zj,67,2016,-145592.0
total net number of migrants,904,latin america and the caribbean,zj,68,2017,-286013.0
total net number of migrants,904,latin america and the caribbean,zj,69,2018,-341119.0
total net number of migrants,904,latin america and the caribbean,zj,70,2019,-427339.0
total net number of migrants,904,latin america and the caribbean,zj,71,2020,-163805.0
total net number of migrants,904,latin america and the caribbean,zj,72,2021,-274248.0
total net number of migrants,904,latin america and the caribbean,zj,73,2022,-175469.0
total net number of migrants,904,latin america and the caribbean,zj,74,2023,-161800.0
