indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,428,latvia,lv,1,1950,5321.0
crude rate of net migration,428,latvia,lv,2,1951,5282.0
crude rate of net migration,428,latvia,lv,3,1952,5298.0
crude rate of net migration,428,latvia,lv,4,1953,5242.0
crude rate of net migration,428,latvia,lv,5,1954,5187.0
crude rate of net migration,428,latvia,lv,6,1955,43586.0
crude rate of net migration,428,latvia,lv,7,1956,5288.0
crude rate of net migration,428,latvia,lv,8,1957,5472.0
crude rate of net migration,428,latvia,lv,9,1958,5732.0
crude rate of net migration,428,latvia,lv,10,1959,6088.0
crude rate of net migration,428,latvia,lv,11,1960,6413.0
crude rate of net migration,428,latvia,lv,12,1961,6601.0
crude rate of net migration,428,latvia,lv,13,1962,6653.0
crude rate of net migration,428,latvia,lv,14,1963,6649.0
crude rate of net migration,428,latvia,lv,15,1964,6632.0
crude rate of net migration,428,latvia,lv,16,1965,6519.0
crude rate of net migration,428,latvia,lv,17,1966,6322.0
crude rate of net migration,428,latvia,lv,18,1967,45266.0
crude rate of net migration,428,latvia,lv,19,1968,5877.0
crude rate of net migration,428,latvia,lv,20,1969,5595.0
crude rate of net migration,428,latvia,lv,21,1970,46143.0
crude rate of net migration,428,latvia,lv,22,1971,4887.0
crude rate of net migration,428,latvia,lv,23,1972,4678.0
crude rate of net migration,428,latvia,lv,24,1973,4595.0
crude rate of net migration,428,latvia,lv,25,1974,4592.0
crude rate of net migration,428,latvia,lv,26,1975,4609.0
crude rate of net migration,428,latvia,lv,27,1976,4667.0
crude rate of net migration,428,latvia,lv,28,1977,4742.0
crude rate of net migration,428,latvia,lv,29,1978,4774.0
crude rate of net migration,428,latvia,lv,30,1979,4784.0
crude rate of net migration,428,latvia,lv,31,1980,4615.0
crude rate of net migration,428,latvia,lv,32,1981,4317.0
crude rate of net migration,428,latvia,lv,33,1982,3929.0
crude rate of net migration,428,latvia,lv,34,1983,3442.0
crude rate of net migration,428,latvia,lv,35,1984,2833.0
crude rate of net migration,428,latvia,lv,36,1985,2095.0
crude rate of net migration,428,latvia,lv,37,1986,1174.0
crude rate of net migration,428,latvia,lv,38,1987,117.0
crude rate of net migration,428,latvia,lv,39,1988,-1131.0
crude rate of net migration,428,latvia,lv,40,1989,-2567.0
crude rate of net migration,428,latvia,lv,41,1990,-3805.0
crude rate of net migration,428,latvia,lv,42,1991,-4845.0
crude rate of net migration,428,latvia,lv,43,1992,-5735.0
crude rate of net migration,428,latvia,lv,44,1993,-6521.0
crude rate of net migration,428,latvia,lv,45,1994,-7195.0
crude rate of net migration,428,latvia,lv,46,1995,-7.76
crude rate of net migration,428,latvia,lv,47,1996,-8191.0
crude rate of net migration,428,latvia,lv,48,1997,-8507.0
crude rate of net migration,428,latvia,lv,49,1998,-8669.0
crude rate of net migration,428,latvia,lv,50,1999,-8669.0
crude rate of net migration,428,latvia,lv,51,2000,-8535.0
crude rate of net migration,428,latvia,lv,52,2001,-8402.0
crude rate of net migration,428,latvia,lv,53,2002,-8257.0
crude rate of net migration,428,latvia,lv,54,2003,-8102.0
crude rate of net migration,428,latvia,lv,55,2004,-7982.0
crude rate of net migration,428,latvia,lv,56,2005,-7856.0
crude rate of net migration,428,latvia,lv,57,2006,-7733.0
crude rate of net migration,428,latvia,lv,58,2007,-7592.0
crude rate of net migration,428,latvia,lv,59,2008,-7.38
crude rate of net migration,428,latvia,lv,60,2009,-7102.0
crude rate of net migration,428,latvia,lv,61,2010,-6792.0
crude rate of net migration,428,latvia,lv,62,2011,-6453.0
crude rate of net migration,428,latvia,lv,63,2012,-6299.0
crude rate of net migration,428,latvia,lv,64,2013,-6135.0
crude rate of net migration,428,latvia,lv,65,2014,-5863.0
crude rate of net migration,428,latvia,lv,66,2015,-5587.0
crude rate of net migration,428,latvia,lv,67,2016,-5225.0
crude rate of net migration,428,latvia,lv,68,2017,-4847.0
crude rate of net migration,428,latvia,lv,69,2018,-4.45
crude rate of net migration,428,latvia,lv,70,2019,-4115.0
crude rate of net migration,428,latvia,lv,71,2020,-3884.0
crude rate of net migration,428,latvia,lv,72,2021,-3.63
crude rate of net migration,428,latvia,lv,73,2022,-4564.0
crude rate of net migration,428,latvia,lv,74,2023,-4.16
