indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,941,least developed countries,xl,1,1950,-272.0
crude rate of net migration,941,least developed countries,xl,2,1951,-336.0
crude rate of net migration,941,least developed countries,xl,3,1952,-607.0
crude rate of net migration,941,least developed countries,xl,4,1953,-1188.0
crude rate of net migration,941,least developed countries,xl,5,1954,-1081.0
crude rate of net migration,941,least developed countries,xl,6,1955,-1133.0
crude rate of net migration,941,least developed countries,xl,7,1956,-1161.0
crude rate of net migration,941,least developed countries,xl,8,1957,-1238.0
crude rate of net migration,941,least developed countries,xl,9,1958,-1957.0
crude rate of net migration,941,least developed countries,xl,10,1959,-0.96
crude rate of net migration,941,least developed countries,xl,11,1960,-682.0
crude rate of net migration,941,least developed countries,xl,12,1961,-365.0
crude rate of net migration,941,least developed countries,xl,13,1962,-484.0
crude rate of net migration,941,least developed countries,xl,14,1963,-472.0
crude rate of net migration,941,least developed countries,xl,15,1964,-294.0
crude rate of net migration,941,least developed countries,xl,16,1965,-212.0
crude rate of net migration,941,least developed countries,xl,17,1966,-0.42
crude rate of net migration,941,least developed countries,xl,18,1967,-0.21
crude rate of net migration,941,least developed countries,xl,19,1968,-305.0
crude rate of net migration,941,least developed countries,xl,20,1969,-824.0
crude rate of net migration,941,least developed countries,xl,21,1970,-1.42
crude rate of net migration,941,least developed countries,xl,22,1971,-1738.0
crude rate of net migration,941,least developed countries,xl,23,1972,-1816.0
crude rate of net migration,941,least developed countries,xl,24,1973,-1511.0
crude rate of net migration,941,least developed countries,xl,25,1974,-1273.0
crude rate of net migration,941,least developed countries,xl,26,1975,-1955.0
crude rate of net migration,941,least developed countries,xl,27,1976,-2646.0
crude rate of net migration,941,least developed countries,xl,28,1977,-3143.0
crude rate of net migration,941,least developed countries,xl,29,1978,-648.0
crude rate of net migration,941,least developed countries,xl,30,1979,-2462.0
crude rate of net migration,941,least developed countries,xl,31,1980,-7177.0
crude rate of net migration,941,least developed countries,xl,32,1981,-5384.0
crude rate of net migration,941,least developed countries,xl,33,1982,-1.49
crude rate of net migration,941,least developed countries,xl,34,1983,-747.0
crude rate of net migration,941,least developed countries,xl,35,1984,-228.0
crude rate of net migration,941,least developed countries,xl,36,1985,-1321.0
crude rate of net migration,941,least developed countries,xl,37,1986,-1928.0
crude rate of net migration,941,least developed countries,xl,38,1987,-2081.0
crude rate of net migration,941,least developed countries,xl,39,1988,-2374.0
crude rate of net migration,941,least developed countries,xl,40,1989,-1836.0
crude rate of net migration,941,least developed countries,xl,41,1990,-3314.0
crude rate of net migration,941,least developed countries,xl,42,1991,-1857.0
crude rate of net migration,941,least developed countries,xl,43,1992,1971.0
crude rate of net migration,941,least developed countries,xl,44,1993,1211.0
crude rate of net migration,941,least developed countries,xl,45,1994,-226.0
crude rate of net migration,941,least developed countries,xl,46,1995,-1169.0
crude rate of net migration,941,least developed countries,xl,47,1996,-1909.0
crude rate of net migration,941,least developed countries,xl,48,1997,-2207.0
crude rate of net migration,941,least developed countries,xl,49,1998,-1647.0
crude rate of net migration,941,least developed countries,xl,50,1999,-1665.0
crude rate of net migration,941,least developed countries,xl,51,2000,-3412.0
crude rate of net migration,941,least developed countries,xl,52,2001,-1926.0
crude rate of net migration,941,least developed countries,xl,53,2002,33.0
crude rate of net migration,941,least developed countries,xl,54,2003,-1456.0
crude rate of net migration,941,least developed countries,xl,55,2004,-2197.0
crude rate of net migration,941,least developed countries,xl,56,2005,-1664.0
crude rate of net migration,941,least developed countries,xl,57,2006,-2593.0
crude rate of net migration,941,least developed countries,xl,58,2007,-3359.0
crude rate of net migration,941,least developed countries,xl,59,2008,-2.68
crude rate of net migration,941,least developed countries,xl,60,2009,-2347.0
crude rate of net migration,941,least developed countries,xl,61,2010,-1883.0
crude rate of net migration,941,least developed countries,xl,62,2011,-1309.0
crude rate of net migration,941,least developed countries,xl,63,2012,-1412.0
crude rate of net migration,941,least developed countries,xl,64,2013,-1069.0
crude rate of net migration,941,least developed countries,xl,65,2014,-1221.0
crude rate of net migration,941,least developed countries,xl,66,2015,-1.4
crude rate of net migration,941,least developed countries,xl,67,2016,-488.0
crude rate of net migration,941,least developed countries,xl,68,2017,-892.0
crude rate of net migration,941,least developed countries,xl,69,2018,-1023.0
crude rate of net migration,941,least developed countries,xl,70,2019,-883.0
crude rate of net migration,941,least developed countries,xl,71,2020,0.09
crude rate of net migration,941,least developed countries,xl,72,2021,-474.0
crude rate of net migration,941,least developed countries,xl,73,2022,-894.0
crude rate of net migration,941,least developed countries,xl,74,2023,-0.87
