indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,422,lebanon,lb,1,1950,0.0
crude rate of net migration,422,lebanon,lb,2,1951,0.0
crude rate of net migration,422,lebanon,lb,3,1952,0.0
crude rate of net migration,422,lebanon,lb,4,1953,0.0
crude rate of net migration,422,lebanon,lb,5,1954,0.0
crude rate of net migration,422,lebanon,lb,6,1955,0.0
crude rate of net migration,422,lebanon,lb,7,1956,0.0
crude rate of net migration,422,lebanon,lb,8,1957,0.0
crude rate of net migration,422,lebanon,lb,9,1958,0.0
crude rate of net migration,422,lebanon,lb,10,1959,0.0
crude rate of net migration,422,lebanon,lb,11,1960,0.0
crude rate of net migration,422,lebanon,lb,12,1961,2617.0
crude rate of net migration,422,lebanon,lb,13,1962,2392.0
crude rate of net migration,422,lebanon,lb,14,1963,2167.0
crude rate of net migration,422,lebanon,lb,15,1964,646.0
crude rate of net migration,422,lebanon,lb,16,1965,-355.0
crude rate of net migration,422,lebanon,lb,17,1966,1336.0
crude rate of net migration,422,lebanon,lb,18,1967,-1557.0
crude rate of net migration,422,lebanon,lb,19,1968,1994.0
crude rate of net migration,422,lebanon,lb,20,1969,0.0
crude rate of net migration,422,lebanon,lb,21,1970,-1891.0
crude rate of net migration,422,lebanon,lb,22,1971,1246.0
crude rate of net migration,422,lebanon,lb,23,1972,117.0
crude rate of net migration,422,lebanon,lb,24,1973,188.0
crude rate of net migration,422,lebanon,lb,25,1974,-1454.0
crude rate of net migration,422,lebanon,lb,26,1975,0.0
crude rate of net migration,422,lebanon,lb,27,1976,257349.0
crude rate of net migration,422,lebanon,lb,28,1977,0.0
crude rate of net migration,422,lebanon,lb,29,1978,-196805.0
crude rate of net migration,422,lebanon,lb,30,1979,-724.0
crude rate of net migration,422,lebanon,lb,31,1980,0.71
crude rate of net migration,422,lebanon,lb,32,1981,-594.0
crude rate of net migration,422,lebanon,lb,33,1982,-4219.0
crude rate of net migration,422,lebanon,lb,34,1983,-4673.0
crude rate of net migration,422,lebanon,lb,35,1984,-0.88
crude rate of net migration,422,lebanon,lb,36,1985,-343.0
crude rate of net migration,422,lebanon,lb,37,1986,10193.0
crude rate of net migration,422,lebanon,lb,38,1987,179.0
crude rate of net migration,422,lebanon,lb,39,1988,-554.0
crude rate of net migration,422,lebanon,lb,40,1989,-518.0
crude rate of net migration,422,lebanon,lb,41,1990,-1834.0
crude rate of net migration,422,lebanon,lb,42,1991,316.0
crude rate of net migration,422,lebanon,lb,43,1992,-259.0
crude rate of net migration,422,lebanon,lb,44,1993,-1.36
crude rate of net migration,422,lebanon,lb,45,1994,-1247.0
crude rate of net migration,422,lebanon,lb,46,1995,666.0
crude rate of net migration,422,lebanon,lb,47,1996,785.0
crude rate of net migration,422,lebanon,lb,48,1997,0.32
crude rate of net migration,422,lebanon,lb,49,1998,254.0
crude rate of net migration,422,lebanon,lb,50,1999,609.0
crude rate of net migration,422,lebanon,lb,51,2000,105.0
crude rate of net migration,422,lebanon,lb,52,2001,-249.0
crude rate of net migration,422,lebanon,lb,53,2002,-4833.0
crude rate of net migration,422,lebanon,lb,54,2003,372.0
crude rate of net migration,422,lebanon,lb,55,2004,1088.0
crude rate of net migration,422,lebanon,lb,56,2005,264.0
crude rate of net migration,422,lebanon,lb,57,2006,5338.0
crude rate of net migration,422,lebanon,lb,58,2007,5827.0
crude rate of net migration,422,lebanon,lb,59,2008,88.0
crude rate of net migration,422,lebanon,lb,60,2009,-545.0
crude rate of net migration,422,lebanon,lb,61,2010,-8154.0
crude rate of net migration,422,lebanon,lb,62,2011,445.0
crude rate of net migration,422,lebanon,lb,63,2012,24318.0
crude rate of net migration,422,lebanon,lb,64,2013,138069.0
crude rate of net migration,422,lebanon,lb,65,2014,49165.0
crude rate of net migration,422,lebanon,lb,66,2015,-34.36
crude rate of net migration,422,lebanon,lb,67,2016,-35814.0
crude rate of net migration,422,lebanon,lb,68,2017,-37107.0
crude rate of net migration,422,lebanon,lb,69,2018,-38491.0
crude rate of net migration,422,lebanon,lb,70,2019,-40261.0
crude rate of net migration,422,lebanon,lb,71,2020,-20124.0
crude rate of net migration,422,lebanon,lb,72,2021,-20377.0
crude rate of net migration,422,lebanon,lb,73,2022,-28772.0
crude rate of net migration,422,lebanon,lb,74,2023,-32589.0
