indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,426,lesotho,ls,1,1950,-985.0
total net number of migrants,426,lesotho,ls,2,1951,-1072.0
total net number of migrants,426,lesotho,ls,3,1952,-1154.0
total net number of migrants,426,lesotho,ls,4,1953,-1231.0
total net number of migrants,426,lesotho,ls,5,1954,-1314.0
total net number of migrants,426,lesotho,ls,6,1955,-1386.0
total net number of migrants,426,lesotho,ls,7,1956,-1433.0
total net number of migrants,426,lesotho,ls,8,1957,1950.0
total net number of migrants,426,lesotho,ls,9,1958,2174.0
total net number of migrants,426,lesotho,ls,10,1959,2386.0
total net number of migrants,426,lesotho,ls,11,1960,2591.0
total net number of migrants,426,lesotho,ls,12,1961,2772.0
total net number of migrants,426,lesotho,ls,13,1962,2966.0
total net number of migrants,426,lesotho,ls,14,1963,3170.0
total net number of migrants,426,lesotho,ls,15,1964,3367.0
total net number of migrants,426,lesotho,ls,16,1965,4055.0
total net number of migrants,426,lesotho,ls,17,1966,5459.0
total net number of migrants,426,lesotho,ls,18,1967,9797.0
total net number of migrants,426,lesotho,ls,19,1968,10287.0
total net number of migrants,426,lesotho,ls,20,1969,10316.0
total net number of migrants,426,lesotho,ls,21,1970,10278.0
total net number of migrants,426,lesotho,ls,22,1971,10211.0
total net number of migrants,426,lesotho,ls,23,1972,10172.0
total net number of migrants,426,lesotho,ls,24,1973,10202.0
total net number of migrants,426,lesotho,ls,25,1974,10300.0
total net number of migrants,426,lesotho,ls,26,1975,8959.0
total net number of migrants,426,lesotho,ls,27,1976,5641.0
total net number of migrants,426,lesotho,ls,28,1977,1123.0
total net number of migrants,426,lesotho,ls,29,1978,947.0
total net number of migrants,426,lesotho,ls,30,1979,960.0
total net number of migrants,426,lesotho,ls,31,1980,950.0
total net number of migrants,426,lesotho,ls,32,1981,960.0
total net number of migrants,426,lesotho,ls,33,1982,967.0
total net number of migrants,426,lesotho,ls,34,1983,1016.0
total net number of migrants,426,lesotho,ls,35,1984,1065.0
total net number of migrants,426,lesotho,ls,36,1985,398.0
total net number of migrants,426,lesotho,ls,37,1986,-1321.0
total net number of migrants,426,lesotho,ls,38,1987,-9727.0
total net number of migrants,426,lesotho,ls,39,1988,-11357.0
total net number of migrants,426,lesotho,ls,40,1989,-12087.0
total net number of migrants,426,lesotho,ls,41,1990,-12891.0
total net number of migrants,426,lesotho,ls,42,1991,-13676.0
total net number of migrants,426,lesotho,ls,43,1992,-14381.0
total net number of migrants,426,lesotho,ls,44,1993,-15018.0
total net number of migrants,426,lesotho,ls,45,1994,-15511.0
total net number of migrants,426,lesotho,ls,46,1995,-16279.0
total net number of migrants,426,lesotho,ls,47,1996,-17727.0
total net number of migrants,426,lesotho,ls,48,1997,-20220.0
total net number of migrants,426,lesotho,ls,49,1998,-21347.0
total net number of migrants,426,lesotho,ls,50,1999,-22483.0
total net number of migrants,426,lesotho,ls,51,2000,-23572.0
total net number of migrants,426,lesotho,ls,52,2001,-24606.0
total net number of migrants,426,lesotho,ls,53,2002,-25582.0
total net number of migrants,426,lesotho,ls,54,2003,-26420.0
total net number of migrants,426,lesotho,ls,55,2004,-27129.0
total net number of migrants,426,lesotho,ls,56,2005,-22692.0
total net number of migrants,426,lesotho,ls,57,2006,-11085.0
total net number of migrants,426,lesotho,ls,58,2007,-9748.0
total net number of migrants,426,lesotho,ls,59,2008,-3102.0
total net number of migrants,426,lesotho,ls,60,2009,-4626.0
total net number of migrants,426,lesotho,ls,61,2010,-6204.0
total net number of migrants,426,lesotho,ls,62,2011,-6852.0
total net number of migrants,426,lesotho,ls,63,2012,-6827.0
total net number of migrants,426,lesotho,ls,64,2013,-6452.0
total net number of migrants,426,lesotho,ls,65,2014,-5466.0
total net number of migrants,426,lesotho,ls,66,2015,-4129.0
total net number of migrants,426,lesotho,ls,67,2016,-3861.0
total net number of migrants,426,lesotho,ls,68,2017,-3327.0
total net number of migrants,426,lesotho,ls,69,2018,-3234.0
total net number of migrants,426,lesotho,ls,70,2019,-2989.0
total net number of migrants,426,lesotho,ls,71,2020,-1490.0
total net number of migrants,426,lesotho,ls,72,2021,-1490.0
total net number of migrants,426,lesotho,ls,73,2022,-4000.0
total net number of migrants,426,lesotho,ls,74,2023,-4000.0
