indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,430,liberia,lr,1,1950,-682.0
crude rate of net migration,430,liberia,lr,2,1951,-301.0
crude rate of net migration,430,liberia,lr,3,1952,-0.1
crude rate of net migration,430,liberia,lr,4,1953,-201.0
crude rate of net migration,430,liberia,lr,5,1954,0.39
crude rate of net migration,430,liberia,lr,6,1955,739.0
crude rate of net migration,430,liberia,lr,7,1956,1003.0
crude rate of net migration,430,liberia,lr,8,1957,1059.0
crude rate of net migration,430,liberia,lr,9,1958,362.0
crude rate of net migration,430,liberia,lr,10,1959,1358.0
crude rate of net migration,430,liberia,lr,11,1960,1664.0
crude rate of net migration,430,liberia,lr,12,1961,1824.0
crude rate of net migration,430,liberia,lr,13,1962,1834.0
crude rate of net migration,430,liberia,lr,14,1963,1771.0
crude rate of net migration,430,liberia,lr,15,1964,1745.0
crude rate of net migration,430,liberia,lr,16,1965,1893.0
crude rate of net migration,430,liberia,lr,17,1966,1488.0
crude rate of net migration,430,liberia,lr,18,1967,1611.0
crude rate of net migration,430,liberia,lr,19,1968,1421.0
crude rate of net migration,430,liberia,lr,20,1969,1397.0
crude rate of net migration,430,liberia,lr,21,1970,1568.0
crude rate of net migration,430,liberia,lr,22,1971,869.0
crude rate of net migration,430,liberia,lr,23,1972,1313.0
crude rate of net migration,430,liberia,lr,24,1973,1443.0
crude rate of net migration,430,liberia,lr,25,1974,1288.0
crude rate of net migration,430,liberia,lr,26,1975,44562.0
crude rate of net migration,430,liberia,lr,27,1976,733.0
crude rate of net migration,430,liberia,lr,28,1977,2008.0
crude rate of net migration,430,liberia,lr,29,1978,1919.0
crude rate of net migration,430,liberia,lr,30,1979,1863.0
crude rate of net migration,430,liberia,lr,31,1980,2079.0
crude rate of net migration,430,liberia,lr,32,1981,1386.0
crude rate of net migration,430,liberia,lr,33,1982,1239.0
crude rate of net migration,430,liberia,lr,34,1983,3735.0
crude rate of net migration,430,liberia,lr,35,1984,3464.0
crude rate of net migration,430,liberia,lr,36,1985,3346.0
crude rate of net migration,430,liberia,lr,37,1986,2838.0
crude rate of net migration,430,liberia,lr,38,1987,2884.0
crude rate of net migration,430,liberia,lr,39,1988,3176.0
crude rate of net migration,430,liberia,lr,40,1989,3256.0
crude rate of net migration,430,liberia,lr,41,1990,-277643.0
crude rate of net migration,430,liberia,lr,42,1991,41068.0
crude rate of net migration,430,liberia,lr,43,1992,27.76
crude rate of net migration,430,liberia,lr,44,1993,3428.0
crude rate of net migration,430,liberia,lr,45,1994,-55531.0
crude rate of net migration,430,liberia,lr,46,1995,25699.0
crude rate of net migration,430,liberia,lr,47,1996,-17056.0
crude rate of net migration,430,liberia,lr,48,1997,125.49
crude rate of net migration,430,liberia,lr,49,1998,38299.0
crude rate of net migration,430,liberia,lr,50,1999,19411.0
crude rate of net migration,430,liberia,lr,51,2000,-711.0
crude rate of net migration,430,liberia,lr,52,2001,2398.0
crude rate of net migration,430,liberia,lr,53,2002,-7521.0
crude rate of net migration,430,liberia,lr,54,2003,-33.01
crude rate of net migration,430,liberia,lr,55,2004,-0.32
crude rate of net migration,430,liberia,lr,56,2005,31405.0
crude rate of net migration,430,liberia,lr,57,2006,22.81
crude rate of net migration,430,liberia,lr,58,2007,18137.0
crude rate of net migration,430,liberia,lr,59,2008,22372.0
crude rate of net migration,430,liberia,lr,60,2009,306.0
crude rate of net migration,430,liberia,lr,61,2010,709.0
crude rate of net migration,430,liberia,lr,62,2011,22242.0
crude rate of net migration,430,liberia,lr,63,2012,-5916.0
crude rate of net migration,430,liberia,lr,64,2013,-4956.0
crude rate of net migration,430,liberia,lr,65,2014,-5889.0
crude rate of net migration,430,liberia,lr,66,2015,-3289.0
crude rate of net migration,430,liberia,lr,67,2016,-5683.0
crude rate of net migration,430,liberia,lr,68,2017,-5163.0
crude rate of net migration,430,liberia,lr,69,2018,-4739.0
crude rate of net migration,430,liberia,lr,70,2019,-3943.0
crude rate of net migration,430,liberia,lr,71,2020,-1987.0
crude rate of net migration,430,liberia,lr,72,2021,-2281.0
crude rate of net migration,430,liberia,lr,73,2022,-942.0
crude rate of net migration,430,liberia,lr,74,2023,-922.0
