indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,434,libya,ly,1,1950,-6343.0
total net number of migrants,434,libya,ly,2,1951,-4017.0
total net number of migrants,434,libya,ly,3,1952,-1370.0
total net number of migrants,434,libya,ly,4,1953,1368.0
total net number of migrants,434,libya,ly,5,1954,4014.0
total net number of migrants,434,libya,ly,6,1955,10358.0
total net number of migrants,434,libya,ly,7,1956,11346.0
total net number of migrants,434,libya,ly,8,1957,12354.0
total net number of migrants,434,libya,ly,9,1958,13312.0
total net number of migrants,434,libya,ly,10,1959,14136.0
total net number of migrants,434,libya,ly,11,1960,14784.0
total net number of migrants,434,libya,ly,12,1961,15277.0
total net number of migrants,434,libya,ly,13,1962,15658.0
total net number of migrants,434,libya,ly,14,1963,12715.0
total net number of migrants,434,libya,ly,15,1964,1807.0
total net number of migrants,434,libya,ly,16,1965,-14590.0
total net number of migrants,434,libya,ly,17,1966,-20513.0
total net number of migrants,434,libya,ly,18,1967,-19626.0
total net number of migrants,434,libya,ly,19,1968,-18378.0
total net number of migrants,434,libya,ly,20,1969,-16836.0
total net number of migrants,434,libya,ly,21,1970,-15185.0
total net number of migrants,434,libya,ly,22,1971,-14218.0
total net number of migrants,434,libya,ly,23,1972,-7183.0
total net number of migrants,434,libya,ly,24,1973,17146.0
total net number of migrants,434,libya,ly,25,1974,34131.0
total net number of migrants,434,libya,ly,26,1975,43437.0
total net number of migrants,434,libya,ly,27,1976,45512.0
total net number of migrants,434,libya,ly,28,1977,47725.0
total net number of migrants,434,libya,ly,29,1978,50014.0
total net number of migrants,434,libya,ly,30,1979,52320.0
total net number of migrants,434,libya,ly,31,1980,54588.0
total net number of migrants,434,libya,ly,32,1981,56719.0
total net number of migrants,434,libya,ly,33,1982,58493.0
total net number of migrants,434,libya,ly,34,1983,59955.0
total net number of migrants,434,libya,ly,35,1984,18046.0
total net number of migrants,434,libya,ly,36,1985,11961.0
total net number of migrants,434,libya,ly,37,1986,5843.0
total net number of migrants,434,libya,ly,38,1987,1742.0
total net number of migrants,434,libya,ly,39,1988,1052.0
total net number of migrants,434,libya,ly,40,1989,984.0
total net number of migrants,434,libya,ly,41,1990,947.0
total net number of migrants,434,libya,ly,42,1991,904.0
total net number of migrants,434,libya,ly,43,1992,843.0
total net number of migrants,434,libya,ly,44,1993,426.0
total net number of migrants,434,libya,ly,45,1994,-1762.0
total net number of migrants,434,libya,ly,46,1995,-5066.0
total net number of migrants,434,libya,ly,47,1996,-8448.0
total net number of migrants,434,libya,ly,48,1997,-10908.0
total net number of migrants,434,libya,ly,49,1998,-11479.0
total net number of migrants,434,libya,ly,50,1999,-10203.0
total net number of migrants,434,libya,ly,51,2000,31970.0
total net number of migrants,434,libya,ly,52,2001,31097.0
total net number of migrants,434,libya,ly,53,2002,35582.0
total net number of migrants,434,libya,ly,54,2003,39618.0
total net number of migrants,434,libya,ly,55,2004,42112.0
total net number of migrants,434,libya,ly,56,2005,41035.0
total net number of migrants,434,libya,ly,57,2006,3351.0
total net number of migrants,434,libya,ly,58,2007,12641.0
total net number of migrants,434,libya,ly,59,2008,15257.0
total net number of migrants,434,libya,ly,60,2009,11670.0
total net number of migrants,434,libya,ly,61,2010,9613.0
total net number of migrants,434,libya,ly,62,2011,-862825.0
total net number of migrants,434,libya,ly,63,2012,5211.0
total net number of migrants,434,libya,ly,64,2013,25760.0
total net number of migrants,434,libya,ly,65,2014,-1712.0
total net number of migrants,434,libya,ly,66,2015,-7660.0
total net number of migrants,434,libya,ly,67,2016,-5081.0
total net number of migrants,434,libya,ly,68,2017,9208.0
total net number of migrants,434,libya,ly,69,2018,5835.0
total net number of migrants,434,libya,ly,70,2019,-1352.0
total net number of migrants,434,libya,ly,71,2020,-696.0
total net number of migrants,434,libya,ly,72,2021,-696.0
total net number of migrants,434,libya,ly,73,2022,-2000.0
total net number of migrants,434,libya,ly,74,2023,-2000.0
