indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,438,liechtenstein,li,1,1950,24289.0
crude rate of net migration,438,liechtenstein,li,2,1951,8681.0
crude rate of net migration,438,liechtenstein,li,3,1952,10943.0
crude rate of net migration,438,liechtenstein,li,4,1953,11113.0
crude rate of net migration,438,liechtenstein,li,5,1954,11421.0
crude rate of net migration,438,liechtenstein,li,6,1955,9754.0
crude rate of net migration,438,liechtenstein,li,7,1956,13777.0
crude rate of net migration,438,liechtenstein,li,8,1957,14623.0
crude rate of net migration,438,liechtenstein,li,9,1958,15036.0
crude rate of net migration,438,liechtenstein,li,10,1959,12224.0
crude rate of net migration,438,liechtenstein,li,11,1960,12283.0
crude rate of net migration,438,liechtenstein,li,12,1961,14783.0
crude rate of net migration,438,liechtenstein,li,13,1962,15797.0
crude rate of net migration,438,liechtenstein,li,14,1963,15375.0
crude rate of net migration,438,liechtenstein,li,15,1964,15009.0
crude rate of net migration,438,liechtenstein,li,16,1965,14477.0
crude rate of net migration,438,liechtenstein,li,17,1966,14604.0
crude rate of net migration,438,liechtenstein,li,18,1967,18304.0
crude rate of net migration,438,liechtenstein,li,19,1968,22.16
crude rate of net migration,438,liechtenstein,li,20,1969,20031.0
crude rate of net migration,438,liechtenstein,li,21,1970,18112.0
crude rate of net migration,438,liechtenstein,li,22,1971,11366.0
crude rate of net migration,438,liechtenstein,li,23,1972,9326.0
crude rate of net migration,438,liechtenstein,li,24,1973,11938.0
crude rate of net migration,438,liechtenstein,li,25,1974,9055.0
crude rate of net migration,438,liechtenstein,li,26,1975,11092.0
crude rate of net migration,438,liechtenstein,li,27,1976,9999.0
crude rate of net migration,438,liechtenstein,li,28,1977,43313.0
crude rate of net migration,438,liechtenstein,li,29,1978,9001.0
crude rate of net migration,438,liechtenstein,li,30,1979,11402.0
crude rate of net migration,438,liechtenstein,li,31,1980,10741.0
crude rate of net migration,438,liechtenstein,li,32,1981,8877.0
crude rate of net migration,438,liechtenstein,li,33,1982,9506.0
crude rate of net migration,438,liechtenstein,li,34,1983,9684.0
crude rate of net migration,438,liechtenstein,li,35,1984,10618.0
crude rate of net migration,438,liechtenstein,li,36,1985,10058.0
crude rate of net migration,438,liechtenstein,li,37,1986,8657.0
crude rate of net migration,438,liechtenstein,li,38,1987,12328.0
crude rate of net migration,438,liechtenstein,li,39,1988,9423.0
crude rate of net migration,438,liechtenstein,li,40,1989,8824.0
crude rate of net migration,438,liechtenstein,li,41,1990,7573.0
crude rate of net migration,438,liechtenstein,li,42,1991,7808.0
crude rate of net migration,438,liechtenstein,li,43,1992,7907.0
crude rate of net migration,438,liechtenstein,li,44,1993,8769.0
crude rate of net migration,438,liechtenstein,li,45,1994,7586.0
crude rate of net migration,438,liechtenstein,li,46,1995,9369.0
crude rate of net migration,438,liechtenstein,li,47,1996,7916.0
crude rate of net migration,438,liechtenstein,li,48,1997,8217.0
crude rate of net migration,438,liechtenstein,li,49,1998,6357.0
crude rate of net migration,438,liechtenstein,li,50,1999,6364.0
crude rate of net migration,438,liechtenstein,li,51,2000,6322.0
crude rate of net migration,438,liechtenstein,li,52,2001,44988.0
crude rate of net migration,438,liechtenstein,li,53,2002,4225.0
crude rate of net migration,438,liechtenstein,li,54,2003,4513.0
crude rate of net migration,438,liechtenstein,li,55,2004,12114.0
crude rate of net migration,438,liechtenstein,li,56,2005,4085.0
crude rate of net migration,438,liechtenstein,li,57,2006,22706.0
crude rate of net migration,438,liechtenstein,li,58,2007,3536.0
crude rate of net migration,438,liechtenstein,li,59,2008,24139.0
crude rate of net migration,438,liechtenstein,li,60,2009,3368.0
crude rate of net migration,438,liechtenstein,li,61,2010,2405.0
crude rate of net migration,438,liechtenstein,li,62,2011,4623.0
crude rate of net migration,438,liechtenstein,li,63,2012,5139.0
crude rate of net migration,438,liechtenstein,li,64,2013,5315.0
crude rate of net migration,438,liechtenstein,li,65,2014,4675.0
crude rate of net migration,438,liechtenstein,li,66,2015,3784.0
crude rate of net migration,438,liechtenstein,li,67,2016,4661.0
crude rate of net migration,438,liechtenstein,li,68,2017,4551.0
crude rate of net migration,438,liechtenstein,li,69,2018,5066.0
crude rate of net migration,438,liechtenstein,li,70,2019,4637.0
crude rate of net migration,438,liechtenstein,li,71,2020,4886.0
crude rate of net migration,438,liechtenstein,li,72,2021,5921.0
crude rate of net migration,438,liechtenstein,li,73,2022,3821.0
crude rate of net migration,438,liechtenstein,li,74,2023,3796.0
