indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,438,liechtenstein,li,1,1950,105.0
total net number of migrants,438,liechtenstein,li,2,1951,121.0
total net number of migrants,438,liechtenstein,li,3,1952,155.0
total net number of migrants,438,liechtenstein,li,4,1953,160.0
total net number of migrants,438,liechtenstein,li,5,1954,167.0
total net number of migrants,438,liechtenstein,li,6,1955,145.0
total net number of migrants,438,liechtenstein,li,7,1956,208.0
total net number of migrants,438,liechtenstein,li,8,1957,225.0
total net number of migrants,438,liechtenstein,li,9,1958,236.0
total net number of migrants,438,liechtenstein,li,10,1959,196.0
total net number of migrants,438,liechtenstein,li,11,1960,201.0
total net number of migrants,438,liechtenstein,li,12,1961,247.0
total net number of migrants,438,liechtenstein,li,13,1962,270.0
total net number of migrants,438,liechtenstein,li,14,1963,269.0
total net number of migrants,438,liechtenstein,li,15,1964,269.0
total net number of migrants,438,liechtenstein,li,16,1965,266.0
total net number of migrants,438,liechtenstein,li,17,1966,275.0
total net number of migrants,438,liechtenstein,li,18,1967,353.0
total net number of migrants,438,liechtenstein,li,19,1968,438.0
total net number of migrants,438,liechtenstein,li,20,1969,407.0
total net number of migrants,438,liechtenstein,li,21,1970,378.0
total net number of migrants,438,liechtenstein,li,22,1971,243.0
total net number of migrants,438,liechtenstein,li,23,1972,203.0
total net number of migrants,438,liechtenstein,li,24,1973,264.0
total net number of migrants,438,liechtenstein,li,25,1974,204.0
total net number of migrants,438,liechtenstein,li,26,1975,254.0
total net number of migrants,438,liechtenstein,li,27,1976,233.0
total net number of migrants,438,liechtenstein,li,28,1977,194.0
total net number of migrants,438,liechtenstein,li,29,1978,217.0
total net number of migrants,438,liechtenstein,li,30,1979,279.0
total net number of migrants,438,liechtenstein,li,31,1980,267.0
total net number of migrants,438,liechtenstein,li,32,1981,224.0
total net number of migrants,438,liechtenstein,li,33,1982,243.0
total net number of migrants,438,liechtenstein,li,34,1983,251.0
total net number of migrants,438,liechtenstein,li,35,1984,279.0
total net number of migrants,438,liechtenstein,li,36,1985,268.0
total net number of migrants,438,liechtenstein,li,37,1986,234.0
total net number of migrants,438,liechtenstein,li,38,1987,283.0
total net number of migrants,438,liechtenstein,li,39,1988,262.0
total net number of migrants,438,liechtenstein,li,40,1989,249.0
total net number of migrants,438,liechtenstein,li,41,1990,217.0
total net number of migrants,438,liechtenstein,li,42,1991,227.0
total net number of migrants,438,liechtenstein,li,43,1992,233.0
total net number of migrants,438,liechtenstein,li,44,1993,262.0
total net number of migrants,438,liechtenstein,li,45,1994,230.0
total net number of migrants,438,liechtenstein,li,46,1995,288.0
total net number of migrants,438,liechtenstein,li,47,1996,247.0
total net number of migrants,438,liechtenstein,li,48,1997,260.0
total net number of migrants,438,liechtenstein,li,49,1998,204.0
total net number of migrants,438,liechtenstein,li,50,1999,207.0
total net number of migrants,438,liechtenstein,li,51,2000,208.0
total net number of migrants,438,liechtenstein,li,52,2001,110.0
total net number of migrants,438,liechtenstein,li,53,2002,142.0
total net number of migrants,438,liechtenstein,li,54,2003,153.0
total net number of migrants,438,liechtenstein,li,55,2004,114.0
total net number of migrants,438,liechtenstein,li,56,2005,141.0
total net number of migrants,438,liechtenstein,li,57,2006,126.0
total net number of migrants,438,liechtenstein,li,58,2007,124.0
total net number of migrants,438,liechtenstein,li,59,2008,94.0
total net number of migrants,438,liechtenstein,li,60,2009,120.0
total net number of migrants,438,liechtenstein,li,61,2010,86.0
total net number of migrants,438,liechtenstein,li,62,2011,167.0
total net number of migrants,438,liechtenstein,li,63,2012,187.0
total net number of migrants,438,liechtenstein,li,64,2013,195.0
total net number of migrants,438,liechtenstein,li,65,2014,173.0
total net number of migrants,438,liechtenstein,li,66,2015,141.0
total net number of migrants,438,liechtenstein,li,67,2016,175.0
total net number of migrants,438,liechtenstein,li,68,2017,172.0
total net number of migrants,438,liechtenstein,li,69,2018,193.0
total net number of migrants,438,liechtenstein,li,70,2019,178.0
total net number of migrants,438,liechtenstein,li,71,2020,189.0
total net number of migrants,438,liechtenstein,li,72,2021,231.0
total net number of migrants,438,liechtenstein,li,73,2022,150.0
total net number of migrants,438,liechtenstein,li,74,2023,150.0
