indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,440,lithuania,lt,1,1950,-942.0
crude rate of net migration,440,lithuania,lt,2,1951,-733.0
crude rate of net migration,440,lithuania,lt,3,1952,-565.0
crude rate of net migration,440,lithuania,lt,4,1953,-366.0
crude rate of net migration,440,lithuania,lt,5,1954,-228.0
crude rate of net migration,440,lithuania,lt,6,1955,-0.19
crude rate of net migration,440,lithuania,lt,7,1956,-217.0
crude rate of net migration,440,lithuania,lt,8,1957,-236.0
crude rate of net migration,440,lithuania,lt,9,1958,-323.0
crude rate of net migration,440,lithuania,lt,10,1959,-362.0
crude rate of net migration,440,lithuania,lt,11,1960,-161.0
crude rate of net migration,440,lithuania,lt,12,1961,-179.0
crude rate of net migration,440,lithuania,lt,13,1962,-213.0
crude rate of net migration,440,lithuania,lt,14,1963,-187.0
crude rate of net migration,440,lithuania,lt,15,1964,-138.0
crude rate of net migration,440,lithuania,lt,16,1965,-67.0
crude rate of net migration,440,lithuania,lt,17,1966,97.0
crude rate of net migration,440,lithuania,lt,18,1967,238.0
crude rate of net migration,440,lithuania,lt,19,1968,686.0
crude rate of net migration,440,lithuania,lt,20,1969,1039.0
crude rate of net migration,440,lithuania,lt,21,1970,1502.0
crude rate of net migration,440,lithuania,lt,22,1971,1319.0
crude rate of net migration,440,lithuania,lt,23,1972,1598.0
crude rate of net migration,440,lithuania,lt,24,1973,2039.0
crude rate of net migration,440,lithuania,lt,25,1974,2393.0
crude rate of net migration,440,lithuania,lt,26,1975,25965.0
crude rate of net migration,440,lithuania,lt,27,1976,3021.0
crude rate of net migration,440,lithuania,lt,28,1977,3136.0
crude rate of net migration,440,lithuania,lt,29,1978,3347.0
crude rate of net migration,440,lithuania,lt,30,1979,3557.0
crude rate of net migration,440,lithuania,lt,31,1980,3346.0
crude rate of net migration,440,lithuania,lt,32,1981,3337.0
crude rate of net migration,440,lithuania,lt,33,1982,3192.0
crude rate of net migration,440,lithuania,lt,34,1983,2969.0
crude rate of net migration,440,lithuania,lt,35,1984,2557.0
crude rate of net migration,440,lithuania,lt,36,1985,2151.0
crude rate of net migration,440,lithuania,lt,37,1986,1621.0
crude rate of net migration,440,lithuania,lt,38,1987,894.0
crude rate of net migration,440,lithuania,lt,39,1988,81.0
crude rate of net migration,440,lithuania,lt,40,1989,-806.0
crude rate of net migration,440,lithuania,lt,41,1990,-1901.0
crude rate of net migration,440,lithuania,lt,42,1991,-2722.0
crude rate of net migration,440,lithuania,lt,43,1992,-3481.0
crude rate of net migration,440,lithuania,lt,44,1993,-4103.0
crude rate of net migration,440,lithuania,lt,45,1994,-4794.0
crude rate of net migration,440,lithuania,lt,46,1995,-5428.0
crude rate of net migration,440,lithuania,lt,47,1996,-6065.0
crude rate of net migration,440,lithuania,lt,48,1997,-6767.0
crude rate of net migration,440,lithuania,lt,49,1998,-7365.0
crude rate of net migration,440,lithuania,lt,50,1999,-7969.0
crude rate of net migration,440,lithuania,lt,51,2000,-8642.0
crude rate of net migration,440,lithuania,lt,52,2001,-9277.0
crude rate of net migration,440,lithuania,lt,53,2002,-9598.0
crude rate of net migration,440,lithuania,lt,54,2003,-9992.0
crude rate of net migration,440,lithuania,lt,55,2004,-10297.0
crude rate of net migration,440,lithuania,lt,56,2005,-10453.0
crude rate of net migration,440,lithuania,lt,57,2006,-10443.0
crude rate of net migration,440,lithuania,lt,58,2007,-10279.0
crude rate of net migration,440,lithuania,lt,59,2008,-10012.0
crude rate of net migration,440,lithuania,lt,60,2009,-9607.0
crude rate of net migration,440,lithuania,lt,61,2010,-9154.0
crude rate of net migration,440,lithuania,lt,62,2011,-8495.0
crude rate of net migration,440,lithuania,lt,63,2012,-8019.0
crude rate of net migration,440,lithuania,lt,64,2013,-7495.0
crude rate of net migration,440,lithuania,lt,65,2014,-6948.0
crude rate of net migration,440,lithuania,lt,66,2015,-6.36
crude rate of net migration,440,lithuania,lt,67,2016,-5892.0
crude rate of net migration,440,lithuania,lt,68,2017,-5473.0
crude rate of net migration,440,lithuania,lt,69,2018,-5012.0
crude rate of net migration,440,lithuania,lt,70,2019,-4692.0
crude rate of net migration,440,lithuania,lt,71,2020,-4467.0
crude rate of net migration,440,lithuania,lt,72,2021,-4245.0
crude rate of net migration,440,lithuania,lt,73,2022,-5509.0
crude rate of net migration,440,lithuania,lt,74,2023,-4818.0
