indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,442,luxembourg,lu,1,1950,2798.0
crude rate of net migration,442,luxembourg,lu,2,1951,13547.0
crude rate of net migration,442,luxembourg,lu,3,1952,2034.0
crude rate of net migration,442,luxembourg,lu,4,1953,1748.0
crude rate of net migration,442,luxembourg,lu,5,1954,1559.0
crude rate of net migration,442,luxembourg,lu,6,1955,1435.0
crude rate of net migration,442,luxembourg,lu,7,1956,1345.0
crude rate of net migration,442,luxembourg,lu,8,1957,1322.0
crude rate of net migration,442,luxembourg,lu,9,1958,1376.0
crude rate of net migration,442,luxembourg,lu,10,1959,1604.0
crude rate of net migration,442,luxembourg,lu,11,1960,92.0
crude rate of net migration,442,luxembourg,lu,12,1961,6315.0
crude rate of net migration,442,luxembourg,lu,13,1962,6716.0
crude rate of net migration,442,luxembourg,lu,14,1963,6358.0
crude rate of net migration,442,luxembourg,lu,15,1964,15858.0
crude rate of net migration,442,luxembourg,lu,16,1965,6639.0
crude rate of net migration,442,luxembourg,lu,17,1966,6409.0
crude rate of net migration,442,luxembourg,lu,18,1967,2236.0
crude rate of net migration,442,luxembourg,lu,19,1968,2371.0
crude rate of net migration,442,luxembourg,lu,20,1969,2312.0
crude rate of net migration,442,luxembourg,lu,21,1970,2464.0
crude rate of net migration,442,luxembourg,lu,22,1971,12445.0
crude rate of net migration,442,luxembourg,lu,23,1972,11918.0
crude rate of net migration,442,luxembourg,lu,24,1973,7514.0
crude rate of net migration,442,luxembourg,lu,25,1974,7731.0
crude rate of net migration,442,luxembourg,lu,26,1975,8035.0
crude rate of net migration,442,luxembourg,lu,27,1976,7966.0
crude rate of net migration,442,luxembourg,lu,28,1977,7916.0
crude rate of net migration,442,luxembourg,lu,29,1978,8693.0
crude rate of net migration,442,luxembourg,lu,30,1979,1821.0
crude rate of net migration,442,luxembourg,lu,31,1980,2158.0
crude rate of net migration,442,luxembourg,lu,32,1981,991.0
crude rate of net migration,442,luxembourg,lu,33,1982,789.0
crude rate of net migration,442,luxembourg,lu,34,1983,873.0
crude rate of net migration,442,luxembourg,lu,35,1984,487.0
crude rate of net migration,442,luxembourg,lu,36,1985,2626.0
crude rate of net migration,442,luxembourg,lu,37,1986,20210.0
crude rate of net migration,442,luxembourg,lu,38,1987,5741.0
crude rate of net migration,442,luxembourg,lu,39,1988,7176.0
crude rate of net migration,442,luxembourg,lu,40,1989,7758.0
crude rate of net migration,442,luxembourg,lu,41,1990,10345.0
crude rate of net migration,442,luxembourg,lu,42,1991,10391.0
crude rate of net migration,442,luxembourg,lu,43,1992,10098.0
crude rate of net migration,442,luxembourg,lu,44,1993,10039.0
crude rate of net migration,442,luxembourg,lu,45,1994,9379.0
crude rate of net migration,442,luxembourg,lu,46,1995,15615.0
crude rate of net migration,442,luxembourg,lu,47,1996,8669.0
crude rate of net migration,442,luxembourg,lu,48,1997,8629.0
crude rate of net migration,442,luxembourg,lu,49,1998,8832.0
crude rate of net migration,442,luxembourg,lu,50,1999,10869.0
crude rate of net migration,442,luxembourg,lu,51,2000,10168.0
crude rate of net migration,442,luxembourg,lu,52,2001,7598.0
crude rate of net migration,442,luxembourg,lu,53,2002,6038.0
crude rate of net migration,442,luxembourg,lu,54,2003,12037.0
crude rate of net migration,442,luxembourg,lu,55,2004,9838.0
crude rate of net migration,442,luxembourg,lu,56,2005,13407.0
crude rate of net migration,442,luxembourg,lu,57,2006,11856.0
crude rate of net migration,442,luxembourg,lu,58,2007,12974.0
crude rate of net migration,442,luxembourg,lu,59,2008,16424.0
crude rate of net migration,442,luxembourg,lu,60,2009,13641.0
crude rate of net migration,442,luxembourg,lu,61,2010,15486.0
crude rate of net migration,442,luxembourg,lu,62,2011,45037.0
crude rate of net migration,442,luxembourg,lu,63,2012,19508.0
crude rate of net migration,442,luxembourg,lu,64,2013,19623.0
crude rate of net migration,442,luxembourg,lu,65,2014,20313.0
crude rate of net migration,442,luxembourg,lu,66,2015,20176.0
crude rate of net migration,442,luxembourg,lu,67,2016,21723.0
crude rate of net migration,442,luxembourg,lu,68,2017,16168.0
crude rate of net migration,442,luxembourg,lu,69,2018,16747.0
crude rate of net migration,442,luxembourg,lu,70,2019,16861.0
crude rate of net migration,442,luxembourg,lu,71,2020,11088.0
crude rate of net migration,442,luxembourg,lu,72,2021,10928.0
crude rate of net migration,442,luxembourg,lu,73,2022,8096.0
crude rate of net migration,442,luxembourg,lu,74,2023,7485.0
