indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,442,luxembourg,lu,1,1950,829.0
total net number of migrants,442,luxembourg,lu,2,1951,706.0
total net number of migrants,442,luxembourg,lu,3,1952,610.0
total net number of migrants,442,luxembourg,lu,4,1953,527.0
total net number of migrants,442,luxembourg,lu,5,1954,473.0
total net number of migrants,442,luxembourg,lu,6,1955,438.0
total net number of migrants,442,luxembourg,lu,7,1956,413.0
total net number of migrants,442,luxembourg,lu,8,1957,408.0
total net number of migrants,442,luxembourg,lu,9,1958,427.0
total net number of migrants,442,luxembourg,lu,10,1959,501.0
total net number of migrants,442,luxembourg,lu,11,1960,29.0
total net number of migrants,442,luxembourg,lu,12,1961,1993.0
total net number of migrants,442,luxembourg,lu,13,1962,2140.0
total net number of migrants,442,luxembourg,lu,14,1963,2047.0
total net number of migrants,442,luxembourg,lu,15,1964,2092.0
total net number of migrants,442,luxembourg,lu,16,1965,2182.0
total net number of migrants,442,luxembourg,lu,17,1966,2128.0
total net number of migrants,442,luxembourg,lu,18,1967,749.0
total net number of migrants,442,luxembourg,lu,19,1968,798.0
total net number of migrants,442,luxembourg,lu,20,1969,781.0
total net number of migrants,442,luxembourg,lu,21,1970,835.0
total net number of migrants,442,luxembourg,lu,22,1971,4229.0
total net number of migrants,442,luxembourg,lu,23,1972,4098.0
total net number of migrants,442,luxembourg,lu,24,1973,2613.0
total net number of migrants,442,luxembourg,lu,25,1974,2706.0
total net number of migrants,442,luxembourg,lu,26,1975,2830.0
total net number of migrants,442,luxembourg,lu,27,1976,2823.0
total net number of migrants,442,luxembourg,lu,28,1977,2825.0
total net number of migrants,442,luxembourg,lu,29,1978,3125.0
total net number of migrants,442,luxembourg,lu,30,1979,660.0
total net number of migrants,442,luxembourg,lu,31,1980,784.0
total net number of migrants,442,luxembourg,lu,32,1981,361.0
total net number of migrants,442,luxembourg,lu,33,1982,288.0
total net number of migrants,442,luxembourg,lu,34,1983,319.0
total net number of migrants,442,luxembourg,lu,35,1984,178.0
total net number of migrants,442,luxembourg,lu,36,1985,961.0
total net number of migrants,442,luxembourg,lu,37,1986,2038.0
total net number of migrants,442,luxembourg,lu,38,1987,2121.0
total net number of migrants,442,luxembourg,lu,39,1988,2671.0
total net number of migrants,442,luxembourg,lu,40,1989,2913.0
total net number of migrants,442,luxembourg,lu,41,1990,3925.0
total net number of migrants,442,luxembourg,lu,42,1991,3994.0
total net number of migrants,442,luxembourg,lu,43,1992,3934.0
total net number of migrants,442,luxembourg,lu,44,1993,3963.0
total net number of migrants,442,luxembourg,lu,45,1994,3753.0
total net number of migrants,442,luxembourg,lu,46,1995,4225.0
total net number of migrants,442,luxembourg,lu,47,1996,3567.0
total net number of migrants,442,luxembourg,lu,48,1997,3594.0
total net number of migrants,442,luxembourg,lu,49,1998,3724.0
total net number of migrants,442,luxembourg,lu,50,1999,4642.0
total net number of migrants,442,luxembourg,lu,51,2000,4407.0
total net number of migrants,442,luxembourg,lu,52,2001,3339.0
total net number of migrants,442,luxembourg,lu,53,2002,2684.0
total net number of migrants,442,luxembourg,lu,54,2003,5400.0
total net number of migrants,442,luxembourg,lu,55,2004,4482.0
total net number of migrants,442,luxembourg,lu,56,2005,6190.0
total net number of migrants,442,luxembourg,lu,57,2006,5568.0
total net number of migrants,442,luxembourg,lu,58,2007,6185.0
total net number of migrants,442,luxembourg,lu,59,2008,7960.0
total net number of migrants,442,luxembourg,lu,60,2009,6745.0
total net number of migrants,442,luxembourg,lu,61,2010,7793.0
total net number of migrants,442,luxembourg,lu,62,2011,10787.0
total net number of migrants,442,luxembourg,lu,63,2012,10251.0
total net number of migrants,442,luxembourg,lu,64,2013,10553.0
total net number of migrants,442,luxembourg,lu,65,2014,11181.0
total net number of migrants,442,luxembourg,lu,66,2015,11373.0
total net number of migrants,442,luxembourg,lu,67,2016,12535.0
total net number of migrants,442,luxembourg,lu,68,2017,9563.0
total net number of migrants,442,luxembourg,lu,69,2018,10096.0
total net number of migrants,442,luxembourg,lu,70,2019,10365.0
total net number of migrants,442,luxembourg,lu,71,2020,6952.0
total net number of migrants,442,luxembourg,lu,72,2021,6949.0
total net number of migrants,442,luxembourg,lu,73,2022,5222.0
total net number of migrants,442,luxembourg,lu,74,2023,4883.0
