indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,450,madagascar,mg,1,1950,0.0
crude rate of net migration,450,madagascar,mg,2,1951,0.0
crude rate of net migration,450,madagascar,mg,3,1952,0.0
crude rate of net migration,450,madagascar,mg,4,1953,0.0
crude rate of net migration,450,madagascar,mg,5,1954,0.0
crude rate of net migration,450,madagascar,mg,6,1955,0.0
crude rate of net migration,450,madagascar,mg,7,1956,0.0
crude rate of net migration,450,madagascar,mg,8,1957,0.0
crude rate of net migration,450,madagascar,mg,9,1958,0.0
crude rate of net migration,450,madagascar,mg,10,1959,0.0
crude rate of net migration,450,madagascar,mg,11,1960,0.0
crude rate of net migration,450,madagascar,mg,12,1961,0.0
crude rate of net migration,450,madagascar,mg,13,1962,0.0
crude rate of net migration,450,madagascar,mg,14,1963,-3.0
crude rate of net migration,450,madagascar,mg,15,1964,-39.0
crude rate of net migration,450,madagascar,mg,16,1965,-97.0
crude rate of net migration,450,madagascar,mg,17,1966,-164.0
crude rate of net migration,450,madagascar,mg,18,1967,-229.0
crude rate of net migration,450,madagascar,mg,19,1968,-283.0
crude rate of net migration,450,madagascar,mg,20,1969,-343.0
crude rate of net migration,450,madagascar,mg,21,1970,-0.4
crude rate of net migration,450,madagascar,mg,22,1971,-456.0
crude rate of net migration,450,madagascar,mg,23,1972,-507.0
crude rate of net migration,450,madagascar,mg,24,1973,-555.0
crude rate of net migration,450,madagascar,mg,25,1974,-614.0
crude rate of net migration,450,madagascar,mg,26,1975,-0.67
crude rate of net migration,450,madagascar,mg,27,1976,-711.0
crude rate of net migration,450,madagascar,mg,28,1977,-726.0
crude rate of net migration,450,madagascar,mg,29,1978,-696.0
crude rate of net migration,450,madagascar,mg,30,1979,-0.59
crude rate of net migration,450,madagascar,mg,31,1980,-447.0
crude rate of net migration,450,madagascar,mg,32,1981,-311.0
crude rate of net migration,450,madagascar,mg,33,1982,-222.0
crude rate of net migration,450,madagascar,mg,34,1983,-204.0
crude rate of net migration,450,madagascar,mg,35,1984,-197.0
crude rate of net migration,450,madagascar,mg,36,1985,-0.19
crude rate of net migration,450,madagascar,mg,37,1986,-182.0
crude rate of net migration,450,madagascar,mg,38,1987,-174.0
crude rate of net migration,450,madagascar,mg,39,1988,-168.0
crude rate of net migration,450,madagascar,mg,40,1989,-0.16
crude rate of net migration,450,madagascar,mg,41,1990,-151.0
crude rate of net migration,450,madagascar,mg,42,1991,-143.0
crude rate of net migration,450,madagascar,mg,43,1992,-151.0
crude rate of net migration,450,madagascar,mg,44,1993,37.0
crude rate of net migration,450,madagascar,mg,45,1994,36.0
crude rate of net migration,450,madagascar,mg,46,1995,35.0
crude rate of net migration,450,madagascar,mg,47,1996,34.0
crude rate of net migration,450,madagascar,mg,48,1997,33.0
crude rate of net migration,450,madagascar,mg,49,1998,32.0
crude rate of net migration,450,madagascar,mg,50,1999,31.0
crude rate of net migration,450,madagascar,mg,51,2000,0.03
crude rate of net migration,450,madagascar,mg,52,2001,29.0
crude rate of net migration,450,madagascar,mg,53,2002,28.0
crude rate of net migration,450,madagascar,mg,54,2003,27.0
crude rate of net migration,450,madagascar,mg,55,2004,27.0
crude rate of net migration,450,madagascar,mg,56,2005,26.0
crude rate of net migration,450,madagascar,mg,57,2006,25.0
crude rate of net migration,450,madagascar,mg,58,2007,24.0
crude rate of net migration,450,madagascar,mg,59,2008,24.0
crude rate of net migration,450,madagascar,mg,60,2009,23.0
crude rate of net migration,450,madagascar,mg,61,2010,22.0
crude rate of net migration,450,madagascar,mg,62,2011,22.0
crude rate of net migration,450,madagascar,mg,63,2012,21.0
crude rate of net migration,450,madagascar,mg,64,2013,21.0
crude rate of net migration,450,madagascar,mg,65,2014,0.02
crude rate of net migration,450,madagascar,mg,66,2015,0.02
crude rate of net migration,450,madagascar,mg,67,2016,19.0
crude rate of net migration,450,madagascar,mg,68,2017,19.0
crude rate of net migration,450,madagascar,mg,69,2018,18.0
crude rate of net migration,450,madagascar,mg,70,2019,-54.0
crude rate of net migration,450,madagascar,mg,71,2020,-26.0
crude rate of net migration,450,madagascar,mg,72,2021,-26.0
crude rate of net migration,450,madagascar,mg,73,2022,-51.0
crude rate of net migration,450,madagascar,mg,74,2023,-49.0
