indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,454,malawi,mw,1,1950,0.0
crude rate of net migration,454,malawi,mw,2,1951,0.0
crude rate of net migration,454,malawi,mw,3,1952,0.0
crude rate of net migration,454,malawi,mw,4,1953,0.0
crude rate of net migration,454,malawi,mw,5,1954,0.0
crude rate of net migration,454,malawi,mw,6,1955,0.0
crude rate of net migration,454,malawi,mw,7,1956,0.0
crude rate of net migration,454,malawi,mw,8,1957,0.0
crude rate of net migration,454,malawi,mw,9,1958,0.0
crude rate of net migration,454,malawi,mw,10,1959,0.0
crude rate of net migration,454,malawi,mw,11,1960,0.0
crude rate of net migration,454,malawi,mw,12,1961,0.0
crude rate of net migration,454,malawi,mw,13,1962,0.0
crude rate of net migration,454,malawi,mw,14,1963,0.0
crude rate of net migration,454,malawi,mw,15,1964,0.0
crude rate of net migration,454,malawi,mw,16,1965,0.0
crude rate of net migration,454,malawi,mw,17,1966,0.0
crude rate of net migration,454,malawi,mw,18,1967,0.0
crude rate of net migration,454,malawi,mw,19,1968,-298.0
crude rate of net migration,454,malawi,mw,20,1969,-598.0
crude rate of net migration,454,malawi,mw,21,1970,-464.0
crude rate of net migration,454,malawi,mw,22,1971,-151.0
crude rate of net migration,454,malawi,mw,23,1972,0.01
crude rate of net migration,454,malawi,mw,24,1973,325.0
crude rate of net migration,454,malawi,mw,25,1974,743.0
crude rate of net migration,454,malawi,mw,26,1975,974.0
crude rate of net migration,454,malawi,mw,27,1976,1507.0
crude rate of net migration,454,malawi,mw,28,1977,3504.0
crude rate of net migration,454,malawi,mw,29,1978,6253.0
crude rate of net migration,454,malawi,mw,30,1979,26481.0
crude rate of net migration,454,malawi,mw,31,1980,8181.0
crude rate of net migration,454,malawi,mw,32,1981,8616.0
crude rate of net migration,454,malawi,mw,33,1982,8917.0
crude rate of net migration,454,malawi,mw,34,1983,9109.0
crude rate of net migration,454,malawi,mw,35,1984,9348.0
crude rate of net migration,454,malawi,mw,36,1985,9336.0
crude rate of net migration,454,malawi,mw,37,1986,7746.0
crude rate of net migration,454,malawi,mw,38,1987,33006.0
crude rate of net migration,454,malawi,mw,39,1988,23219.0
crude rate of net migration,454,malawi,mw,40,1989,19815.0
crude rate of net migration,454,malawi,mw,41,1990,7481.0
crude rate of net migration,454,malawi,mw,42,1991,1556.0
crude rate of net migration,454,malawi,mw,43,1992,3678.0
crude rate of net migration,454,malawi,mw,44,1993,-27388.0
crude rate of net migration,454,malawi,mw,45,1994,-48658.0
crude rate of net migration,454,malawi,mw,46,1995,-6.54
crude rate of net migration,454,malawi,mw,47,1996,-6401.0
crude rate of net migration,454,malawi,mw,48,1997,-5846.0
crude rate of net migration,454,malawi,mw,49,1998,-3672.0
crude rate of net migration,454,malawi,mw,50,1999,-3095.0
crude rate of net migration,454,malawi,mw,51,2000,-2582.0
crude rate of net migration,454,malawi,mw,52,2001,-2489.0
crude rate of net migration,454,malawi,mw,53,2002,-2543.0
crude rate of net migration,454,malawi,mw,54,2003,-2618.0
crude rate of net migration,454,malawi,mw,55,2004,-2591.0
crude rate of net migration,454,malawi,mw,56,2005,-2.46
crude rate of net migration,454,malawi,mw,57,2006,-2238.0
crude rate of net migration,454,malawi,mw,58,2007,-1678.0
crude rate of net migration,454,malawi,mw,59,2008,-665.0
crude rate of net migration,454,malawi,mw,60,2009,-0.6
crude rate of net migration,454,malawi,mw,61,2010,-633.0
crude rate of net migration,454,malawi,mw,62,2011,-801.0
crude rate of net migration,454,malawi,mw,63,2012,-866.0
crude rate of net migration,454,malawi,mw,64,2013,-805.0
crude rate of net migration,454,malawi,mw,65,2014,-625.0
crude rate of net migration,454,malawi,mw,66,2015,-381.0
crude rate of net migration,454,malawi,mw,67,2016,-316.0
crude rate of net migration,454,malawi,mw,68,2017,-268.0
crude rate of net migration,454,malawi,mw,69,2018,-202.0
crude rate of net migration,454,malawi,mw,70,2019,-118.0
crude rate of net migration,454,malawi,mw,71,2020,-92.0
crude rate of net migration,454,malawi,mw,72,2021,-89.0
crude rate of net migration,454,malawi,mw,73,2022,-294.0
crude rate of net migration,454,malawi,mw,74,2023,-287.0
