indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,454,malawi,mw,1,1950,0.0
total net number of migrants,454,malawi,mw,2,1951,0.0
total net number of migrants,454,malawi,mw,3,1952,0.0
total net number of migrants,454,malawi,mw,4,1953,0.0
total net number of migrants,454,malawi,mw,5,1954,0.0
total net number of migrants,454,malawi,mw,6,1955,0.0
total net number of migrants,454,malawi,mw,7,1956,0.0
total net number of migrants,454,malawi,mw,8,1957,0.0
total net number of migrants,454,malawi,mw,9,1958,0.0
total net number of migrants,454,malawi,mw,10,1959,0.0
total net number of migrants,454,malawi,mw,11,1960,0.0
total net number of migrants,454,malawi,mw,12,1961,0.0
total net number of migrants,454,malawi,mw,13,1962,0.0
total net number of migrants,454,malawi,mw,14,1963,0.0
total net number of migrants,454,malawi,mw,15,1964,0.0
total net number of migrants,454,malawi,mw,16,1965,0.0
total net number of migrants,454,malawi,mw,17,1966,0.0
total net number of migrants,454,malawi,mw,18,1967,0.0
total net number of migrants,454,malawi,mw,19,1968,-1314.0
total net number of migrants,454,malawi,mw,20,1969,-2701.0
total net number of migrants,454,malawi,mw,21,1970,-2149.0
total net number of migrants,454,malawi,mw,22,1971,-716.0
total net number of migrants,454,malawi,mw,23,1972,51.0
total net number of migrants,454,malawi,mw,24,1973,1625.0
total net number of migrants,454,malawi,mw,25,1974,3815.0
total net number of migrants,454,malawi,mw,26,1975,5145.0
total net number of migrants,454,malawi,mw,27,1976,8189.0
total net number of migrants,454,malawi,mw,28,1977,19634.0
total net number of migrants,454,malawi,mw,29,1978,36219.0
total net number of migrants,454,malawi,mw,30,1979,46380.0
total net number of migrants,454,malawi,mw,31,1980,51087.0
total net number of migrants,454,malawi,mw,32,1981,55952.0
total net number of migrants,454,malawi,mw,33,1982,60243.0
total net number of migrants,454,malawi,mw,34,1983,64017.0
total net number of migrants,454,malawi,mw,35,1984,68301.0
total net number of migrants,454,malawi,mw,36,1985,70875.0
total net number of migrants,454,malawi,mw,37,1986,61049.0
total net number of migrants,454,malawi,mw,38,1987,269431.0
total net number of migrants,454,malawi,mw,39,1988,201016.0
total net number of migrants,454,malawi,mw,40,1989,180037.0
total net number of migrants,454,malawi,mw,41,1990,71114.0
total net number of migrants,454,malawi,mw,42,1991,15292.0
total net number of migrants,454,malawi,mw,43,1992,37143.0
total net number of migrants,454,malawi,mw,44,1993,-284877.0
total net number of migrants,454,malawi,mw,45,1994,-505381.0
total net number of migrants,454,malawi,mw,46,1995,-66368.0
total net number of migrants,454,malawi,mw,47,1996,-66214.0
total net number of migrants,454,malawi,mw,48,1997,-61647.0
total net number of migrants,454,malawi,mw,49,1998,-39492.0
total net number of migrants,454,malawi,mw,50,1999,-34028.0
total net number of migrants,454,malawi,mw,51,2000,-29032.0
total net number of migrants,454,malawi,mw,52,2001,-28658.0
total net number of migrants,454,malawi,mw,53,2002,-30010.0
total net number of migrants,454,malawi,mw,54,2003,-31699.0
total net number of migrants,454,malawi,mw,55,2004,-32211.0
total net number of migrants,454,malawi,mw,56,2005,-31428.0
total net number of migrants,454,malawi,mw,57,2006,-29400.0
total net number of migrants,454,malawi,mw,58,2007,-22662.0
total net number of migrants,454,malawi,mw,59,2008,-9242.0
total net number of migrants,454,malawi,mw,60,2009,-8588.0
total net number of migrants,454,malawi,mw,61,2010,-9321.0
total net number of migrants,454,malawi,mw,62,2011,-12133.0
total net number of migrants,454,malawi,mw,63,2012,-13506.0
total net number of migrants,454,malawi,mw,64,2013,-12899.0
total net number of migrants,454,malawi,mw,65,2014,-10309.0
total net number of migrants,454,malawi,mw,66,2015,-6449.0
total net number of migrants,454,malawi,mw,67,2016,-5498.0
total net number of migrants,454,malawi,mw,68,2017,-4795.0
total net number of migrants,454,malawi,mw,69,2018,-3706.0
total net number of migrants,454,malawi,mw,70,2019,-2228.0
total net number of migrants,454,malawi,mw,71,2020,-1775.0
total net number of migrants,454,malawi,mw,72,2021,-1775.0
total net number of migrants,454,malawi,mw,73,2022,-6000.0
total net number of migrants,454,malawi,mw,74,2023,-6000.0
