indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,458,malaysia,my,1,1950,1172.0
crude rate of net migration,458,malaysia,my,2,1951,577.0
crude rate of net migration,458,malaysia,my,3,1952,-0.18
crude rate of net migration,458,malaysia,my,4,1953,-1.18
crude rate of net migration,458,malaysia,my,5,1954,-1.39
crude rate of net migration,458,malaysia,my,6,1955,-1706.0
crude rate of net migration,458,malaysia,my,7,1956,-1918.0
crude rate of net migration,458,malaysia,my,8,1957,-2106.0
crude rate of net migration,458,malaysia,my,9,1958,-2838.0
crude rate of net migration,458,malaysia,my,10,1959,-1757.0
crude rate of net migration,458,malaysia,my,11,1960,-1332.0
crude rate of net migration,458,malaysia,my,12,1961,-1032.0
crude rate of net migration,458,malaysia,my,13,1962,-911.0
crude rate of net migration,458,malaysia,my,14,1963,-944.0
crude rate of net migration,458,malaysia,my,15,1964,-1208.0
crude rate of net migration,458,malaysia,my,16,1965,-1446.0
crude rate of net migration,458,malaysia,my,17,1966,-2232.0
crude rate of net migration,458,malaysia,my,18,1967,-2369.0
crude rate of net migration,458,malaysia,my,19,1968,-2.62
crude rate of net migration,458,malaysia,my,20,1969,-2658.0
crude rate of net migration,458,malaysia,my,21,1970,-2464.0
crude rate of net migration,458,malaysia,my,22,1971,-3129.0
crude rate of net migration,458,malaysia,my,23,1972,-2612.0
crude rate of net migration,458,malaysia,my,24,1973,-2.32
crude rate of net migration,458,malaysia,my,25,1974,-1951.0
crude rate of net migration,458,malaysia,my,26,1975,-1309.0
crude rate of net migration,458,malaysia,my,27,1976,-1133.0
crude rate of net migration,458,malaysia,my,28,1977,546.0
crude rate of net migration,458,malaysia,my,29,1978,471.0
crude rate of net migration,458,malaysia,my,30,1979,338.0
crude rate of net migration,458,malaysia,my,31,1980,501.0
crude rate of net migration,458,malaysia,my,32,1981,-0.13
crude rate of net migration,458,malaysia,my,33,1982,-51.0
crude rate of net migration,458,malaysia,my,34,1983,643.0
crude rate of net migration,458,malaysia,my,35,1984,1655.0
crude rate of net migration,458,malaysia,my,36,1985,13940.0
crude rate of net migration,458,malaysia,my,37,1986,4649.0
crude rate of net migration,458,malaysia,my,38,1987,5807.0
crude rate of net migration,458,malaysia,my,39,1988,6159.0
crude rate of net migration,458,malaysia,my,40,1989,5786.0
crude rate of net migration,458,malaysia,my,41,1990,5407.0
crude rate of net migration,458,malaysia,my,42,1991,4535.0
crude rate of net migration,458,malaysia,my,43,1992,4779.0
crude rate of net migration,458,malaysia,my,44,1993,4679.0
crude rate of net migration,458,malaysia,my,45,1994,5128.0
crude rate of net migration,458,malaysia,my,46,1995,4693.0
crude rate of net migration,458,malaysia,my,47,1996,4953.0
crude rate of net migration,458,malaysia,my,48,1997,12905.0
crude rate of net migration,458,malaysia,my,49,1998,5494.0
crude rate of net migration,458,malaysia,my,50,1999,5579.0
crude rate of net migration,458,malaysia,my,51,2000,7614.0
crude rate of net migration,458,malaysia,my,52,2001,8465.0
crude rate of net migration,458,malaysia,my,53,2002,13759.0
crude rate of net migration,458,malaysia,my,54,2003,9184.0
crude rate of net migration,458,malaysia,my,55,2004,9701.0
crude rate of net migration,458,malaysia,my,56,2005,9519.0
crude rate of net migration,458,malaysia,my,57,2006,9526.0
crude rate of net migration,458,malaysia,my,58,2007,9168.0
crude rate of net migration,458,malaysia,my,59,2008,7899.0
crude rate of net migration,458,malaysia,my,60,2009,6921.0
crude rate of net migration,458,malaysia,my,61,2010,3995.0
crude rate of net migration,458,malaysia,my,62,2011,3958.0
crude rate of net migration,458,malaysia,my,63,2012,3831.0
crude rate of net migration,458,malaysia,my,64,2013,3395.0
crude rate of net migration,458,malaysia,my,65,2014,3101.0
crude rate of net migration,458,malaysia,my,66,2015,2598.0
crude rate of net migration,458,malaysia,my,67,2016,3105.0
crude rate of net migration,458,malaysia,my,68,2017,2451.0
crude rate of net migration,458,malaysia,my,69,2018,1872.0
crude rate of net migration,458,malaysia,my,70,2019,1856.0
crude rate of net migration,458,malaysia,my,71,2020,1733.0
crude rate of net migration,458,malaysia,my,72,2021,1376.0
crude rate of net migration,458,malaysia,my,73,2022,1445.0
crude rate of net migration,458,malaysia,my,74,2023,1429.0
