indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,466,mali,ml,1,1950,-784.0
crude rate of net migration,466,mali,ml,2,1951,-909.0
crude rate of net migration,466,mali,ml,3,1952,-1.27
crude rate of net migration,466,mali,ml,4,1953,-1904.0
crude rate of net migration,466,mali,ml,5,1954,-1851.0
crude rate of net migration,466,mali,ml,6,1955,-1961.0
crude rate of net migration,466,mali,ml,7,1956,-2061.0
crude rate of net migration,466,mali,ml,8,1957,-2242.0
crude rate of net migration,466,mali,ml,9,1958,-3046.0
crude rate of net migration,466,mali,ml,10,1959,-2139.0
crude rate of net migration,466,mali,ml,11,1960,-1.93
crude rate of net migration,466,mali,ml,12,1961,-1873.0
crude rate of net migration,466,mali,ml,13,1962,-1971.0
crude rate of net migration,466,mali,ml,14,1963,-2148.0
crude rate of net migration,466,mali,ml,15,1964,-2344.0
crude rate of net migration,466,mali,ml,16,1965,-2388.0
crude rate of net migration,466,mali,ml,17,1966,-2935.0
crude rate of net migration,466,mali,ml,18,1967,-2873.0
crude rate of net migration,466,mali,ml,19,1968,-3018.0
crude rate of net migration,466,mali,ml,20,1969,-3021.0
crude rate of net migration,466,mali,ml,21,1970,-2843.0
crude rate of net migration,466,mali,ml,22,1971,-3543.0
crude rate of net migration,466,mali,ml,23,1972,-3.09
crude rate of net migration,466,mali,ml,24,1973,-2967.0
crude rate of net migration,466,mali,ml,25,1974,-3.42
crude rate of net migration,466,mali,ml,26,1975,-3974.0
crude rate of net migration,466,mali,ml,27,1976,-4994.0
crude rate of net migration,466,mali,ml,28,1977,-4161.0
crude rate of net migration,466,mali,ml,29,1978,-4457.0
crude rate of net migration,466,mali,ml,30,1979,-4483.0
crude rate of net migration,466,mali,ml,31,1980,-4092.0
crude rate of net migration,466,mali,ml,32,1981,-4531.0
crude rate of net migration,466,mali,ml,33,1982,-4437.0
crude rate of net migration,466,mali,ml,34,1983,-4341.0
crude rate of net migration,466,mali,ml,35,1984,-5891.0
crude rate of net migration,466,mali,ml,36,1985,-7728.0
crude rate of net migration,466,mali,ml,37,1986,-9811.0
crude rate of net migration,466,mali,ml,38,1987,-10703.0
crude rate of net migration,466,mali,ml,39,1988,-10182.0
crude rate of net migration,466,mali,ml,40,1989,-8622.0
crude rate of net migration,466,mali,ml,41,1990,-7668.0
crude rate of net migration,466,mali,ml,42,1991,-8443.0
crude rate of net migration,466,mali,ml,43,1992,-7593.0
crude rate of net migration,466,mali,ml,44,1993,-7231.0
crude rate of net migration,466,mali,ml,45,1994,-6535.0
crude rate of net migration,466,mali,ml,46,1995,-6823.0
crude rate of net migration,466,mali,ml,47,1996,-6701.0
crude rate of net migration,466,mali,ml,48,1997,-5.4
crude rate of net migration,466,mali,ml,49,1998,-2.85
crude rate of net migration,466,mali,ml,50,1999,-1989.0
crude rate of net migration,466,mali,ml,51,2000,-1549.0
crude rate of net migration,466,mali,ml,52,2001,-1081.0
crude rate of net migration,466,mali,ml,53,2002,-746.0
crude rate of net migration,466,mali,ml,54,2003,-954.0
crude rate of net migration,466,mali,ml,55,2004,-847.0
crude rate of net migration,466,mali,ml,56,2005,-1322.0
crude rate of net migration,466,mali,ml,57,2006,-1.34
crude rate of net migration,466,mali,ml,58,2007,-1417.0
crude rate of net migration,466,mali,ml,59,2008,-1684.0
crude rate of net migration,466,mali,ml,60,2009,-2287.0
crude rate of net migration,466,mali,ml,61,2010,-2.22
crude rate of net migration,466,mali,ml,62,2011,-2.69
crude rate of net migration,466,mali,ml,63,2012,-8484.0
crude rate of net migration,466,mali,ml,64,2013,-2409.0
crude rate of net migration,466,mali,ml,65,2014,-2852.0
crude rate of net migration,466,mali,ml,66,2015,-2698.0
crude rate of net migration,466,mali,ml,67,2016,-1618.0
crude rate of net migration,466,mali,ml,68,2017,-1758.0
crude rate of net migration,466,mali,ml,69,2018,-2042.0
crude rate of net migration,466,mali,ml,70,2019,-2157.0
crude rate of net migration,466,mali,ml,71,2020,-705.0
crude rate of net migration,466,mali,ml,72,2021,-1014.0
crude rate of net migration,466,mali,ml,73,2022,-1768.0
crude rate of net migration,466,mali,ml,74,2023,-1715.0
