indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,478,mauritania,mr,1,1950,-358.0
crude rate of net migration,478,mauritania,mr,2,1951,-352.0
crude rate of net migration,478,mauritania,mr,3,1952,-354.0
crude rate of net migration,478,mauritania,mr,4,1953,-369.0
crude rate of net migration,478,mauritania,mr,5,1954,-385.0
crude rate of net migration,478,mauritania,mr,6,1955,-394.0
crude rate of net migration,478,mauritania,mr,7,1956,-403.0
crude rate of net migration,478,mauritania,mr,8,1957,-406.0
crude rate of net migration,478,mauritania,mr,9,1958,-396.0
crude rate of net migration,478,mauritania,mr,10,1959,-389.0
crude rate of net migration,478,mauritania,mr,11,1960,-384.0
crude rate of net migration,478,mauritania,mr,12,1961,-0.39
crude rate of net migration,478,mauritania,mr,13,1962,-392.0
crude rate of net migration,478,mauritania,mr,14,1963,-405.0
crude rate of net migration,478,mauritania,mr,15,1964,-423.0
crude rate of net migration,478,mauritania,mr,16,1965,-453.0
crude rate of net migration,478,mauritania,mr,17,1966,-479.0
crude rate of net migration,478,mauritania,mr,18,1967,-508.0
crude rate of net migration,478,mauritania,mr,19,1968,-544.0
crude rate of net migration,478,mauritania,mr,20,1969,-641.0
crude rate of net migration,478,mauritania,mr,21,1970,-769.0
crude rate of net migration,478,mauritania,mr,22,1971,-881.0
crude rate of net migration,478,mauritania,mr,23,1972,-963.0
crude rate of net migration,478,mauritania,mr,24,1973,-984.0
crude rate of net migration,478,mauritania,mr,25,1974,-1047.0
crude rate of net migration,478,mauritania,mr,26,1975,-1133.0
crude rate of net migration,478,mauritania,mr,27,1976,-1233.0
crude rate of net migration,478,mauritania,mr,28,1977,-2168.0
crude rate of net migration,478,mauritania,mr,29,1978,-2106.0
crude rate of net migration,478,mauritania,mr,30,1979,-2045.0
crude rate of net migration,478,mauritania,mr,31,1980,-1987.0
crude rate of net migration,478,mauritania,mr,32,1981,-1.93
crude rate of net migration,478,mauritania,mr,33,1982,-1873.0
crude rate of net migration,478,mauritania,mr,34,1983,-1819.0
crude rate of net migration,478,mauritania,mr,35,1984,-1766.0
crude rate of net migration,478,mauritania,mr,36,1985,-1715.0
crude rate of net migration,478,mauritania,mr,37,1986,-1666.0
crude rate of net migration,478,mauritania,mr,38,1987,-1618.0
crude rate of net migration,478,mauritania,mr,39,1988,-1571.0
crude rate of net migration,478,mauritania,mr,40,1989,-9146.0
crude rate of net migration,478,mauritania,mr,41,1990,-1495.0
crude rate of net migration,478,mauritania,mr,42,1991,-1.45
crude rate of net migration,478,mauritania,mr,43,1992,16193.0
crude rate of net migration,478,mauritania,mr,44,1993,2781.0
crude rate of net migration,478,mauritania,mr,45,1994,2294.0
crude rate of net migration,478,mauritania,mr,46,1995,-9612.0
crude rate of net migration,478,mauritania,mr,47,1996,-11821.0
crude rate of net migration,478,mauritania,mr,48,1997,-3291.0
crude rate of net migration,478,mauritania,mr,49,1998,-3332.0
crude rate of net migration,478,mauritania,mr,50,1999,-1143.0
crude rate of net migration,478,mauritania,mr,51,2000,-1111.0
crude rate of net migration,478,mauritania,mr,52,2001,-7609.0
crude rate of net migration,478,mauritania,mr,53,2002,-6687.0
crude rate of net migration,478,mauritania,mr,54,2003,-6614.0
crude rate of net migration,478,mauritania,mr,55,2004,-6451.0
crude rate of net migration,478,mauritania,mr,56,2005,-6195.0
crude rate of net migration,478,mauritania,mr,57,2006,-5842.0
crude rate of net migration,478,mauritania,mr,58,2007,-5.4
crude rate of net migration,478,mauritania,mr,59,2008,-2582.0
crude rate of net migration,478,mauritania,mr,60,2009,-768.0
crude rate of net migration,478,mauritania,mr,61,2010,1064.0
crude rate of net migration,478,mauritania,mr,62,2011,2655.0
crude rate of net migration,478,mauritania,mr,63,2012,3879.0
crude rate of net migration,478,mauritania,mr,64,2013,-798.0
crude rate of net migration,478,mauritania,mr,65,2014,-776.0
crude rate of net migration,478,mauritania,mr,66,2015,-764.0
crude rate of net migration,478,mauritania,mr,67,2016,-742.0
crude rate of net migration,478,mauritania,mr,68,2017,-721.0
crude rate of net migration,478,mauritania,mr,69,2018,-699.0
crude rate of net migration,478,mauritania,mr,70,2019,-688.0
crude rate of net migration,478,mauritania,mr,71,2020,-332.0
crude rate of net migration,478,mauritania,mr,72,2021,-324.0
crude rate of net migration,478,mauritania,mr,73,2022,633.0
crude rate of net migration,478,mauritania,mr,74,2023,617.0
