indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,480,mauritius,mu,1,1950,1518.0
crude rate of net migration,480,mauritius,mu,2,1951,1798.0
crude rate of net migration,480,mauritius,mu,3,1952,2097.0
crude rate of net migration,480,mauritius,mu,4,1953,-2828.0
crude rate of net migration,480,mauritius,mu,5,1954,-2725.0
crude rate of net migration,480,mauritius,mu,6,1955,-2491.0
crude rate of net migration,480,mauritius,mu,7,1956,-2108.0
crude rate of net migration,480,mauritius,mu,8,1957,-1726.0
crude rate of net migration,480,mauritius,mu,9,1958,-1427.0
crude rate of net migration,480,mauritius,mu,10,1959,-1181.0
crude rate of net migration,480,mauritius,mu,11,1960,-3678.0
crude rate of net migration,480,mauritius,mu,12,1961,-4355.0
crude rate of net migration,480,mauritius,mu,13,1962,-4172.0
crude rate of net migration,480,mauritius,mu,14,1963,-4542.0
crude rate of net migration,480,mauritius,mu,15,1964,-4331.0
crude rate of net migration,480,mauritius,mu,16,1965,-3723.0
crude rate of net migration,480,mauritius,mu,17,1966,-2848.0
crude rate of net migration,480,mauritius,mu,18,1967,-2236.0
crude rate of net migration,480,mauritius,mu,19,1968,-2357.0
crude rate of net migration,480,mauritius,mu,20,1969,-2537.0
crude rate of net migration,480,mauritius,mu,21,1970,-2637.0
crude rate of net migration,480,mauritius,mu,22,1971,-2926.0
crude rate of net migration,480,mauritius,mu,23,1972,-3.14
crude rate of net migration,480,mauritius,mu,24,1973,-3496.0
crude rate of net migration,480,mauritius,mu,25,1974,-3736.0
crude rate of net migration,480,mauritius,mu,26,1975,-3607.0
crude rate of net migration,480,mauritius,mu,27,1976,-3803.0
crude rate of net migration,480,mauritius,mu,28,1977,-3704.0
crude rate of net migration,480,mauritius,mu,29,1978,-3102.0
crude rate of net migration,480,mauritius,mu,30,1979,-2316.0
crude rate of net migration,480,mauritius,mu,31,1980,-1675.0
crude rate of net migration,480,mauritius,mu,32,1981,-1507.0
crude rate of net migration,480,mauritius,mu,33,1982,-1854.0
crude rate of net migration,480,mauritius,mu,34,1983,-1.29
crude rate of net migration,480,mauritius,mu,35,1984,129.0
crude rate of net migration,480,mauritius,mu,36,1985,788.0
crude rate of net migration,480,mauritius,mu,37,1986,1249.0
crude rate of net migration,480,mauritius,mu,38,1987,121.0
crude rate of net migration,480,mauritius,mu,39,1988,-906.0
crude rate of net migration,480,mauritius,mu,40,1989,-1673.0
crude rate of net migration,480,mauritius,mu,41,1990,-1508.0
crude rate of net migration,480,mauritius,mu,42,1991,-1316.0
crude rate of net migration,480,mauritius,mu,43,1992,-1199.0
crude rate of net migration,480,mauritius,mu,44,1993,-1151.0
crude rate of net migration,480,mauritius,mu,45,1994,-1119.0
crude rate of net migration,480,mauritius,mu,46,1995,-1125.0
crude rate of net migration,480,mauritius,mu,47,1996,-1.15
crude rate of net migration,480,mauritius,mu,48,1997,-1228.0
crude rate of net migration,480,mauritius,mu,49,1998,-1319.0
crude rate of net migration,480,mauritius,mu,50,1999,-1559.0
crude rate of net migration,480,mauritius,mu,51,2000,-2072.0
crude rate of net migration,480,mauritius,mu,52,2001,-2564.0
crude rate of net migration,480,mauritius,mu,53,2002,-2717.0
crude rate of net migration,480,mauritius,mu,54,2003,-2691.0
crude rate of net migration,480,mauritius,mu,55,2004,-2626.0
crude rate of net migration,480,mauritius,mu,56,2005,-2557.0
crude rate of net migration,480,mauritius,mu,57,2006,-2501.0
crude rate of net migration,480,mauritius,mu,58,2007,-2469.0
crude rate of net migration,480,mauritius,mu,59,2008,-2449.0
crude rate of net migration,480,mauritius,mu,60,2009,-2456.0
crude rate of net migration,480,mauritius,mu,61,2010,-2486.0
crude rate of net migration,480,mauritius,mu,62,2011,-2733.0
crude rate of net migration,480,mauritius,mu,63,2012,-2578.0
crude rate of net migration,480,mauritius,mu,64,2013,-2424.0
crude rate of net migration,480,mauritius,mu,65,2014,-2267.0
crude rate of net migration,480,mauritius,mu,66,2015,-2122.0
crude rate of net migration,480,mauritius,mu,67,2016,-1975.0
crude rate of net migration,480,mauritius,mu,68,2017,-1837.0
crude rate of net migration,480,mauritius,mu,69,2018,-1704.0
crude rate of net migration,480,mauritius,mu,70,2019,-797.0
crude rate of net migration,480,mauritius,mu,71,2020,-368.0
crude rate of net migration,480,mauritius,mu,72,2021,-368.0
crude rate of net migration,480,mauritius,mu,73,2022,0.0
crude rate of net migration,480,mauritius,mu,74,2023,0.0
