indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,480,mauritius,mu,1,1950,797.0
total net number of migrants,480,mauritius,mu,2,1951,971.0
total net number of migrants,480,mauritius,mu,3,1952,1164.0
total net number of migrants,480,mauritius,mu,4,1953,-1614.0
total net number of migrants,480,mauritius,mu,5,1954,-1591.0
total net number of migrants,480,mauritius,mu,6,1955,-1489.0
total net number of migrants,480,mauritius,mu,7,1956,-1291.0
total net number of migrants,480,mauritius,mu,8,1957,-1083.0
total net number of migrants,480,mauritius,mu,9,1958,-918.0
total net number of migrants,480,mauritius,mu,10,1959,-780.0
total net number of migrants,480,mauritius,mu,11,1960,-2494.0
total net number of migrants,480,mauritius,mu,12,1961,-3026.0
total net number of migrants,480,mauritius,mu,13,1962,-2968.0
total net number of migrants,480,mauritius,mu,14,1963,-3306.0
total net number of migrants,480,mauritius,mu,15,1964,-3222.0
total net number of migrants,480,mauritius,mu,16,1965,-2829.0
total net number of migrants,480,mauritius,mu,17,1966,-2208.0
total net number of migrants,480,mauritius,mu,18,1967,-1767.0
total net number of migrants,480,mauritius,mu,19,1968,-1896.0
total net number of migrants,480,mauritius,mu,20,1969,-2075.0
total net number of migrants,480,mauritius,mu,21,1970,-2191.0
total net number of migrants,480,mauritius,mu,22,1971,-2468.0
total net number of migrants,480,mauritius,mu,23,1972,-2686.0
total net number of migrants,480,mauritius,mu,24,1973,-3031.0
total net number of migrants,480,mauritius,mu,25,1974,-3282.0
total net number of migrants,480,mauritius,mu,26,1975,-3210.0
total net number of migrants,480,mauritius,mu,27,1976,-3431.0
total net number of migrants,480,mauritius,mu,28,1977,-3388.0
total net number of migrants,480,mauritius,mu,29,1978,-2877.0
total net number of migrants,480,mauritius,mu,30,1979,-2180.0
total net number of migrants,480,mauritius,mu,31,1980,-1601.0
total net number of migrants,480,mauritius,mu,32,1981,-1462.0
total net number of migrants,480,mauritius,mu,33,1982,-1826.0
total net number of migrants,480,mauritius,mu,34,1983,-1288.0
total net number of migrants,480,mauritius,mu,35,1984,130.0
total net number of migrants,480,mauritius,mu,36,1985,807.0
total net number of migrants,480,mauritius,mu,37,1986,1296.0
total net number of migrants,480,mauritius,mu,38,1987,127.0
total net number of migrants,480,mauritius,mu,39,1988,-965.0
total net number of migrants,480,mauritius,mu,40,1989,-1803.0
total net number of migrants,480,mauritius,mu,41,1990,-1646.0
total net number of migrants,480,mauritius,mu,42,1991,-1454.0
total net number of migrants,480,mauritius,mu,43,1992,-1343.0
total net number of migrants,480,mauritius,mu,44,1993,-1305.0
total net number of migrants,480,mauritius,mu,45,1994,-1284.0
total net number of migrants,480,mauritius,mu,46,1995,-1305.0
total net number of migrants,480,mauritius,mu,47,1996,-1349.0
total net number of migrants,480,mauritius,mu,48,1997,-1455.0
total net number of migrants,480,mauritius,mu,49,1998,-1576.0
total net number of migrants,480,mauritius,mu,50,1999,-1882.0
total net number of migrants,480,mauritius,mu,51,2000,-2522.0
total net number of migrants,480,mauritius,mu,52,2001,-3145.0
total net number of migrants,480,mauritius,mu,53,2002,-3357.0
total net number of migrants,480,mauritius,mu,54,2003,-3347.0
total net number of migrants,480,mauritius,mu,55,2004,-3288.0
total net number of migrants,480,mauritius,mu,56,2005,-3221.0
total net number of migrants,480,mauritius,mu,57,2006,-3166.0
total net number of migrants,480,mauritius,mu,58,2007,-3141.0
total net number of migrants,480,mauritius,mu,59,2008,-3127.0
total net number of migrants,480,mauritius,mu,60,2009,-3146.0
total net number of migrants,480,mauritius,mu,61,2010,-3194.0
total net number of migrants,480,mauritius,mu,62,2011,-3520.0
total net number of migrants,480,mauritius,mu,63,2012,-3327.0
total net number of migrants,480,mauritius,mu,64,2013,-3131.0
total net number of migrants,480,mauritius,mu,65,2014,-2932.0
total net number of migrants,480,mauritius,mu,66,2015,-2747.0
total net number of migrants,480,mauritius,mu,67,2016,-2558.0
total net number of migrants,480,mauritius,mu,68,2017,-2381.0
total net number of migrants,480,mauritius,mu,69,2018,-2209.0
total net number of migrants,480,mauritius,mu,70,2019,-1034.0
total net number of migrants,480,mauritius,mu,71,2020,-478.0
total net number of migrants,480,mauritius,mu,72,2021,-478.0
total net number of migrants,480,mauritius,mu,73,2022,0.0
total net number of migrants,480,mauritius,mu,74,2023,0.0
