indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,175,mayotte,yt,1,1950,-130.0
total net number of migrants,175,mayotte,yt,2,1951,-127.0
total net number of migrants,175,mayotte,yt,3,1952,-125.0
total net number of migrants,175,mayotte,yt,4,1953,-125.0
total net number of migrants,175,mayotte,yt,5,1954,-123.0
total net number of migrants,175,mayotte,yt,6,1955,-120.0
total net number of migrants,175,mayotte,yt,7,1956,-116.0
total net number of migrants,175,mayotte,yt,8,1957,-112.0
total net number of migrants,175,mayotte,yt,9,1958,-112.0
total net number of migrants,175,mayotte,yt,10,1959,-112.0
total net number of migrants,175,mayotte,yt,11,1960,-120.0
total net number of migrants,175,mayotte,yt,12,1961,-124.0
total net number of migrants,175,mayotte,yt,13,1962,-125.0
total net number of migrants,175,mayotte,yt,14,1963,-124.0
total net number of migrants,175,mayotte,yt,15,1964,-118.0
total net number of migrants,175,mayotte,yt,16,1965,-109.0
total net number of migrants,175,mayotte,yt,17,1966,-100.0
total net number of migrants,175,mayotte,yt,18,1967,-100.0
total net number of migrants,175,mayotte,yt,19,1968,-139.0
total net number of migrants,175,mayotte,yt,20,1969,-196.0
total net number of migrants,175,mayotte,yt,21,1970,-223.0
total net number of migrants,175,mayotte,yt,22,1971,-216.0
total net number of migrants,175,mayotte,yt,23,1972,-201.0
total net number of migrants,175,mayotte,yt,24,1973,-195.0
total net number of migrants,175,mayotte,yt,25,1974,-182.0
total net number of migrants,175,mayotte,yt,26,1975,-171.0
total net number of migrants,175,mayotte,yt,27,1976,-166.0
total net number of migrants,175,mayotte,yt,28,1977,-96.0
total net number of migrants,175,mayotte,yt,29,1978,108.0
total net number of migrants,175,mayotte,yt,30,1979,379.0
total net number of migrants,175,mayotte,yt,31,1980,516.0
total net number of migrants,175,mayotte,yt,32,1981,572.0
total net number of migrants,175,mayotte,yt,33,1982,620.0
total net number of migrants,175,mayotte,yt,34,1983,649.0
total net number of migrants,175,mayotte,yt,35,1984,731.0
total net number of migrants,175,mayotte,yt,36,1985,1007.0
total net number of migrants,175,mayotte,yt,37,1986,1347.0
total net number of migrants,175,mayotte,yt,38,1987,1539.0
total net number of migrants,175,mayotte,yt,39,1988,1615.0
total net number of migrants,175,mayotte,yt,40,1989,1687.0
total net number of migrants,175,mayotte,yt,41,1990,1739.0
total net number of migrants,175,mayotte,yt,42,1991,1865.0
total net number of migrants,175,mayotte,yt,43,1992,2048.0
total net number of migrants,175,mayotte,yt,44,1993,2206.0
total net number of migrants,175,mayotte,yt,45,1994,2277.0
total net number of migrants,175,mayotte,yt,46,1995,2329.0
total net number of migrants,175,mayotte,yt,47,1996,2210.0
total net number of migrants,175,mayotte,yt,48,1997,1729.0
total net number of migrants,175,mayotte,yt,49,1998,1234.0
total net number of migrants,175,mayotte,yt,50,1999,1104.0
total net number of migrants,175,mayotte,yt,51,2000,1155.0
total net number of migrants,175,mayotte,yt,52,2001,814.0
total net number of migrants,175,mayotte,yt,53,2002,868.0
total net number of migrants,175,mayotte,yt,54,2003,923.0
total net number of migrants,175,mayotte,yt,55,2004,-2768.0
total net number of migrants,175,mayotte,yt,56,2005,-2557.0
total net number of migrants,175,mayotte,yt,57,2006,-2519.0
total net number of migrants,175,mayotte,yt,58,2007,-1227.0
total net number of migrants,175,mayotte,yt,59,2008,-1428.0
total net number of migrants,175,mayotte,yt,60,2009,-1291.0
total net number of migrants,175,mayotte,yt,61,2010,-1283.0
total net number of migrants,175,mayotte,yt,62,2011,-1066.0
total net number of migrants,175,mayotte,yt,63,2012,-216.0
total net number of migrants,175,mayotte,yt,64,2013,875.0
total net number of migrants,175,mayotte,yt,65,2014,1440.0
total net number of migrants,175,mayotte,yt,66,2015,1607.0
total net number of migrants,175,mayotte,yt,67,2016,1737.0
total net number of migrants,175,mayotte,yt,68,2017,1555.0
total net number of migrants,175,mayotte,yt,69,2018,1451.0
total net number of migrants,175,mayotte,yt,70,2019,1492.0
total net number of migrants,175,mayotte,yt,71,2020,746.0
total net number of migrants,175,mayotte,yt,72,2021,746.0
total net number of migrants,175,mayotte,yt,73,2022,0.0
total net number of migrants,175,mayotte,yt,74,2023,0.0
