indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,928,melanesia,mb,1,1950,-2896.0
crude rate of net migration,928,melanesia,mb,2,1951,-2299.0
crude rate of net migration,928,melanesia,mb,3,1952,-1759.0
crude rate of net migration,928,melanesia,mb,4,1953,-1266.0
crude rate of net migration,928,melanesia,mb,5,1954,-851.0
crude rate of net migration,928,melanesia,mb,6,1955,-518.0
crude rate of net migration,928,melanesia,mb,7,1956,-61.0
crude rate of net migration,928,melanesia,mb,8,1957,-153.0
crude rate of net migration,928,melanesia,mb,9,1958,-289.0
crude rate of net migration,928,melanesia,mb,10,1959,-579.0
crude rate of net migration,928,melanesia,mb,11,1960,-912.0
crude rate of net migration,928,melanesia,mb,12,1961,-3911.0
crude rate of net migration,928,melanesia,mb,13,1962,-4438.0
crude rate of net migration,928,melanesia,mb,14,1963,-5453.0
crude rate of net migration,928,melanesia,mb,15,1964,-6243.0
crude rate of net migration,928,melanesia,mb,16,1965,-6443.0
crude rate of net migration,928,melanesia,mb,17,1966,-6199.0
crude rate of net migration,928,melanesia,mb,18,1967,-7116.0
crude rate of net migration,928,melanesia,mb,19,1968,-6861.0
crude rate of net migration,928,melanesia,mb,20,1969,-6552.0
crude rate of net migration,928,melanesia,mb,21,1970,-6338.0
crude rate of net migration,928,melanesia,mb,22,1971,-6286.0
crude rate of net migration,928,melanesia,mb,23,1972,-6522.0
crude rate of net migration,928,melanesia,mb,24,1973,-6786.0
crude rate of net migration,928,melanesia,mb,25,1974,-6886.0
crude rate of net migration,928,melanesia,mb,26,1975,-6981.0
crude rate of net migration,928,melanesia,mb,27,1976,-7005.0
crude rate of net migration,928,melanesia,mb,28,1977,-6.87
crude rate of net migration,928,melanesia,mb,29,1978,-6828.0
crude rate of net migration,928,melanesia,mb,30,1979,-6.88
crude rate of net migration,928,melanesia,mb,31,1980,-6789.0
crude rate of net migration,928,melanesia,mb,32,1981,-6589.0
crude rate of net migration,928,melanesia,mb,33,1982,-6381.0
crude rate of net migration,928,melanesia,mb,34,1983,-6.13
crude rate of net migration,928,melanesia,mb,35,1984,-5893.0
crude rate of net migration,928,melanesia,mb,36,1985,-5864.0
crude rate of net migration,928,melanesia,mb,37,1986,-6301.0
crude rate of net migration,928,melanesia,mb,38,1987,-6.96
crude rate of net migration,928,melanesia,mb,39,1988,-7254.0
crude rate of net migration,928,melanesia,mb,40,1989,-5914.0
crude rate of net migration,928,melanesia,mb,41,1990,-1646.0
crude rate of net migration,928,melanesia,mb,42,1991,1809.0
crude rate of net migration,928,melanesia,mb,43,1992,3824.0
crude rate of net migration,928,melanesia,mb,44,1993,3927.0
crude rate of net migration,928,melanesia,mb,45,1994,4004.0
crude rate of net migration,928,melanesia,mb,46,1995,4176.0
crude rate of net migration,928,melanesia,mb,47,1996,5059.0
crude rate of net migration,928,melanesia,mb,48,1997,5398.0
crude rate of net migration,928,melanesia,mb,49,1998,5389.0
crude rate of net migration,928,melanesia,mb,50,1999,5079.0
crude rate of net migration,928,melanesia,mb,51,2000,4764.0
crude rate of net migration,928,melanesia,mb,52,2001,21641.0
crude rate of net migration,928,melanesia,mb,53,2002,4517.0
crude rate of net migration,928,melanesia,mb,54,2003,4464.0
crude rate of net migration,928,melanesia,mb,55,2004,4406.0
crude rate of net migration,928,melanesia,mb,56,2005,4352.0
crude rate of net migration,928,melanesia,mb,57,2006,4384.0
crude rate of net migration,928,melanesia,mb,58,2007,4248.0
crude rate of net migration,928,melanesia,mb,59,2008,45020.0
crude rate of net migration,928,melanesia,mb,60,2009,3987.0
crude rate of net migration,928,melanesia,mb,61,2010,3997.0
crude rate of net migration,928,melanesia,mb,62,2011,2947.0
crude rate of net migration,928,melanesia,mb,63,2012,2617.0
crude rate of net migration,928,melanesia,mb,64,2013,2309.0
crude rate of net migration,928,melanesia,mb,65,2014,1896.0
crude rate of net migration,928,melanesia,mb,66,2015,1388.0
crude rate of net migration,928,melanesia,mb,67,2016,1179.0
crude rate of net migration,928,melanesia,mb,68,2017,935.0
crude rate of net migration,928,melanesia,mb,69,2018,745.0
crude rate of net migration,928,melanesia,mb,70,2019,578.0
crude rate of net migration,928,melanesia,mb,71,2020,209.0
crude rate of net migration,928,melanesia,mb,72,2021,206.0
crude rate of net migration,928,melanesia,mb,73,2022,-439.0
crude rate of net migration,928,melanesia,mb,74,2023,-411.0
