indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,928,melanesia,mb,1,1950,-6010.0
total net number of migrants,928,melanesia,mb,2,1951,-4862.0
total net number of migrants,928,melanesia,mb,3,1952,-3796.0
total net number of migrants,928,melanesia,mb,4,1953,-2798.0
total net number of migrants,928,melanesia,mb,5,1954,-1928.0
total net number of migrants,928,melanesia,mb,6,1955,-1204.0
total net number of migrants,928,melanesia,mb,7,1956,-145.0
total net number of migrants,928,melanesia,mb,8,1957,-376.0
total net number of migrants,928,melanesia,mb,9,1958,-730.0
total net number of migrants,928,melanesia,mb,10,1959,-1502.0
total net number of migrants,928,melanesia,mb,11,1960,-2433.0
total net number of migrants,928,melanesia,mb,12,1961,-10728.0
total net number of migrants,928,melanesia,mb,13,1962,-12483.0
total net number of migrants,928,melanesia,mb,14,1963,-15719.0
total net number of migrants,928,melanesia,mb,15,1964,-18432.0
total net number of migrants,928,melanesia,mb,16,1965,-19473.0
total net number of migrants,928,melanesia,mb,17,1966,-19180.0
total net number of migrants,928,melanesia,mb,18,1967,-22543.0
total net number of migrants,928,melanesia,mb,19,1968,-22242.0
total net number of migrants,928,melanesia,mb,20,1969,-21744.0
total net number of migrants,928,melanesia,mb,21,1970,-21540.0
total net number of migrants,928,melanesia,mb,22,1971,-21885.0
total net number of migrants,928,melanesia,mb,23,1972,-23259.0
total net number of migrants,928,melanesia,mb,24,1973,-24774.0
total net number of migrants,928,melanesia,mb,25,1974,-25722.0
total net number of migrants,928,melanesia,mb,26,1975,-26671.0
total net number of migrants,928,melanesia,mb,27,1976,-27365.0
total net number of migrants,928,melanesia,mb,28,1977,-27440.0
total net number of migrants,928,melanesia,mb,29,1978,-27881.0
total net number of migrants,928,melanesia,mb,30,1979,-28714.0
total net number of migrants,928,melanesia,mb,31,1980,-28953.0
total net number of migrants,928,melanesia,mb,32,1981,-28712.0
total net number of migrants,928,melanesia,mb,33,1982,-28417.0
total net number of migrants,928,melanesia,mb,34,1983,-27903.0
total net number of migrants,928,melanesia,mb,35,1984,-27428.0
total net number of migrants,928,melanesia,mb,36,1985,-27913.0
total net number of migrants,928,melanesia,mb,37,1986,-30669.0
total net number of migrants,928,melanesia,mb,38,1987,-34626.0
total net number of migrants,928,melanesia,mb,39,1988,-36862.0
total net number of migrants,928,melanesia,mb,40,1989,-30682.0
total net number of migrants,928,melanesia,mb,41,1990,-8730.0
total net number of migrants,928,melanesia,mb,42,1991,9842.0
total net number of migrants,928,melanesia,mb,43,1992,21425.0
total net number of migrants,928,melanesia,mb,44,1993,22688.0
total net number of migrants,928,melanesia,mb,45,1994,23854.0
total net number of migrants,928,melanesia,mb,46,1995,25650.0
total net number of migrants,928,melanesia,mb,47,1996,32035.0
total net number of migrants,928,melanesia,mb,48,1997,35262.0
total net number of migrants,928,melanesia,mb,49,1998,36320.0
total net number of migrants,928,melanesia,mb,50,1999,35313.0
total net number of migrants,928,melanesia,mb,51,2000,34150.0
total net number of migrants,928,melanesia,mb,52,2001,33910.0
total net number of migrants,928,melanesia,mb,53,2002,34376.0
total net number of migrants,928,melanesia,mb,54,2003,34982.0
total net number of migrants,928,melanesia,mb,55,2004,35538.0
total net number of migrants,928,melanesia,mb,56,2005,36122.0
total net number of migrants,928,melanesia,mb,57,2006,37419.0
total net number of migrants,928,melanesia,mb,58,2007,37286.0
total net number of migrants,928,melanesia,mb,59,2008,36448.0
total net number of migrants,928,melanesia,mb,60,2009,36947.0
total net number of migrants,928,melanesia,mb,61,2010,38043.0
total net number of migrants,928,melanesia,mb,62,2011,28804.0
total net number of migrants,928,melanesia,mb,63,2012,26231.0
total net number of migrants,928,melanesia,mb,64,2013,23716.0
total net number of migrants,928,melanesia,mb,65,2014,19940.0
total net number of migrants,928,melanesia,mb,66,2015,14945.0
total net number of migrants,928,melanesia,mb,67,2016,12982.0
total net number of migrants,928,melanesia,mb,68,2017,10515.0
total net number of migrants,928,melanesia,mb,69,2018,8558.0
total net number of migrants,928,melanesia,mb,70,2019,6770.0
total net number of migrants,928,melanesia,mb,71,2020,2505.0
total net number of migrants,928,melanesia,mb,72,2021,2505.0
total net number of migrants,928,melanesia,mb,73,2022,-5450.0
total net number of migrants,928,melanesia,mb,74,2023,-5190.0
