indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,484,mexico,mx,1,1950,-1159.0
crude rate of net migration,484,mexico,mx,2,1951,-3262.0
crude rate of net migration,484,mexico,mx,3,1952,-3.75
crude rate of net migration,484,mexico,mx,4,1953,-4433.0
crude rate of net migration,484,mexico,mx,5,1954,-4.36
crude rate of net migration,484,mexico,mx,6,1955,-4364.0
crude rate of net migration,484,mexico,mx,7,1956,-4357.0
crude rate of net migration,484,mexico,mx,8,1957,-4422.0
crude rate of net migration,484,mexico,mx,9,1958,-5056.0
crude rate of net migration,484,mexico,mx,10,1959,-3297.0
crude rate of net migration,484,mexico,mx,11,1960,-2488.0
crude rate of net migration,484,mexico,mx,12,1961,-1499.0
crude rate of net migration,484,mexico,mx,13,1962,-1545.0
crude rate of net migration,484,mexico,mx,14,1963,-1662.0
crude rate of net migration,484,mexico,mx,15,1964,-1754.0
crude rate of net migration,484,mexico,mx,16,1965,-1694.0
crude rate of net migration,484,mexico,mx,17,1966,-2185.0
crude rate of net migration,484,mexico,mx,18,1967,-2158.0
crude rate of net migration,484,mexico,mx,19,1968,-2463.0
crude rate of net migration,484,mexico,mx,20,1969,-2675.0
crude rate of net migration,484,mexico,mx,21,1970,-2724.0
crude rate of net migration,484,mexico,mx,22,1971,-2665.0
crude rate of net migration,484,mexico,mx,23,1972,-2626.0
crude rate of net migration,484,mexico,mx,24,1973,-2483.0
crude rate of net migration,484,mexico,mx,25,1974,-2.37
crude rate of net migration,484,mexico,mx,26,1975,-1927.0
crude rate of net migration,484,mexico,mx,27,1976,-2135.0
crude rate of net migration,484,mexico,mx,28,1977,-582.0
crude rate of net migration,484,mexico,mx,29,1978,-872.0
crude rate of net migration,484,mexico,mx,30,1979,-1007.0
crude rate of net migration,484,mexico,mx,31,1980,-3851.0
crude rate of net migration,484,mexico,mx,32,1981,-6838.0
crude rate of net migration,484,mexico,mx,33,1982,-6898.0
crude rate of net migration,484,mexico,mx,34,1983,-6725.0
crude rate of net migration,484,mexico,mx,35,1984,-7424.0
crude rate of net migration,484,mexico,mx,36,1985,-7828.0
crude rate of net migration,484,mexico,mx,37,1986,-8.38
crude rate of net migration,484,mexico,mx,38,1987,-7942.0
crude rate of net migration,484,mexico,mx,39,1988,-7238.0
crude rate of net migration,484,mexico,mx,40,1989,-7351.0
crude rate of net migration,484,mexico,mx,41,1990,-3.5
crude rate of net migration,484,mexico,mx,42,1991,-3829.0
crude rate of net migration,484,mexico,mx,43,1992,-3.51
crude rate of net migration,484,mexico,mx,44,1993,-3645.0
crude rate of net migration,484,mexico,mx,45,1994,-3.13
crude rate of net migration,484,mexico,mx,46,1995,-3483.0
crude rate of net migration,484,mexico,mx,47,1996,-3497.0
crude rate of net migration,484,mexico,mx,48,1997,-3348.0
crude rate of net migration,484,mexico,mx,49,1998,-3192.0
crude rate of net migration,484,mexico,mx,50,1999,-3475.0
crude rate of net migration,484,mexico,mx,51,2000,-3635.0
crude rate of net migration,484,mexico,mx,52,2001,-3499.0
crude rate of net migration,484,mexico,mx,53,2002,-3207.0
crude rate of net migration,484,mexico,mx,54,2003,-3.24
crude rate of net migration,484,mexico,mx,55,2004,-2602.0
crude rate of net migration,484,mexico,mx,56,2005,-3012.0
crude rate of net migration,484,mexico,mx,57,2006,-2917.0
crude rate of net migration,484,mexico,mx,58,2007,-2855.0
crude rate of net migration,484,mexico,mx,59,2008,-2.93
crude rate of net migration,484,mexico,mx,60,2009,-2.6
crude rate of net migration,484,mexico,mx,61,2010,-366.0
crude rate of net migration,484,mexico,mx,62,2011,37.0
crude rate of net migration,484,mexico,mx,63,2012,-416.0
crude rate of net migration,484,mexico,mx,64,2013,-867.0
crude rate of net migration,484,mexico,mx,65,2014,-845.0
crude rate of net migration,484,mexico,mx,66,2015,-684.0
crude rate of net migration,484,mexico,mx,67,2016,272.0
crude rate of net migration,484,mexico,mx,68,2017,-101.0
crude rate of net migration,484,mexico,mx,69,2018,-802.0
crude rate of net migration,484,mexico,mx,70,2019,-382.0
crude rate of net migration,484,mexico,mx,71,2020,-79.0
crude rate of net migration,484,mexico,mx,72,2021,-416.0
crude rate of net migration,484,mexico,mx,73,2022,-403.0
crude rate of net migration,484,mexico,mx,74,2023,-391.0
