indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,484,mexico,mx,1,1950,-32006.0
total net number of migrants,484,mexico,mx,2,1951,-92593.0
total net number of migrants,484,mexico,mx,3,1952,-109203.0
total net number of migrants,484,mexico,mx,4,1953,-132530.0
total net number of migrants,484,mexico,mx,5,1954,-133809.0
total net number of migrants,484,mexico,mx,6,1955,-137597.0
total net number of migrants,484,mexico,mx,7,1956,-141195.0
total net number of migrants,484,mexico,mx,8,1957,-147356.0
total net number of migrants,484,mexico,mx,9,1958,-173292.0
total net number of migrants,484,mexico,mx,10,1959,-116211.0
total net number of migrants,484,mexico,mx,11,1960,-90381.0
total net number of migrants,484,mexico,mx,12,1961,-56177.0
total net number of migrants,484,mexico,mx,13,1962,-59833.0
total net number of migrants,484,mexico,mx,14,1963,-66521.0
total net number of migrants,484,mexico,mx,15,1964,-72587.0
total net number of migrants,484,mexico,mx,16,1965,-72486.0
total net number of migrants,484,mexico,mx,17,1966,-96681.0
total net number of migrants,484,mexico,mx,18,1967,-98676.0
total net number of migrants,484,mexico,mx,19,1968,-116362.0
total net number of migrants,484,mexico,mx,20,1969,-130524.0
total net number of migrants,484,mexico,mx,21,1970,-137213.0
total net number of migrants,484,mexico,mx,22,1971,-138534.0
total net number of migrants,484,mexico,mx,23,1972,-140810.0
total net number of migrants,484,mexico,mx,24,1973,-137332.0
total net number of migrants,484,mexico,mx,25,1974,-135138.0
total net number of migrants,484,mexico,mx,26,1975,-113208.0
total net number of migrants,484,mexico,mx,27,1976,-129187.0
total net number of migrants,484,mexico,mx,28,1977,-36258.0
total net number of migrants,484,mexico,mx,29,1978,-55950.0
total net number of migrants,484,mexico,mx,30,1979,-66472.0
total net number of migrants,484,mexico,mx,31,1980,-261285.0
total net number of migrants,484,mexico,mx,32,1981,-475073.0
total net number of migrants,484,mexico,mx,33,1982,-489089.0
total net number of migrants,484,mexico,mx,34,1983,-486358.0
total net number of migrants,484,mexico,mx,35,1984,-547736.0
total net number of migrants,484,mexico,mx,36,1985,-588611.0
total net number of migrants,484,mexico,mx,37,1986,-641663.0
total net number of migrants,484,mexico,mx,38,1987,-618502.0
total net number of migrants,484,mexico,mx,39,1988,-573155.0
total net number of migrants,484,mexico,mx,40,1989,-592054.0
total net number of migrants,484,mexico,mx,41,1990,-286584.0
total net number of migrants,484,mexico,mx,42,1991,-319832.0
total net number of migrants,484,mexico,mx,43,1992,-298907.0
total net number of migrants,484,mexico,mx,44,1993,-316437.0
total net number of migrants,484,mexico,mx,45,1994,-276896.0
total net number of migrants,484,mexico,mx,46,1995,-313979.0
total net number of migrants,484,mexico,mx,47,1996,-320872.0
total net number of migrants,484,mexico,mx,48,1997,-312542.0
total net number of migrants,484,mexico,mx,49,1998,-302976.0
total net number of migrants,484,mexico,mx,50,1999,-335401.0
total net number of migrants,484,mexico,mx,51,2000,-356430.0
total net number of migrants,484,mexico,mx,52,2001,-348349.0
total net number of migrants,484,mexico,mx,53,2002,-324106.0
total net number of migrants,484,mexico,mx,54,2003,-332396.0
total net number of migrants,484,mexico,mx,55,2004,-270797.0
total net number of migrants,484,mexico,mx,56,2005,-318048.0
total net number of migrants,484,mexico,mx,57,2006,-312270.0
total net number of migrants,484,mexico,mx,58,2007,-309663.0
total net number of migrants,484,mexico,mx,59,2008,-321847.0
total net number of migrants,484,mexico,mx,60,2009,-289132.0
total net number of migrants,484,mexico,mx,61,2010,-41156.0
total net number of migrants,484,mexico,mx,62,2011,4184.0
total net number of migrants,484,mexico,mx,63,2012,-48160.0
total net number of migrants,484,mexico,mx,64,2013,-101719.0
total net number of migrants,484,mexico,mx,65,2014,-100413.0
total net number of migrants,484,mexico,mx,66,2015,-82173.0
total net number of migrants,484,mexico,mx,67,2016,33094.0
total net number of migrants,484,mexico,mx,68,2017,-12438.0
total net number of migrants,484,mexico,mx,69,2018,-99430.0
total net number of migrants,484,mexico,mx,70,2019,-47764.0
total net number of migrants,484,mexico,mx,71,2020,-9949.0
total net number of migrants,484,mexico,mx,72,2021,-52649.0
total net number of migrants,484,mexico,mx,73,2022,-51399.0
total net number of migrants,484,mexico,mx,74,2023,-50239.0
