indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,583,"micronesia (fed, states of)",fm,1,1950,0
crude rate of net migration,583,"micronesia (fed, states of)",fm,2,1951,0
crude rate of net migration,583,"micronesia (fed, states of)",fm,3,1952,0
crude rate of net migration,583,"micronesia (fed, states of)",fm,4,1953,0
crude rate of net migration,583,"micronesia (fed, states of)",fm,5,1954,0
crude rate of net migration,583,"micronesia (fed, states of)",fm,6,1955,0
crude rate of net migration,583,"micronesia (fed, states of)",fm,7,1956,0
crude rate of net migration,583,"micronesia (fed, states of)",fm,8,1957,0
crude rate of net migration,583,"micronesia (fed, states of)",fm,9,1958,0
crude rate of net migration,583,"micronesia (fed, states of)",fm,10,1959,0
crude rate of net migration,583,"micronesia (fed, states of)",fm,11,1960,4499
crude rate of net migration,583,"micronesia (fed, states of)",fm,12,1961,4339
crude rate of net migration,583,"micronesia (fed, states of)",fm,13,1962,4185
crude rate of net migration,583,"micronesia (fed, states of)",fm,14,1963,"-1,84"
crude rate of net migration,583,"micronesia (fed, states of)",fm,15,1964,-1785
crude rate of net migration,583,"micronesia (fed, states of)",fm,16,1965,-1732
crude rate of net migration,583,"micronesia (fed, states of)",fm,17,1966,-1679
crude rate of net migration,583,"micronesia (fed, states of)",fm,18,1967,-3552
crude rate of net migration,583,"micronesia (fed, states of)",fm,19,1968,-3449
crude rate of net migration,583,"micronesia (fed, states of)",fm,20,1969,-3348
crude rate of net migration,583,"micronesia (fed, states of)",fm,21,1970,-3248
crude rate of net migration,583,"micronesia (fed, states of)",fm,22,1971,-7959
crude rate of net migration,583,"micronesia (fed, states of)",fm,23,1972,-7757
crude rate of net migration,583,"micronesia (fed, states of)",fm,24,1973,-7561
crude rate of net migration,583,"micronesia (fed, states of)",fm,25,1974,"-7,37"
crude rate of net migration,583,"micronesia (fed, states of)",fm,26,1975,-11154
crude rate of net migration,583,"micronesia (fed, states of)",fm,27,1976,-10914
crude rate of net migration,583,"micronesia (fed, states of)",fm,28,1977,-10675
crude rate of net migration,583,"micronesia (fed, states of)",fm,29,1978,-4033
crude rate of net migration,583,"micronesia (fed, states of)",fm,30,1979,-3918
crude rate of net migration,583,"micronesia (fed, states of)",fm,31,1980,-3806
crude rate of net migration,583,"micronesia (fed, states of)",fm,32,1981,-3698
crude rate of net migration,583,"micronesia (fed, states of)",fm,33,1982,-3593
crude rate of net migration,583,"micronesia (fed, states of)",fm,34,1983,-3492
crude rate of net migration,583,"micronesia (fed, states of)",fm,35,1984,-3395
crude rate of net migration,583,"micronesia (fed, states of)",fm,36,1985,-3302
crude rate of net migration,583,"micronesia (fed, states of)",fm,37,1986,-3214
crude rate of net migration,583,"micronesia (fed, states of)",fm,38,1987,-3129
crude rate of net migration,583,"micronesia (fed, states of)",fm,39,1988,-10419
crude rate of net migration,583,"micronesia (fed, states of)",fm,40,1989,-10226
crude rate of net migration,583,"micronesia (fed, states of)",fm,41,1990,-10039
crude rate of net migration,583,"micronesia (fed, states of)",fm,42,1991,-9857
crude rate of net migration,583,"micronesia (fed, states of)",fm,43,1992,2286
crude rate of net migration,583,"micronesia (fed, states of)",fm,44,1993,2682
crude rate of net migration,583,"micronesia (fed, states of)",fm,45,1994,-4308
crude rate of net migration,583,"micronesia (fed, states of)",fm,46,1995,-21736
crude rate of net migration,583,"micronesia (fed, states of)",fm,47,1996,-23222
crude rate of net migration,583,"micronesia (fed, states of)",fm,48,1997,-24294
crude rate of net migration,583,"micronesia (fed, states of)",fm,49,1998,-24934
crude rate of net migration,583,"micronesia (fed, states of)",fm,50,1999,-26477
crude rate of net migration,583,"micronesia (fed, states of)",fm,51,2000,-23751
crude rate of net migration,583,"micronesia (fed, states of)",fm,52,2001,-24115
crude rate of net migration,583,"micronesia (fed, states of)",fm,53,2002,-24829
crude rate of net migration,583,"micronesia (fed, states of)",fm,54,2003,-26243
crude rate of net migration,583,"micronesia (fed, states of)",fm,55,2004,-26884
crude rate of net migration,583,"micronesia (fed, states of)",fm,56,2005,-27149
crude rate of net migration,583,"micronesia (fed, states of)",fm,57,2006,-27997
crude rate of net migration,583,"micronesia (fed, states of)",fm,58,2007,-28099
crude rate of net migration,583,"micronesia (fed, states of)",fm,59,2008,-27832
crude rate of net migration,583,"micronesia (fed, states of)",fm,60,2009,-27169
crude rate of net migration,583,"micronesia (fed, states of)",fm,61,2010,-16589
crude rate of net migration,583,"micronesia (fed, states of)",fm,62,2011,-15808
crude rate of net migration,583,"micronesia (fed, states of)",fm,63,2012,-14975
crude rate of net migration,583,"micronesia (fed, states of)",fm,64,2013,"-14,27"
crude rate of net migration,583,"micronesia (fed, states of)",fm,65,2014,-13502
crude rate of net migration,583,"micronesia (fed, states of)",fm,66,2015,-12844
crude rate of net migration,583,"micronesia (fed, states of)",fm,67,2016,-12187
crude rate of net migration,583,"micronesia (fed, states of)",fm,68,2017,-11551
crude rate of net migration,583,"micronesia (fed, states of)",fm,69,2018,"-11,5"
crude rate of net migration,583,"micronesia (fed, states of)",fm,70,2019,-11453
crude rate of net migration,583,"micronesia (fed, states of)",fm,71,2020,-5648
crude rate of net migration,583,"micronesia (fed, states of)",fm,72,2021,-5597
crude rate of net migration,583,"micronesia (fed, states of)",fm,73,2022,-5241
crude rate of net migration,583,"micronesia (fed, states of)",fm,74,2023,-5193
