indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,583,micronesia (fed. states of),fm,1,1950,0.0
crude rate of net migration,583,micronesia (fed. states of),fm,2,1951,0.0
crude rate of net migration,583,micronesia (fed. states of),fm,3,1952,0.0
crude rate of net migration,583,micronesia (fed. states of),fm,4,1953,0.0
crude rate of net migration,583,micronesia (fed. states of),fm,5,1954,0.0
crude rate of net migration,583,micronesia (fed. states of),fm,6,1955,0.0
crude rate of net migration,583,micronesia (fed. states of),fm,7,1956,0.0
crude rate of net migration,583,micronesia (fed. states of),fm,8,1957,0.0
crude rate of net migration,583,micronesia (fed. states of),fm,9,1958,0.0
crude rate of net migration,583,micronesia (fed. states of),fm,10,1959,0.0
crude rate of net migration,583,micronesia (fed. states of),fm,11,1960,4499.0
crude rate of net migration,583,micronesia (fed. states of),fm,12,1961,4339.0
crude rate of net migration,583,micronesia (fed. states of),fm,13,1962,4185.0
crude rate of net migration,583,micronesia (fed. states of),fm,14,1963,-1.84
crude rate of net migration,583,micronesia (fed. states of),fm,15,1964,-1785.0
crude rate of net migration,583,micronesia (fed. states of),fm,16,1965,-1732.0
crude rate of net migration,583,micronesia (fed. states of),fm,17,1966,-1679.0
crude rate of net migration,583,micronesia (fed. states of),fm,18,1967,-3552.0
crude rate of net migration,583,micronesia (fed. states of),fm,19,1968,-3449.0
crude rate of net migration,583,micronesia (fed. states of),fm,20,1969,-3348.0
crude rate of net migration,583,micronesia (fed. states of),fm,21,1970,-3248.0
crude rate of net migration,583,micronesia (fed. states of),fm,22,1971,-7959.0
crude rate of net migration,583,micronesia (fed. states of),fm,23,1972,-7757.0
crude rate of net migration,583,micronesia (fed. states of),fm,24,1973,-7561.0
crude rate of net migration,583,micronesia (fed. states of),fm,25,1974,-7.37
crude rate of net migration,583,micronesia (fed. states of),fm,26,1975,-11154.0
crude rate of net migration,583,micronesia (fed. states of),fm,27,1976,-10914.0
crude rate of net migration,583,micronesia (fed. states of),fm,28,1977,-10675.0
crude rate of net migration,583,micronesia (fed. states of),fm,29,1978,-4033.0
crude rate of net migration,583,micronesia (fed. states of),fm,30,1979,-3918.0
crude rate of net migration,583,micronesia (fed. states of),fm,31,1980,-3806.0
crude rate of net migration,583,micronesia (fed. states of),fm,32,1981,-3698.0
crude rate of net migration,583,micronesia (fed. states of),fm,33,1982,-3593.0
crude rate of net migration,583,micronesia (fed. states of),fm,34,1983,-3492.0
crude rate of net migration,583,micronesia (fed. states of),fm,35,1984,-3395.0
crude rate of net migration,583,micronesia (fed. states of),fm,36,1985,-3302.0
crude rate of net migration,583,micronesia (fed. states of),fm,37,1986,-3214.0
crude rate of net migration,583,micronesia (fed. states of),fm,38,1987,-3129.0
crude rate of net migration,583,micronesia (fed. states of),fm,39,1988,-10419.0
crude rate of net migration,583,micronesia (fed. states of),fm,40,1989,-10226.0
crude rate of net migration,583,micronesia (fed. states of),fm,41,1990,-10039.0
crude rate of net migration,583,micronesia (fed. states of),fm,42,1991,-9857.0
crude rate of net migration,583,micronesia (fed. states of),fm,43,1992,2286.0
crude rate of net migration,583,micronesia (fed. states of),fm,44,1993,2682.0
crude rate of net migration,583,micronesia (fed. states of),fm,45,1994,-4308.0
crude rate of net migration,583,micronesia (fed. states of),fm,46,1995,-21736.0
crude rate of net migration,583,micronesia (fed. states of),fm,47,1996,-23222.0
crude rate of net migration,583,micronesia (fed. states of),fm,48,1997,-24294.0
crude rate of net migration,583,micronesia (fed. states of),fm,49,1998,-24934.0
crude rate of net migration,583,micronesia (fed. states of),fm,50,1999,-26477.0
crude rate of net migration,583,micronesia (fed. states of),fm,51,2000,-23751.0
crude rate of net migration,583,micronesia (fed. states of),fm,52,2001,-24115.0
crude rate of net migration,583,micronesia (fed. states of),fm,53,2002,-24829.0
crude rate of net migration,583,micronesia (fed. states of),fm,54,2003,-26243.0
crude rate of net migration,583,micronesia (fed. states of),fm,55,2004,-26884.0
crude rate of net migration,583,micronesia (fed. states of),fm,56,2005,-27149.0
crude rate of net migration,583,micronesia (fed. states of),fm,57,2006,-27997.0
crude rate of net migration,583,micronesia (fed. states of),fm,58,2007,-28099.0
crude rate of net migration,583,micronesia (fed. states of),fm,59,2008,-27832.0
crude rate of net migration,583,micronesia (fed. states of),fm,60,2009,-27169.0
crude rate of net migration,583,micronesia (fed. states of),fm,61,2010,-16589.0
crude rate of net migration,583,micronesia (fed. states of),fm,62,2011,-15808.0
crude rate of net migration,583,micronesia (fed. states of),fm,63,2012,-14975.0
crude rate of net migration,583,micronesia (fed. states of),fm,64,2013,-14.27
crude rate of net migration,583,micronesia (fed. states of),fm,65,2014,-13502.0
crude rate of net migration,583,micronesia (fed. states of),fm,66,2015,-12844.0
crude rate of net migration,583,micronesia (fed. states of),fm,67,2016,-12187.0
crude rate of net migration,583,micronesia (fed. states of),fm,68,2017,-11551.0
crude rate of net migration,583,micronesia (fed. states of),fm,69,2018,-11.5
crude rate of net migration,583,micronesia (fed. states of),fm,70,2019,-11453.0
crude rate of net migration,583,micronesia (fed. states of),fm,71,2020,-5648.0
crude rate of net migration,583,micronesia (fed. states of),fm,72,2021,-5597.0
crude rate of net migration,583,micronesia (fed. states of),fm,73,2022,-5241.0
crude rate of net migration,583,micronesia (fed. states of),fm,74,2023,-5193.0
