indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,954,micronesia,mj,1,1950,-5202.0
crude rate of net migration,954,micronesia,mj,2,1951,-3685.0
crude rate of net migration,954,micronesia,mj,3,1952,-4105.0
crude rate of net migration,954,micronesia,mj,4,1953,-4035.0
crude rate of net migration,954,micronesia,mj,5,1954,-4.38
crude rate of net migration,954,micronesia,mj,6,1955,-4568.0
crude rate of net migration,954,micronesia,mj,7,1956,-4215.0
crude rate of net migration,954,micronesia,mj,8,1957,-4384.0
crude rate of net migration,954,micronesia,mj,9,1958,-3049.0
crude rate of net migration,954,micronesia,mj,10,1959,-2242.0
crude rate of net migration,954,micronesia,mj,11,1960,-1186.0
crude rate of net migration,954,micronesia,mj,12,1961,-937.0
crude rate of net migration,954,micronesia,mj,13,1962,-746.0
crude rate of net migration,954,micronesia,mj,14,1963,-1233.0
crude rate of net migration,954,micronesia,mj,15,1964,-954.0
crude rate of net migration,954,micronesia,mj,16,1965,-794.0
crude rate of net migration,954,micronesia,mj,17,1966,-6171.0
crude rate of net migration,954,micronesia,mj,18,1967,-7206.0
crude rate of net migration,954,micronesia,mj,19,1968,-7008.0
crude rate of net migration,954,micronesia,mj,20,1969,-5585.0
crude rate of net migration,954,micronesia,mj,21,1970,175.0
crude rate of net migration,954,micronesia,mj,22,1971,-424.0
crude rate of net migration,954,micronesia,mj,23,1972,-508.0
crude rate of net migration,954,micronesia,mj,24,1973,-3005.0
crude rate of net migration,954,micronesia,mj,25,1974,-10598.0
crude rate of net migration,954,micronesia,mj,26,1975,-12732.0
crude rate of net migration,954,micronesia,mj,27,1976,-13151.0
crude rate of net migration,954,micronesia,mj,28,1977,-13197.0
crude rate of net migration,954,micronesia,mj,29,1978,-11.56
crude rate of net migration,954,micronesia,mj,30,1979,-6.59
crude rate of net migration,954,micronesia,mj,31,1980,1379.0
crude rate of net migration,954,micronesia,mj,32,1981,5162.0
crude rate of net migration,954,micronesia,mj,33,1982,4799.0
crude rate of net migration,954,micronesia,mj,34,1983,5745.0
crude rate of net migration,954,micronesia,mj,35,1984,5585.0
crude rate of net migration,954,micronesia,mj,36,1985,5634.0
crude rate of net migration,954,micronesia,mj,37,1986,5582.0
crude rate of net migration,954,micronesia,mj,38,1987,5293.0
crude rate of net migration,954,micronesia,mj,39,1988,3157.0
crude rate of net migration,954,micronesia,mj,40,1989,1224.0
crude rate of net migration,954,micronesia,mj,41,1990,-6125.0
crude rate of net migration,954,micronesia,mj,42,1991,-9311.0
crude rate of net migration,954,micronesia,mj,43,1992,-7683.0
crude rate of net migration,954,micronesia,mj,44,1993,-7921.0
crude rate of net migration,954,micronesia,mj,45,1994,-9494.0
crude rate of net migration,954,micronesia,mj,46,1995,-8447.0
crude rate of net migration,954,micronesia,mj,47,1996,19391.0
crude rate of net migration,954,micronesia,mj,48,1997,2815.0
crude rate of net migration,954,micronesia,mj,49,1998,2503.0
crude rate of net migration,954,micronesia,mj,50,1999,1544.0
crude rate of net migration,954,micronesia,mj,51,2000,-13.95
crude rate of net migration,954,micronesia,mj,52,2001,-19475.0
crude rate of net migration,954,micronesia,mj,53,2002,-19575.0
crude rate of net migration,954,micronesia,mj,54,2003,-20765.0
crude rate of net migration,954,micronesia,mj,55,2004,-21886.0
crude rate of net migration,954,micronesia,mj,56,2005,-22734.0
crude rate of net migration,954,micronesia,mj,57,2006,-24028.0
crude rate of net migration,954,micronesia,mj,58,2007,-24573.0
crude rate of net migration,954,micronesia,mj,59,2008,-24395.0
crude rate of net migration,954,micronesia,mj,60,2009,-23832.0
crude rate of net migration,954,micronesia,mj,61,2010,-19558.0
crude rate of net migration,954,micronesia,mj,62,2011,-14987.0
crude rate of net migration,954,micronesia,mj,63,2012,-14564.0
crude rate of net migration,954,micronesia,mj,64,2013,-13842.0
crude rate of net migration,954,micronesia,mj,65,2014,-13643.0
crude rate of net migration,954,micronesia,mj,66,2015,-13.1
crude rate of net migration,954,micronesia,mj,67,2016,-12883.0
crude rate of net migration,954,micronesia,mj,68,2017,-12645.0
crude rate of net migration,954,micronesia,mj,69,2018,-12533.0
crude rate of net migration,954,micronesia,mj,70,2019,-12462.0
crude rate of net migration,954,micronesia,mj,71,2020,-6696.0
crude rate of net migration,954,micronesia,mj,72,2021,-6656.0
crude rate of net migration,954,micronesia,mj,73,2022,-3042.0
crude rate of net migration,954,micronesia,mj,74,2023,-3012.0
