indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,954,micronesia,mj,1,1950,-843.0
total net number of migrants,954,micronesia,mj,2,1951,-608.0
total net number of migrants,954,micronesia,mj,3,1952,-691.0
total net number of migrants,954,micronesia,mj,4,1953,-693.0
total net number of migrants,954,micronesia,mj,5,1954,-768.0
total net number of migrants,954,micronesia,mj,6,1955,-818.0
total net number of migrants,954,micronesia,mj,7,1956,-771.0
total net number of migrants,954,micronesia,mj,8,1957,-820.0
total net number of migrants,954,micronesia,mj,9,1958,-583.0
total net number of migrants,954,micronesia,mj,10,1959,-439.0
total net number of migrants,954,micronesia,mj,11,1960,-238.0
total net number of migrants,954,micronesia,mj,12,1961,-193.0
total net number of migrants,954,micronesia,mj,13,1962,-158.0
total net number of migrants,954,micronesia,mj,14,1963,-268.0
total net number of migrants,954,micronesia,mj,15,1964,-213.0
total net number of migrants,954,micronesia,mj,16,1965,-182.0
total net number of migrants,954,micronesia,mj,17,1966,-1454.0
total net number of migrants,954,micronesia,mj,18,1967,-1735.0
total net number of migrants,954,micronesia,mj,19,1968,-1723.0
total net number of migrants,954,micronesia,mj,20,1969,-1403.0
total net number of migrants,954,micronesia,mj,21,1970,45.0
total net number of migrants,954,micronesia,mj,22,1971,-112.0
total net number of migrants,954,micronesia,mj,23,1972,-138.0
total net number of migrants,954,micronesia,mj,24,1973,-839.0
total net number of migrants,954,micronesia,mj,25,1974,-3034.0
total net number of migrants,954,micronesia,mj,26,1975,-3710.0
total net number of migrants,954,micronesia,mj,27,1976,-3894.0
total net number of migrants,954,micronesia,mj,28,1977,-3967.0
total net number of migrants,954,micronesia,mj,29,1978,-3527.0
total net number of migrants,954,micronesia,mj,30,1979,-2044.0
total net number of migrants,954,micronesia,mj,31,1980,437.0
total net number of migrants,954,micronesia,mj,32,1981,1683.0
total net number of migrants,954,micronesia,mj,33,1982,1616.0
total net number of migrants,954,micronesia,mj,34,1983,1998.0
total net number of migrants,954,micronesia,mj,35,1984,2007.0
total net number of migrants,954,micronesia,mj,36,1985,2092.0
total net number of migrants,954,micronesia,mj,37,1986,2141.0
total net number of migrants,954,micronesia,mj,38,1987,2097.0
total net number of migrants,954,micronesia,mj,39,1988,1291.0
total net number of migrants,954,micronesia,mj,40,1989,515.0
total net number of migrants,954,micronesia,mj,41,1990,-2649.0
total net number of migrants,954,micronesia,mj,42,1991,-4105.0
total net number of migrants,954,micronesia,mj,43,1992,-3443.0
total net number of migrants,954,micronesia,mj,44,1993,-3613.0
total net number of migrants,954,micronesia,mj,45,1994,-4405.0
total net number of migrants,954,micronesia,mj,46,1995,-3978.0
total net number of migrants,954,micronesia,mj,47,1996,1210.0
total net number of migrants,954,micronesia,mj,48,1997,1382.0
total net number of migrants,954,micronesia,mj,49,1998,1261.0
total net number of migrants,954,micronesia,mj,50,1999,798.0
total net number of migrants,954,micronesia,mj,51,2000,-7383.0
total net number of migrants,954,micronesia,mj,52,2001,-10386.0
total net number of migrants,954,micronesia,mj,53,2002,-10453.0
total net number of migrants,954,micronesia,mj,54,2003,-11099.0
total net number of migrants,954,micronesia,mj,55,2004,-11696.0
total net number of migrants,954,micronesia,mj,56,2005,-12127.0
total net number of migrants,954,micronesia,mj,57,2006,-12784.0
total net number of migrants,954,micronesia,mj,58,2007,-13023.0
total net number of migrants,954,micronesia,mj,59,2008,-12866.0
total net number of migrants,954,micronesia,mj,60,2009,-12503.0
total net number of migrants,954,micronesia,mj,61,2010,-10208.0
total net number of migrants,954,micronesia,mj,62,2011,-7811.0
total net number of migrants,954,micronesia,mj,63,2012,-7618.0
total net number of migrants,954,micronesia,mj,64,2013,-7259.0
total net number of migrants,954,micronesia,mj,65,2014,-7178.0
total net number of migrants,954,micronesia,mj,66,2015,-6910.0
total net number of migrants,954,micronesia,mj,67,2016,-6814.0
total net number of migrants,954,micronesia,mj,68,2017,-6703.0
total net number of migrants,954,micronesia,mj,69,2018,-6658.0
total net number of migrants,954,micronesia,mj,70,2019,-6632.0
total net number of migrants,954,micronesia,mj,71,2020,-3568.0
total net number of migrants,954,micronesia,mj,72,2021,-3570.0
total net number of migrants,954,micronesia,mj,73,2022,-1642.0
total net number of migrants,954,micronesia,mj,74,2023,-1642.0
