indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,911,middle africa,ap,1,1950,242.0
crude rate of net migration,911,middle africa,ap,2,1951,289.0
crude rate of net migration,911,middle africa,ap,3,1952,109.0
crude rate of net migration,911,middle africa,ap,4,1953,-619.0
crude rate of net migration,911,middle africa,ap,5,1954,-731.0
crude rate of net migration,911,middle africa,ap,6,1955,-999.0
crude rate of net migration,911,middle africa,ap,7,1956,-1.19
crude rate of net migration,911,middle africa,ap,8,1957,-1377.0
crude rate of net migration,911,middle africa,ap,9,1958,-2165.0
crude rate of net migration,911,middle africa,ap,10,1959,-1073.0
crude rate of net migration,911,middle africa,ap,11,1960,-532.0
crude rate of net migration,911,middle africa,ap,12,1961,-433.0
crude rate of net migration,911,middle africa,ap,13,1962,-471.0
crude rate of net migration,911,middle africa,ap,14,1963,-543.0
crude rate of net migration,911,middle africa,ap,15,1964,-732.0
crude rate of net migration,911,middle africa,ap,16,1965,-823.0
crude rate of net migration,911,middle africa,ap,17,1966,-1517.0
crude rate of net migration,911,middle africa,ap,18,1967,-1491.0
crude rate of net migration,911,middle africa,ap,19,1968,-1597.0
crude rate of net migration,911,middle africa,ap,20,1969,-1108.0
crude rate of net migration,911,middle africa,ap,21,1970,-374.0
crude rate of net migration,911,middle africa,ap,22,1971,-698.0
crude rate of net migration,911,middle africa,ap,23,1972,111.0
crude rate of net migration,911,middle africa,ap,24,1973,289.0
crude rate of net migration,911,middle africa,ap,25,1974,74.0
crude rate of net migration,911,middle africa,ap,26,1975,-355.0
crude rate of net migration,911,middle africa,ap,27,1976,-1991.0
crude rate of net migration,911,middle africa,ap,28,1977,-1869.0
crude rate of net migration,911,middle africa,ap,29,1978,4431.0
crude rate of net migration,911,middle africa,ap,30,1979,2859.0
crude rate of net migration,911,middle africa,ap,31,1980,-2051.0
crude rate of net migration,911,middle africa,ap,32,1981,467.0
crude rate of net migration,911,middle africa,ap,33,1982,22282.0
crude rate of net migration,911,middle africa,ap,34,1983,-436.0
crude rate of net migration,911,middle africa,ap,35,1984,-448.0
crude rate of net migration,911,middle africa,ap,36,1985,14.0
crude rate of net migration,911,middle africa,ap,37,1986,18629.0
crude rate of net migration,911,middle africa,ap,38,1987,1365.0
crude rate of net migration,911,middle africa,ap,39,1988,1489.0
crude rate of net migration,911,middle africa,ap,40,1989,1787.0
crude rate of net migration,911,middle africa,ap,41,1990,2365.0
crude rate of net migration,911,middle africa,ap,42,1991,3083.0
crude rate of net migration,911,middle africa,ap,43,1992,46.0
crude rate of net migration,911,middle africa,ap,44,1993,1864.0
crude rate of net migration,911,middle africa,ap,45,1994,15748.0
crude rate of net migration,911,middle africa,ap,46,1995,-1.14
crude rate of net migration,911,middle africa,ap,47,1996,-8372.0
crude rate of net migration,911,middle africa,ap,48,1997,-5584.0
crude rate of net migration,911,middle africa,ap,49,1998,399.0
crude rate of net migration,911,middle africa,ap,50,1999,295.0
crude rate of net migration,911,middle africa,ap,51,2000,865.0
crude rate of net migration,911,middle africa,ap,52,2001,514.0
crude rate of net migration,911,middle africa,ap,53,2002,592.0
crude rate of net migration,911,middle africa,ap,54,2003,624.0
crude rate of net migration,911,middle africa,ap,55,2004,1739.0
crude rate of net migration,911,middle africa,ap,56,2005,1089.0
crude rate of net migration,911,middle africa,ap,57,2006,1066.0
crude rate of net migration,911,middle africa,ap,58,2007,759.0
crude rate of net migration,911,middle africa,ap,59,2008,742.0
crude rate of net migration,911,middle africa,ap,60,2009,947.0
crude rate of net migration,911,middle africa,ap,61,2010,799.0
crude rate of net migration,911,middle africa,ap,62,2011,767.0
crude rate of net migration,911,middle africa,ap,63,2012,-209.0
crude rate of net migration,911,middle africa,ap,64,2013,45078.0
crude rate of net migration,911,middle africa,ap,65,2014,496.0
crude rate of net migration,911,middle africa,ap,66,2015,391.0
crude rate of net migration,911,middle africa,ap,67,2016,1566.0
crude rate of net migration,911,middle africa,ap,68,2017,56.0
crude rate of net migration,911,middle africa,ap,69,2018,-405.0
crude rate of net migration,911,middle africa,ap,70,2019,-758.0
crude rate of net migration,911,middle africa,ap,71,2020,-123.0
crude rate of net migration,911,middle africa,ap,72,2021,-628.0
crude rate of net migration,911,middle africa,ap,73,2022,-188.0
crude rate of net migration,911,middle africa,ap,74,2023,-169.0
