indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,499,montenegro,me,1,1950,335.0
total net number of migrants,499,montenegro,me,2,1951,1043.0
total net number of migrants,499,montenegro,me,3,1952,2045.0
total net number of migrants,499,montenegro,me,4,1953,-1022.0
total net number of migrants,499,montenegro,me,5,1954,-2813.0
total net number of migrants,499,montenegro,me,6,1955,-2720.0
total net number of migrants,499,montenegro,me,7,1956,-2797.0
total net number of migrants,499,montenegro,me,8,1957,-2782.0
total net number of migrants,499,montenegro,me,9,1958,-2667.0
total net number of migrants,499,montenegro,me,10,1959,-2184.0
total net number of migrants,499,montenegro,me,11,1960,-2477.0
total net number of migrants,499,montenegro,me,12,1961,-2560.0
total net number of migrants,499,montenegro,me,13,1962,-2877.0
total net number of migrants,499,montenegro,me,14,1963,-3026.0
total net number of migrants,499,montenegro,me,15,1964,-2857.0
total net number of migrants,499,montenegro,me,16,1965,-2738.0
total net number of migrants,499,montenegro,me,17,1966,-2514.0
total net number of migrants,499,montenegro,me,18,1967,-2118.0
total net number of migrants,499,montenegro,me,19,1968,-1980.0
total net number of migrants,499,montenegro,me,20,1969,-1949.0
total net number of migrants,499,montenegro,me,21,1970,-2063.0
total net number of migrants,499,montenegro,me,22,1971,-1483.0
total net number of migrants,499,montenegro,me,23,1972,-1383.0
total net number of migrants,499,montenegro,me,24,1973,-1198.0
total net number of migrants,499,montenegro,me,25,1974,-1010.0
total net number of migrants,499,montenegro,me,26,1975,-784.0
total net number of migrants,499,montenegro,me,27,1976,-632.0
total net number of migrants,499,montenegro,me,28,1977,-393.0
total net number of migrants,499,montenegro,me,29,1978,-152.0
total net number of migrants,499,montenegro,me,30,1979,56.0
total net number of migrants,499,montenegro,me,31,1980,-111.0
total net number of migrants,499,montenegro,me,32,1981,-2664.0
total net number of migrants,499,montenegro,me,33,1982,-3591.0
total net number of migrants,499,montenegro,me,34,1983,-3585.0
total net number of migrants,499,montenegro,me,35,1984,-3508.0
total net number of migrants,499,montenegro,me,36,1985,-3155.0
total net number of migrants,499,montenegro,me,37,1986,-3100.0
total net number of migrants,499,montenegro,me,38,1987,-3010.0
total net number of migrants,499,montenegro,me,39,1988,-2572.0
total net number of migrants,499,montenegro,me,40,1989,-2024.0
total net number of migrants,499,montenegro,me,41,1990,-1762.0
total net number of migrants,499,montenegro,me,42,1991,-1996.0
total net number of migrants,499,montenegro,me,43,1992,-2886.0
total net number of migrants,499,montenegro,me,44,1993,-2949.0
total net number of migrants,499,montenegro,me,45,1994,-2916.0
total net number of migrants,499,montenegro,me,46,1995,-3124.0
total net number of migrants,499,montenegro,me,47,1996,-3026.0
total net number of migrants,499,montenegro,me,48,1997,-3126.0
total net number of migrants,499,montenegro,me,49,1998,-3410.0
total net number of migrants,499,montenegro,me,50,1999,-3797.0
total net number of migrants,499,montenegro,me,51,2000,-4423.0
total net number of migrants,499,montenegro,me,52,2001,-3408.0
total net number of migrants,499,montenegro,me,53,2002,-3174.0
total net number of migrants,499,montenegro,me,54,2003,-3253.0
total net number of migrants,499,montenegro,me,55,2004,-1848.0
total net number of migrants,499,montenegro,me,56,2005,-1986.0
total net number of migrants,499,montenegro,me,57,2006,-2523.0
total net number of migrants,499,montenegro,me,58,2007,-2903.0
total net number of migrants,499,montenegro,me,59,2008,-3191.0
total net number of migrants,499,montenegro,me,60,2009,-3268.0
total net number of migrants,499,montenegro,me,61,2010,-2017.0
total net number of migrants,499,montenegro,me,62,2011,0.0
total net number of migrants,499,montenegro,me,63,2012,-634.0
total net number of migrants,499,montenegro,me,64,2013,-993.0
total net number of migrants,499,montenegro,me,65,2014,-1742.0
total net number of migrants,499,montenegro,me,66,2015,-1943.0
total net number of migrants,499,montenegro,me,67,2016,-2111.0
total net number of migrants,499,montenegro,me,68,2017,-1980.0
total net number of migrants,499,montenegro,me,69,2018,-2024.0
total net number of migrants,499,montenegro,me,70,2019,-1636.0
total net number of migrants,499,montenegro,me,71,2020,-1326.0
total net number of migrants,499,montenegro,me,72,2021,-101.0
total net number of migrants,499,montenegro,me,73,2022,-480.0
total net number of migrants,499,montenegro,me,74,2023,-480.0
