indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,504,morocco,ma,1,1950,5412.0
total net number of migrants,504,morocco,ma,2,1951,4556.0
total net number of migrants,504,morocco,ma,3,1952,1462.0
total net number of migrants,504,morocco,ma,4,1953,-4388.0
total net number of migrants,504,morocco,ma,5,1954,-3661.0
total net number of migrants,504,morocco,ma,6,1955,-4490.0
total net number of migrants,504,morocco,ma,7,1956,-5177.0
total net number of migrants,504,morocco,ma,8,1957,-6724.0
total net number of migrants,504,morocco,ma,9,1958,-16170.0
total net number of migrants,504,morocco,ma,10,1959,-12109.0
total net number of migrants,504,morocco,ma,11,1960,-19418.0
total net number of migrants,504,morocco,ma,12,1961,-41561.0
total net number of migrants,504,morocco,ma,13,1962,-29267.0
total net number of migrants,504,morocco,ma,14,1963,-57523.0
total net number of migrants,504,morocco,ma,15,1964,-47413.0
total net number of migrants,504,morocco,ma,16,1965,-34401.0
total net number of migrants,504,morocco,ma,17,1966,-28290.0
total net number of migrants,504,morocco,ma,18,1967,-24525.0
total net number of migrants,504,morocco,ma,19,1968,-26517.0
total net number of migrants,504,morocco,ma,20,1969,-25803.0
total net number of migrants,504,morocco,ma,21,1970,-26172.0
total net number of migrants,504,morocco,ma,22,1971,-39372.0
total net number of migrants,504,morocco,ma,23,1972,-47253.0
total net number of migrants,504,morocco,ma,24,1973,-51797.0
total net number of migrants,504,morocco,ma,25,1974,-52945.0
total net number of migrants,504,morocco,ma,26,1975,-52014.0
total net number of migrants,504,morocco,ma,27,1976,-58073.0
total net number of migrants,504,morocco,ma,28,1977,-32181.0
total net number of migrants,504,morocco,ma,29,1978,-30603.0
total net number of migrants,504,morocco,ma,30,1979,-27391.0
total net number of migrants,504,morocco,ma,31,1980,-17644.0
total net number of migrants,504,morocco,ma,32,1981,-26896.0
total net number of migrants,504,morocco,ma,33,1982,-32757.0
total net number of migrants,504,morocco,ma,34,1983,-37417.0
total net number of migrants,504,morocco,ma,35,1984,-51472.0
total net number of migrants,504,morocco,ma,36,1985,-56186.0
total net number of migrants,504,morocco,ma,37,1986,-104360.0
total net number of migrants,504,morocco,ma,38,1987,-110291.0
total net number of migrants,504,morocco,ma,39,1988,-107903.0
total net number of migrants,504,morocco,ma,40,1989,-109031.0
total net number of migrants,504,morocco,ma,41,1990,-104908.0
total net number of migrants,504,morocco,ma,42,1991,-130743.0
total net number of migrants,504,morocco,ma,43,1992,-118907.0
total net number of migrants,504,morocco,ma,44,1993,-121197.0
total net number of migrants,504,morocco,ma,45,1994,-115414.0
total net number of migrants,504,morocco,ma,46,1995,-97336.0
total net number of migrants,504,morocco,ma,47,1996,-98110.0
total net number of migrants,504,morocco,ma,48,1997,-95238.0
total net number of migrants,504,morocco,ma,49,1998,-94306.0
total net number of migrants,504,morocco,ma,50,1999,-91664.0
total net number of migrants,504,morocco,ma,51,2000,-90376.0
total net number of migrants,504,morocco,ma,52,2001,-84706.0
total net number of migrants,504,morocco,ma,53,2002,-91645.0
total net number of migrants,504,morocco,ma,54,2003,-108908.0
total net number of migrants,504,morocco,ma,55,2004,-66711.0
total net number of migrants,504,morocco,ma,56,2005,-58941.0
total net number of migrants,504,morocco,ma,57,2006,-72241.0
total net number of migrants,504,morocco,ma,58,2007,-73718.0
total net number of migrants,504,morocco,ma,59,2008,-78864.0
total net number of migrants,504,morocco,ma,60,2009,-82207.0
total net number of migrants,504,morocco,ma,61,2010,-70490.0
total net number of migrants,504,morocco,ma,62,2011,-67369.0
total net number of migrants,504,morocco,ma,63,2012,-65136.0
total net number of migrants,504,morocco,ma,64,2013,-67026.0
total net number of migrants,504,morocco,ma,65,2014,-72062.0
total net number of migrants,504,morocco,ma,66,2015,-81202.0
total net number of migrants,504,morocco,ma,67,2016,-57256.0
total net number of migrants,504,morocco,ma,68,2017,-71807.0
total net number of migrants,504,morocco,ma,69,2018,-89007.0
total net number of migrants,504,morocco,ma,70,2019,-91959.0
total net number of migrants,504,morocco,ma,71,2020,-33807.0
total net number of migrants,504,morocco,ma,72,2021,-46242.0
total net number of migrants,504,morocco,ma,73,2022,-39998.0
total net number of migrants,504,morocco,ma,74,2023,-39998.0
