indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,508,mozambique,mz,1,1950,-33296.0
total net number of migrants,508,mozambique,mz,2,1951,-39524.0
total net number of migrants,508,mozambique,mz,3,1952,-45024.0
total net number of migrants,508,mozambique,mz,4,1953,-53458.0
total net number of migrants,508,mozambique,mz,5,1954,-52728.0
total net number of migrants,508,mozambique,mz,6,1955,-53692.0
total net number of migrants,508,mozambique,mz,7,1956,-54288.0
total net number of migrants,508,mozambique,mz,8,1957,-55798.0
total net number of migrants,508,mozambique,mz,9,1958,-65589.0
total net number of migrants,508,mozambique,mz,10,1959,-51421.0
total net number of migrants,508,mozambique,mz,11,1960,-44466.0
total net number of migrants,508,mozambique,mz,12,1961,-31580.0
total net number of migrants,508,mozambique,mz,13,1962,-29193.0
total net number of migrants,508,mozambique,mz,14,1963,-28745.0
total net number of migrants,508,mozambique,mz,15,1964,-26306.0
total net number of migrants,508,mozambique,mz,16,1965,-20420.0
total net number of migrants,508,mozambique,mz,17,1966,-23534.0
total net number of migrants,508,mozambique,mz,18,1967,-19162.0
total net number of migrants,508,mozambique,mz,19,1968,-19182.0
total net number of migrants,508,mozambique,mz,20,1969,-15875.0
total net number of migrants,508,mozambique,mz,21,1970,-5468.0
total net number of migrants,508,mozambique,mz,22,1971,11749.0
total net number of migrants,508,mozambique,mz,23,1972,39407.0
total net number of migrants,508,mozambique,mz,24,1973,50018.0
total net number of migrants,508,mozambique,mz,25,1974,55981.0
total net number of migrants,508,mozambique,mz,26,1975,64299.0
total net number of migrants,508,mozambique,mz,27,1976,64050.0
total net number of migrants,508,mozambique,mz,28,1977,99519.0
total net number of migrants,508,mozambique,mz,29,1978,104611.0
total net number of migrants,508,mozambique,mz,30,1979,89893.0
total net number of migrants,508,mozambique,mz,31,1980,-122726.0
total net number of migrants,508,mozambique,mz,32,1981,-18371.0
total net number of migrants,508,mozambique,mz,33,1982,-34299.0
total net number of migrants,508,mozambique,mz,34,1983,-29916.0
total net number of migrants,508,mozambique,mz,35,1984,-23223.0
total net number of migrants,508,mozambique,mz,36,1985,-39678.0
total net number of migrants,508,mozambique,mz,37,1986,-106376.0
total net number of migrants,508,mozambique,mz,38,1987,-423368.0
total net number of migrants,508,mozambique,mz,39,1988,-259989.0
total net number of migrants,508,mozambique,mz,40,1989,-170957.0
total net number of migrants,508,mozambique,mz,41,1990,-97330.0
total net number of migrants,508,mozambique,mz,42,1991,-95107.0
total net number of migrants,508,mozambique,mz,43,1992,-110878.0
total net number of migrants,508,mozambique,mz,44,1993,158569.0
total net number of migrants,508,mozambique,mz,45,1994,502417.0
total net number of migrants,508,mozambique,mz,46,1995,72493.0
total net number of migrants,508,mozambique,mz,47,1996,66949.0
total net number of migrants,508,mozambique,mz,48,1997,-55158.0
total net number of migrants,508,mozambique,mz,49,1998,-54854.0
total net number of migrants,508,mozambique,mz,50,1999,-62292.0
total net number of migrants,508,mozambique,mz,51,2000,-58468.0
total net number of migrants,508,mozambique,mz,52,2001,-51429.0
total net number of migrants,508,mozambique,mz,53,2002,-44909.0
total net number of migrants,508,mozambique,mz,54,2003,-48338.0
total net number of migrants,508,mozambique,mz,55,2004,-40129.0
total net number of migrants,508,mozambique,mz,56,2005,-52323.0
total net number of migrants,508,mozambique,mz,57,2006,-48812.0
total net number of migrants,508,mozambique,mz,58,2007,-44273.0
total net number of migrants,508,mozambique,mz,59,2008,-62180.0
total net number of migrants,508,mozambique,mz,60,2009,-60999.0
total net number of migrants,508,mozambique,mz,61,2010,-29343.0
total net number of migrants,508,mozambique,mz,62,2011,-8820.0
total net number of migrants,508,mozambique,mz,63,2012,10389.0
total net number of migrants,508,mozambique,mz,64,2013,22477.0
total net number of migrants,508,mozambique,mz,65,2014,31611.0
total net number of migrants,508,mozambique,mz,66,2015,30414.0
total net number of migrants,508,mozambique,mz,67,2016,77168.0
total net number of migrants,508,mozambique,mz,68,2017,14804.0
total net number of migrants,508,mozambique,mz,69,2018,-12765.0
total net number of migrants,508,mozambique,mz,70,2019,-17639.0
total net number of migrants,508,mozambique,mz,71,2020,11745.0
total net number of migrants,508,mozambique,mz,72,2021,-9515.0
total net number of migrants,508,mozambique,mz,73,2022,-5000.0
total net number of migrants,508,mozambique,mz,74,2023,-5000.0
