indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,104,myanmar,mm,1,1950,293.0
crude rate of net migration,104,myanmar,mm,2,1951,277.0
crude rate of net migration,104,myanmar,mm,3,1952,149.0
crude rate of net migration,104,myanmar,mm,4,1953,-0.11
crude rate of net migration,104,myanmar,mm,5,1954,-19.0
crude rate of net migration,104,myanmar,mm,6,1955,-7.0
crude rate of net migration,104,myanmar,mm,7,1956,12.0
crude rate of net migration,104,myanmar,mm,8,1957,-7.0
crude rate of net migration,104,myanmar,mm,9,1958,-334.0
crude rate of net migration,104,myanmar,mm,10,1959,197.0
crude rate of net migration,104,myanmar,mm,11,1960,406.0
crude rate of net migration,104,myanmar,mm,12,1961,539.0
crude rate of net migration,104,myanmar,mm,13,1962,597.0
crude rate of net migration,104,myanmar,mm,14,1963,618.0
crude rate of net migration,104,myanmar,mm,15,1964,657.0
crude rate of net migration,104,myanmar,mm,16,1965,776.0
crude rate of net migration,104,myanmar,mm,17,1966,622.0
crude rate of net migration,104,myanmar,mm,18,1967,726.0
crude rate of net migration,104,myanmar,mm,19,1968,664.0
crude rate of net migration,104,myanmar,mm,20,1969,656.0
crude rate of net migration,104,myanmar,mm,21,1970,0.66
crude rate of net migration,104,myanmar,mm,22,1971,226.0
crude rate of net migration,104,myanmar,mm,23,1972,376.0
crude rate of net migration,104,myanmar,mm,24,1973,-1907.0
crude rate of net migration,104,myanmar,mm,25,1974,-1.81
crude rate of net migration,104,myanmar,mm,26,1975,-1738.0
crude rate of net migration,104,myanmar,mm,27,1976,-1956.0
crude rate of net migration,104,myanmar,mm,28,1977,-1.2
crude rate of net migration,104,myanmar,mm,29,1978,-1.12
crude rate of net migration,104,myanmar,mm,30,1979,-1346.0
crude rate of net migration,104,myanmar,mm,31,1980,-1126.0
crude rate of net migration,104,myanmar,mm,32,1981,-1548.0
crude rate of net migration,104,myanmar,mm,33,1982,-2297.0
crude rate of net migration,104,myanmar,mm,34,1983,0.52
crude rate of net migration,104,myanmar,mm,35,1984,316.0
crude rate of net migration,104,myanmar,mm,36,1985,165.0
crude rate of net migration,104,myanmar,mm,37,1986,-196.0
crude rate of net migration,104,myanmar,mm,38,1987,-305.0
crude rate of net migration,104,myanmar,mm,39,1988,-336.0
crude rate of net migration,104,myanmar,mm,40,1989,-673.0
crude rate of net migration,104,myanmar,mm,41,1990,-1019.0
crude rate of net migration,104,myanmar,mm,42,1991,-1942.0
crude rate of net migration,104,myanmar,mm,43,1992,-1955.0
crude rate of net migration,104,myanmar,mm,44,1993,-1.99
crude rate of net migration,104,myanmar,mm,45,1994,-1685.0
crude rate of net migration,104,myanmar,mm,46,1995,-1751.0
crude rate of net migration,104,myanmar,mm,47,1996,-1514.0
crude rate of net migration,104,myanmar,mm,48,1997,-1341.0
crude rate of net migration,104,myanmar,mm,49,1998,-1399.0
crude rate of net migration,104,myanmar,mm,50,1999,-1817.0
crude rate of net migration,104,myanmar,mm,51,2000,-2343.0
crude rate of net migration,104,myanmar,mm,52,2001,-2847.0
crude rate of net migration,104,myanmar,mm,53,2002,-3228.0
crude rate of net migration,104,myanmar,mm,54,2003,-3528.0
crude rate of net migration,104,myanmar,mm,55,2004,-3582.0
crude rate of net migration,104,myanmar,mm,56,2005,-3872.0
crude rate of net migration,104,myanmar,mm,57,2006,-3865.0
crude rate of net migration,104,myanmar,mm,58,2007,-3814.0
crude rate of net migration,104,myanmar,mm,59,2008,-3701.0
crude rate of net migration,104,myanmar,mm,60,2009,-3231.0
crude rate of net migration,104,myanmar,mm,61,2010,-2357.0
crude rate of net migration,104,myanmar,mm,62,2011,-1661.0
crude rate of net migration,104,myanmar,mm,63,2012,-1225.0
crude rate of net migration,104,myanmar,mm,64,2013,-1241.0
crude rate of net migration,104,myanmar,mm,65,2014,-1466.0
crude rate of net migration,104,myanmar,mm,66,2015,-1827.0
crude rate of net migration,104,myanmar,mm,67,2016,-1693.0
crude rate of net migration,104,myanmar,mm,68,2017,-2014.0
crude rate of net migration,104,myanmar,mm,69,2018,-2174.0
crude rate of net migration,104,myanmar,mm,70,2019,-1899.0
crude rate of net migration,104,myanmar,mm,71,2020,-1239.0
crude rate of net migration,104,myanmar,mm,72,2021,-657.0
crude rate of net migration,104,myanmar,mm,73,2022,-646.0
crude rate of net migration,104,myanmar,mm,74,2023,-641.0
