indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,516,namibia,na,1,1950,-4091.0
total net number of migrants,516,namibia,na,2,1951,-4158.0
total net number of migrants,516,namibia,na,3,1952,-4029.0
total net number of migrants,516,namibia,na,4,1953,-4286.0
total net number of migrants,516,namibia,na,5,1954,-4453.0
total net number of migrants,516,namibia,na,6,1955,-4527.0
total net number of migrants,516,namibia,na,7,1956,-4467.0
total net number of migrants,516,namibia,na,8,1957,-4301.0
total net number of migrants,516,namibia,na,9,1958,-4042.0
total net number of migrants,516,namibia,na,10,1959,-3691.0
total net number of migrants,516,namibia,na,11,1960,-3227.0
total net number of migrants,516,namibia,na,12,1961,-2807.0
total net number of migrants,516,namibia,na,13,1962,-2403.0
total net number of migrants,516,namibia,na,14,1963,-2016.0
total net number of migrants,516,namibia,na,15,1964,-1660.0
total net number of migrants,516,namibia,na,16,1965,-1327.0
total net number of migrants,516,namibia,na,17,1966,-1023.0
total net number of migrants,516,namibia,na,18,1967,-339.0
total net number of migrants,516,namibia,na,19,1968,-636.0
total net number of migrants,516,namibia,na,20,1969,-57.0
total net number of migrants,516,namibia,na,21,1970,-244.0
total net number of migrants,516,namibia,na,22,1971,-208.0
total net number of migrants,516,namibia,na,23,1972,-236.0
total net number of migrants,516,namibia,na,24,1973,-1066.0
total net number of migrants,516,namibia,na,25,1974,-744.0
total net number of migrants,516,namibia,na,26,1975,-553.0
total net number of migrants,516,namibia,na,27,1976,-5048.0
total net number of migrants,516,namibia,na,28,1977,-3907.0
total net number of migrants,516,namibia,na,29,1978,-22827.0
total net number of migrants,516,namibia,na,30,1979,-4818.0
total net number of migrants,516,namibia,na,31,1980,-15041.0
total net number of migrants,516,namibia,na,32,1981,-18901.0
total net number of migrants,516,namibia,na,33,1982,-889.0
total net number of migrants,516,namibia,na,34,1983,-481.0
total net number of migrants,516,namibia,na,35,1984,-267.0
total net number of migrants,516,namibia,na,36,1985,2090.0
total net number of migrants,516,namibia,na,37,1986,3953.0
total net number of migrants,516,namibia,na,38,1987,4559.0
total net number of migrants,516,namibia,na,39,1988,10916.0
total net number of migrants,516,namibia,na,40,1989,75072.0
total net number of migrants,516,namibia,na,41,1990,3969.0
total net number of migrants,516,namibia,na,42,1991,309.0
total net number of migrants,516,namibia,na,43,1992,2487.0
total net number of migrants,516,namibia,na,44,1993,5464.0
total net number of migrants,516,namibia,na,45,1994,5578.0
total net number of migrants,516,namibia,na,46,1995,5712.0
total net number of migrants,516,namibia,na,47,1996,5866.0
total net number of migrants,516,namibia,na,48,1997,6023.0
total net number of migrants,516,namibia,na,49,1998,6180.0
total net number of migrants,516,namibia,na,50,1999,6333.0
total net number of migrants,516,namibia,na,51,2000,5709.0
total net number of migrants,516,namibia,na,52,2001,2869.0
total net number of migrants,516,namibia,na,53,2002,-1913.0
total net number of migrants,516,namibia,na,54,2003,-6153.0
total net number of migrants,516,namibia,na,55,2004,-7192.0
total net number of migrants,516,namibia,na,56,2005,-8195.0
total net number of migrants,516,namibia,na,57,2006,-8792.0
total net number of migrants,516,namibia,na,58,2007,-8905.0
total net number of migrants,516,namibia,na,59,2008,-8775.0
total net number of migrants,516,namibia,na,60,2009,-8626.0
total net number of migrants,516,namibia,na,61,2010,-8518.0
total net number of migrants,516,namibia,na,62,2011,-8639.0
total net number of migrants,516,namibia,na,63,2012,-8596.0
total net number of migrants,516,namibia,na,64,2013,-8580.0
total net number of migrants,516,namibia,na,65,2014,-8607.0
total net number of migrants,516,namibia,na,66,2015,-8596.0
total net number of migrants,516,namibia,na,67,2016,-8596.0
total net number of migrants,516,namibia,na,68,2017,-8597.0
total net number of migrants,516,namibia,na,69,2018,-8596.0
total net number of migrants,516,namibia,na,70,2019,-8596.0
total net number of migrants,516,namibia,na,71,2020,-4301.0
total net number of migrants,516,namibia,na,72,2021,-4301.0
total net number of migrants,516,namibia,na,73,2022,-4061.0
total net number of migrants,516,namibia,na,74,2023,-3916.0
