indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,524,nepal,np,1,1950,0.46
crude rate of net migration,524,nepal,np,2,1951,-2.0
crude rate of net migration,524,nepal,np,3,1952,-635.0
crude rate of net migration,524,nepal,np,4,1953,-1482.0
crude rate of net migration,524,nepal,np,5,1954,-1575.0
crude rate of net migration,524,nepal,np,6,1955,-1772.0
crude rate of net migration,524,nepal,np,7,1956,-1898.0
crude rate of net migration,524,nepal,np,8,1957,-2045.0
crude rate of net migration,524,nepal,np,9,1958,-2758.0
crude rate of net migration,524,nepal,np,10,1959,-1699.0
crude rate of net migration,524,nepal,np,11,1960,-1301.0
crude rate of net migration,524,nepal,np,12,1961,-1023.0
crude rate of net migration,524,nepal,np,13,1962,-875.0
crude rate of net migration,524,nepal,np,14,1963,-771.0
crude rate of net migration,524,nepal,np,15,1964,-554.0
crude rate of net migration,524,nepal,np,16,1965,-139.0
crude rate of net migration,524,nepal,np,17,1966,-288.0
crude rate of net migration,524,nepal,np,18,1967,0.03
crude rate of net migration,524,nepal,np,19,1968,-63.0
crude rate of net migration,524,nepal,np,20,1969,-44.0
crude rate of net migration,524,nepal,np,21,1970,148.0
crude rate of net migration,524,nepal,np,22,1971,-0.57
crude rate of net migration,524,nepal,np,23,1972,-162.0
crude rate of net migration,524,nepal,np,24,1973,-82.0
crude rate of net migration,524,nepal,np,25,1974,-0.32
crude rate of net migration,524,nepal,np,26,1975,-479.0
crude rate of net migration,524,nepal,np,27,1976,-1063.0
crude rate of net migration,524,nepal,np,28,1977,145.0
crude rate of net migration,524,nepal,np,29,1978,24.0
crude rate of net migration,524,nepal,np,30,1979,7.0
crude rate of net migration,524,nepal,np,31,1980,326.0
crude rate of net migration,524,nepal,np,32,1981,-304.0
crude rate of net migration,524,nepal,np,33,1982,-238.0
crude rate of net migration,524,nepal,np,34,1983,79.0
crude rate of net migration,524,nepal,np,35,1984,-1125.0
crude rate of net migration,524,nepal,np,36,1985,-1719.0
crude rate of net migration,524,nepal,np,37,1986,-2.62
crude rate of net migration,524,nepal,np,38,1987,-3948.0
crude rate of net migration,524,nepal,np,39,1988,-3.43
crude rate of net migration,524,nepal,np,40,1989,-2079.0
crude rate of net migration,524,nepal,np,41,1990,-33.0
crude rate of net migration,524,nepal,np,42,1991,848.0
crude rate of net migration,524,nepal,np,43,1992,4071.0
crude rate of net migration,524,nepal,np,44,1993,-1775.0
crude rate of net migration,524,nepal,np,45,1994,-1257.0
crude rate of net migration,524,nepal,np,46,1995,-3861.0
crude rate of net migration,524,nepal,np,47,1996,-4048.0
crude rate of net migration,524,nepal,np,48,1997,-4231.0
crude rate of net migration,524,nepal,np,49,1998,-4569.0
crude rate of net migration,524,nepal,np,50,1999,-5.07
crude rate of net migration,524,nepal,np,51,2000,-5984.0
crude rate of net migration,524,nepal,np,52,2001,-5961.0
crude rate of net migration,524,nepal,np,53,2002,-6307.0
crude rate of net migration,524,nepal,np,54,2003,-7.1
crude rate of net migration,524,nepal,np,55,2004,-8.14
crude rate of net migration,524,nepal,np,56,2005,-9046.0
crude rate of net migration,524,nepal,np,57,2006,-10179.0
crude rate of net migration,524,nepal,np,58,2007,-10.53
crude rate of net migration,524,nepal,np,59,2008,-10911.0
crude rate of net migration,524,nepal,np,60,2009,-11068.0
crude rate of net migration,524,nepal,np,61,2010,-10753.0
crude rate of net migration,524,nepal,np,62,2011,-12666.0
crude rate of net migration,524,nepal,np,63,2012,-13508.0
crude rate of net migration,524,nepal,np,64,2013,-13532.0
crude rate of net migration,524,nepal,np,65,2014,-11.23
crude rate of net migration,524,nepal,np,66,2015,-7975.0
crude rate of net migration,524,nepal,np,67,2016,-3512.0
crude rate of net migration,524,nepal,np,68,2017,-2766.0
crude rate of net migration,524,nepal,np,69,2018,-2842.0
crude rate of net migration,524,nepal,np,70,2019,-2445.0
crude rate of net migration,524,nepal,np,71,2020,10504.0
crude rate of net migration,524,nepal,np,72,2021,9922.0
crude rate of net migration,524,nepal,np,73,2022,-2028.0
crude rate of net migration,524,nepal,np,74,2023,-2005.0
