indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,524,nepal,np,1,1950,3860.0
total net number of migrants,524,nepal,np,2,1951,-15.0
total net number of migrants,524,nepal,np,3,1952,-5568.0
total net number of migrants,524,nepal,np,4,1953,-13252.0
total net number of migrants,524,nepal,np,5,1954,-14362.0
total net number of migrants,524,nepal,np,6,1955,-16468.0
total net number of migrants,524,nepal,np,7,1956,-17968.0
total net number of migrants,524,nepal,np,8,1957,-19718.0
total net number of migrants,524,nepal,np,9,1958,-27085.0
total net number of migrants,524,nepal,np,10,1959,-16974.0
total net number of migrants,524,nepal,np,11,1960,-13235.0
total net number of migrants,524,nepal,np,12,1961,-10608.0
total net number of migrants,524,nepal,np,13,1962,-9259.0
total net number of migrants,524,nepal,np,14,1963,-8313.0
total net number of migrants,524,nepal,np,15,1964,-6094.0
total net number of migrants,524,nepal,np,16,1965,-1559.0
total net number of migrants,524,nepal,np,17,1966,-3307.0
total net number of migrants,524,nepal,np,18,1967,355.0
total net number of migrants,524,nepal,np,19,1968,-757.0
total net number of migrants,524,nepal,np,20,1969,-539.0
total net number of migrants,524,nepal,np,21,1970,1846.0
total net number of migrants,524,nepal,np,22,1971,-7285.0
total net number of migrants,524,nepal,np,23,1972,-2111.0
total net number of migrants,524,nepal,np,24,1973,-1089.0
total net number of migrants,524,nepal,np,25,1974,-4360.0
total net number of migrants,524,nepal,np,26,1975,-6677.0
total net number of migrants,524,nepal,np,27,1976,-15131.0
total net number of migrants,524,nepal,np,28,1977,2113.0
total net number of migrants,524,nepal,np,29,1978,351.0
total net number of migrants,524,nepal,np,30,1979,105.0
total net number of migrants,524,nepal,np,31,1980,5084.0
total net number of migrants,524,nepal,np,32,1981,-4859.0
total net number of migrants,524,nepal,np,33,1982,-3898.0
total net number of migrants,524,nepal,np,34,1983,1314.0
total net number of migrants,524,nepal,np,35,1984,-19303.0
total net number of migrants,524,nepal,np,36,1985,-30173.0
total net number of migrants,524,nepal,np,37,1986,-47064.0
total net number of migrants,524,nepal,np,38,1987,-72511.0
total net number of migrants,524,nepal,np,39,1988,-64324.0
total net number of migrants,524,nepal,np,40,1989,-39853.0
total net number of migrants,524,nepal,np,41,1990,-650.0
total net number of migrants,524,nepal,np,42,1991,17056.0
total net number of migrants,524,nepal,np,43,1992,84106.0
total net number of migrants,524,nepal,np,44,1993,-37782.0
total net number of migrants,524,nepal,np,45,1994,-27423.0
total net number of migrants,524,nepal,np,46,1995,-86300.0
total net number of migrants,524,nepal,np,47,1996,-92417.0
total net number of migrants,524,nepal,np,48,1997,-98574.0
total net number of migrants,524,nepal,np,49,1998,-108537.0
total net number of migrants,524,nepal,np,50,1999,-122704.0
total net number of migrants,524,nepal,np,51,2000,-147403.0
total net number of migrants,524,nepal,np,52,2001,-149185.0
total net number of migrants,524,nepal,np,53,2002,-160257.0
total net number of migrants,524,nepal,np,54,2003,-183002.0
total net number of migrants,524,nepal,np,55,2004,-212507.0
total net number of migrants,524,nepal,np,56,2005,-238799.0
total net number of migrants,524,nepal,np,57,2006,-271254.0
total net number of migrants,524,nepal,np,58,2007,-282748.0
total net number of migrants,524,nepal,np,59,2008,-294886.0
total net number of migrants,524,nepal,np,60,2009,-300762.0
total net number of migrants,524,nepal,np,61,2010,-293613.0
total net number of migrants,524,nepal,np,62,2011,-347554.0
total net number of migrants,524,nepal,np,63,2012,-371708.0
total net number of migrants,524,nepal,np,64,2013,-373065.0
total net number of migrants,524,nepal,np,65,2014,-310157.0
total net number of migrants,524,nepal,np,66,2015,-221059.0
total net number of migrants,524,nepal,np,67,2016,-98016.0
total net number of migrants,524,nepal,np,68,2017,-78062.0
total net number of migrants,524,nepal,np,69,2018,-81130.0
total net number of migrants,524,nepal,np,70,2019,-70597.0
total net number of migrants,524,nepal,np,71,2020,306664.0
total net number of migrants,524,nepal,np,72,2021,296541.0
total net number of migrants,524,nepal,np,73,2022,-62012.0
total net number of migrants,524,nepal,np,74,2023,-62012.0
