indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,528,netherlands,nl,1,1950,-2.15
crude rate of net migration,528,netherlands,nl,2,1951,-1912.0
crude rate of net migration,528,netherlands,nl,3,1952,-1.66
crude rate of net migration,528,netherlands,nl,4,1953,-1406.0
crude rate of net migration,528,netherlands,nl,5,1954,-1232.0
crude rate of net migration,528,netherlands,nl,6,1955,-1.02
crude rate of net migration,528,netherlands,nl,7,1956,-823.0
crude rate of net migration,528,netherlands,nl,8,1957,-609.0
crude rate of net migration,528,netherlands,nl,9,1958,-447.0
crude rate of net migration,528,netherlands,nl,10,1959,-0.29
crude rate of net migration,528,netherlands,nl,11,1960,-161.0
crude rate of net migration,528,netherlands,nl,12,1961,-0.04
crude rate of net migration,528,netherlands,nl,13,1962,117.0
crude rate of net migration,528,netherlands,nl,14,1963,296.0
crude rate of net migration,528,netherlands,nl,15,1964,467.0
crude rate of net migration,528,netherlands,nl,16,1965,659.0
crude rate of net migration,528,netherlands,nl,17,1966,856.0
crude rate of net migration,528,netherlands,nl,18,1967,1083.0
crude rate of net migration,528,netherlands,nl,19,1968,11689.0
crude rate of net migration,528,netherlands,nl,20,1969,1574.0
crude rate of net migration,528,netherlands,nl,21,1970,1845.0
crude rate of net migration,528,netherlands,nl,22,1971,2071.0
crude rate of net migration,528,netherlands,nl,23,1972,2239.0
crude rate of net migration,528,netherlands,nl,24,1973,2349.0
crude rate of net migration,528,netherlands,nl,25,1974,2409.0
crude rate of net migration,528,netherlands,nl,26,1975,2416.0
crude rate of net migration,528,netherlands,nl,27,1976,2374.0
crude rate of net migration,528,netherlands,nl,28,1977,2275.0
crude rate of net migration,528,netherlands,nl,29,1978,2133.0
crude rate of net migration,528,netherlands,nl,30,1979,1948.0
crude rate of net migration,528,netherlands,nl,31,1980,1715.0
crude rate of net migration,528,netherlands,nl,32,1981,19360.0
crude rate of net migration,528,netherlands,nl,33,1982,1407.0
crude rate of net migration,528,netherlands,nl,34,1983,1332.0
crude rate of net migration,528,netherlands,nl,35,1984,44986.0
crude rate of net migration,528,netherlands,nl,36,1985,11689.0
crude rate of net migration,528,netherlands,nl,37,1986,1396.0
crude rate of net migration,528,netherlands,nl,38,1987,1519.0
crude rate of net migration,528,netherlands,nl,39,1988,1688.0
crude rate of net migration,528,netherlands,nl,40,1989,1902.0
crude rate of net migration,528,netherlands,nl,41,1990,2168.0
crude rate of net migration,528,netherlands,nl,42,1991,2361.0
crude rate of net migration,528,netherlands,nl,43,1992,2496.0
crude rate of net migration,528,netherlands,nl,44,1993,20486.0
crude rate of net migration,528,netherlands,nl,45,1994,20852.0
crude rate of net migration,528,netherlands,nl,46,1995,2513.0
crude rate of net migration,528,netherlands,nl,47,1996,2397.0
crude rate of net migration,528,netherlands,nl,48,1997,2221.0
crude rate of net migration,528,netherlands,nl,49,1998,1985.0
crude rate of net migration,528,netherlands,nl,50,1999,1702.0
crude rate of net migration,528,netherlands,nl,51,2000,1363.0
crude rate of net migration,528,netherlands,nl,52,2001,1106.0
crude rate of net migration,528,netherlands,nl,53,2002,921.0
crude rate of net migration,528,netherlands,nl,54,2003,814.0
crude rate of net migration,528,netherlands,nl,55,2004,792.0
crude rate of net migration,528,netherlands,nl,56,2005,837.0
crude rate of net migration,528,netherlands,nl,57,2006,958.0
crude rate of net migration,528,netherlands,nl,58,2007,1144.0
crude rate of net migration,528,netherlands,nl,59,2008,1411.0
crude rate of net migration,528,netherlands,nl,60,2009,1742.0
crude rate of net migration,528,netherlands,nl,61,2010,2146.0
crude rate of net migration,528,netherlands,nl,62,2011,2505.0
crude rate of net migration,528,netherlands,nl,63,2012,45140.0
crude rate of net migration,528,netherlands,nl,64,2013,3044.0
crude rate of net migration,528,netherlands,nl,65,2014,3242.0
crude rate of net migration,528,netherlands,nl,66,2015,3391.0
crude rate of net migration,528,netherlands,nl,67,2016,3482.0
crude rate of net migration,528,netherlands,nl,68,2017,3527.0
crude rate of net migration,528,netherlands,nl,69,2018,3521.0
crude rate of net migration,528,netherlands,nl,70,2019,3477.0
crude rate of net migration,528,netherlands,nl,71,2020,3379.0
crude rate of net migration,528,netherlands,nl,72,2021,3287.0
crude rate of net migration,528,netherlands,nl,73,2022,1709.0
crude rate of net migration,528,netherlands,nl,74,2023,1704.0
