indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,528,netherlands,nl,1,1950,-21716.0
total net number of migrants,528,netherlands,nl,2,1951,-19567.0
total net number of migrants,528,netherlands,nl,3,1952,-17219.0
total net number of migrants,528,netherlands,nl,4,1953,-14769.0
total net number of migrants,528,netherlands,nl,5,1954,-13103.0
total net number of migrants,528,netherlands,nl,6,1955,-10986.0
total net number of migrants,528,netherlands,nl,7,1956,-8984.0
total net number of migrants,528,netherlands,nl,8,1957,-6726.0
total net number of migrants,528,netherlands,nl,9,1958,-5001.0
total net number of migrants,528,netherlands,nl,10,1959,-3285.0
total net number of migrants,528,netherlands,nl,11,1960,-1845.0
total net number of migrants,528,netherlands,nl,12,1961,-469.0
total net number of migrants,528,netherlands,nl,13,1962,1376.0
total net number of migrants,528,netherlands,nl,14,1963,3544.0
total net number of migrants,528,netherlands,nl,15,1964,5663.0
total net number of migrants,528,netherlands,nl,16,1965,8091.0
total net number of migrants,528,netherlands,nl,17,1966,10636.0
total net number of migrants,528,netherlands,nl,18,1967,13608.0
total net number of migrants,528,netherlands,nl,19,1968,16791.0
total net number of migrants,528,netherlands,nl,20,1969,20270.0
total net number of migrants,528,netherlands,nl,21,1970,24024.0
total net number of migrants,528,netherlands,nl,22,1971,27272.0
total net number of migrants,528,netherlands,nl,23,1972,29789.0
total net number of migrants,528,netherlands,nl,24,1973,31535.0
total net number of migrants,528,netherlands,nl,25,1974,32613.0
total net number of migrants,528,netherlands,nl,26,1975,32971.0
total net number of migrants,528,netherlands,nl,27,1976,32630.0
total net number of migrants,528,netherlands,nl,28,1977,31478.0
total net number of migrants,528,netherlands,nl,29,1978,29717.0
total net number of migrants,528,netherlands,nl,30,1979,27325.0
total net number of migrants,528,netherlands,nl,31,1980,24210.0
total net number of migrants,528,netherlands,nl,32,1981,21737.0
total net number of migrants,528,netherlands,nl,33,1982,20102.0
total net number of migrants,528,netherlands,nl,34,1983,19123.0
total net number of migrants,528,netherlands,nl,35,1984,18758.0
total net number of migrants,528,netherlands,nl,36,1985,19149.0
total net number of migrants,528,netherlands,nl,37,1986,20357.0
total net number of migrants,528,netherlands,nl,38,1987,22282.0
total net number of migrants,528,netherlands,nl,39,1988,24900.0
total net number of migrants,528,netherlands,nl,40,1989,28219.0
total net number of migrants,528,netherlands,nl,41,1990,32373.0
total net number of migrants,528,netherlands,nl,42,1991,35486.0
total net number of migrants,528,netherlands,nl,43,1992,37760.0
total net number of migrants,528,netherlands,nl,44,1993,38984.0
total net number of migrants,528,netherlands,nl,45,1994,39389.0
total net number of migrants,528,netherlands,nl,46,1995,38760.0
total net number of migrants,528,netherlands,nl,47,1996,37200.0
total net number of migrants,528,netherlands,nl,48,1997,34673.0
total net number of migrants,528,netherlands,nl,49,1998,31182.0
total net number of migrants,528,netherlands,nl,50,1999,26897.0
total net number of migrants,528,netherlands,nl,51,2000,21650.0
total net number of migrants,528,netherlands,nl,52,2001,17665.0
total net number of migrants,528,netherlands,nl,53,2002,14789.0
total net number of migrants,528,netherlands,nl,54,2003,13122.0
total net number of migrants,528,netherlands,nl,55,2004,12819.0
total net number of migrants,528,netherlands,nl,56,2005,13610.0
total net number of migrants,528,netherlands,nl,57,2006,15632.0
total net number of migrants,528,netherlands,nl,58,2007,18739.0
total net number of migrants,528,netherlands,nl,59,2008,23206.0
total net number of migrants,528,netherlands,nl,60,2009,28780.0
total net number of migrants,528,netherlands,nl,61,2010,35628.0
total net number of migrants,528,netherlands,nl,62,2011,41782.0
total net number of migrants,528,netherlands,nl,63,2012,46924.0
total net number of migrants,528,netherlands,nl,64,2013,51268.0
total net number of migrants,528,netherlands,nl,65,2014,54876.0
total net number of migrants,528,netherlands,nl,66,2015,57677.0
total net number of migrants,528,netherlands,nl,67,2016,59528.0
total net number of migrants,528,netherlands,nl,68,2017,60585.0
total net number of migrants,528,netherlands,nl,69,2018,60758.0
total net number of migrants,528,netherlands,nl,70,2019,60266.0
total net number of migrants,528,netherlands,nl,71,2020,58816.0
total net number of migrants,528,netherlands,nl,72,2021,57439.0
total net number of migrants,528,netherlands,nl,73,2022,29998.0
total net number of migrants,528,netherlands,nl,74,2023,29998.0
