indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,562,niger,ne,1,1950,6665.0
total net number of migrants,562,niger,ne,2,1951,4322.0
total net number of migrants,562,niger,ne,3,1952,2056.0
total net number of migrants,562,niger,ne,4,1953,0.0
total net number of migrants,562,niger,ne,5,1954,-1829.0
total net number of migrants,562,niger,ne,6,1955,-3310.0
total net number of migrants,562,niger,ne,7,1956,-4370.0
total net number of migrants,562,niger,ne,8,1957,-4940.0
total net number of migrants,562,niger,ne,9,1958,-4935.0
total net number of migrants,562,niger,ne,10,1959,-4426.0
total net number of migrants,562,niger,ne,11,1960,-3653.0
total net number of migrants,562,niger,ne,12,1961,-2893.0
total net number of migrants,562,niger,ne,13,1962,-2375.0
total net number of migrants,562,niger,ne,14,1963,-2301.0
total net number of migrants,562,niger,ne,15,1964,-2301.0
total net number of migrants,562,niger,ne,16,1965,-2301.0
total net number of migrants,562,niger,ne,17,1966,-2301.0
total net number of migrants,562,niger,ne,18,1967,-2301.0
total net number of migrants,562,niger,ne,19,1968,-2287.0
total net number of migrants,562,niger,ne,20,1969,-2249.0
total net number of migrants,562,niger,ne,21,1970,-2226.0
total net number of migrants,562,niger,ne,22,1971,-2287.0
total net number of migrants,562,niger,ne,23,1972,-2532.0
total net number of migrants,562,niger,ne,24,1973,-2951.0
total net number of migrants,562,niger,ne,25,1974,-3181.0
total net number of migrants,562,niger,ne,26,1975,-3256.0
total net number of migrants,562,niger,ne,27,1976,-3312.0
total net number of migrants,562,niger,ne,28,1977,-3476.0
total net number of migrants,562,niger,ne,29,1978,-3496.0
total net number of migrants,562,niger,ne,30,1979,-3498.0
total net number of migrants,562,niger,ne,31,1980,-5582.0
total net number of migrants,562,niger,ne,32,1981,-7580.0
total net number of migrants,562,niger,ne,33,1982,-8959.0
total net number of migrants,562,niger,ne,34,1983,-9231.0
total net number of migrants,562,niger,ne,35,1984,-9227.0
total net number of migrants,562,niger,ne,36,1985,-6141.0
total net number of migrants,562,niger,ne,37,1986,-2731.0
total net number of migrants,562,niger,ne,38,1987,-2347.0
total net number of migrants,562,niger,ne,39,1988,-1148.0
total net number of migrants,562,niger,ne,40,1989,619.0
total net number of migrants,562,niger,ne,41,1990,84.0
total net number of migrants,562,niger,ne,42,1991,-1513.0
total net number of migrants,562,niger,ne,43,1992,-2266.0
total net number of migrants,562,niger,ne,44,1993,-2277.0
total net number of migrants,562,niger,ne,45,1994,-966.0
total net number of migrants,562,niger,ne,46,1995,3837.0
total net number of migrants,562,niger,ne,47,1996,-8065.0
total net number of migrants,562,niger,ne,48,1997,-13699.0
total net number of migrants,562,niger,ne,49,1998,-7303.0
total net number of migrants,562,niger,ne,50,1999,-12054.0
total net number of migrants,562,niger,ne,51,2000,-8533.0
total net number of migrants,562,niger,ne,52,2001,-8668.0
total net number of migrants,562,niger,ne,53,2002,-9560.0
total net number of migrants,562,niger,ne,54,2003,-8855.0
total net number of migrants,562,niger,ne,55,2004,-9082.0
total net number of migrants,562,niger,ne,56,2005,-9710.0
total net number of migrants,562,niger,ne,57,2006,-10071.0
total net number of migrants,562,niger,ne,58,2007,-10086.0
total net number of migrants,562,niger,ne,59,2008,-9853.0
total net number of migrants,562,niger,ne,60,2009,-9028.0
total net number of migrants,562,niger,ne,61,2010,-8045.0
total net number of migrants,562,niger,ne,62,2011,-6953.0
total net number of migrants,562,niger,ne,63,2012,18714.0
total net number of migrants,562,niger,ne,64,2013,-2551.0
total net number of migrants,562,niger,ne,65,2014,3883.0
total net number of migrants,562,niger,ne,66,2015,17051.0
total net number of migrants,562,niger,ne,67,2016,14833.0
total net number of migrants,562,niger,ne,68,2017,-6827.0
total net number of migrants,562,niger,ne,69,2018,-3816.0
total net number of migrants,562,niger,ne,70,2019,-15787.0
total net number of migrants,562,niger,ne,71,2020,-4403.0
total net number of migrants,562,niger,ne,72,2021,-4405.0
total net number of migrants,562,niger,ne,73,2022,1000.0
total net number of migrants,562,niger,ne,74,2023,1000.0
