indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,566,nigeria,ng,1,1950,552.0
crude rate of net migration,566,nigeria,ng,2,1951,464.0
crude rate of net migration,566,nigeria,ng,3,1952,154.0
crude rate of net migration,566,nigeria,ng,4,1953,-417.0
crude rate of net migration,566,nigeria,ng,5,1954,-286.0
crude rate of net migration,566,nigeria,ng,6,1955,-309.0
crude rate of net migration,566,nigeria,ng,7,1956,-315.0
crude rate of net migration,566,nigeria,ng,8,1957,-396.0
crude rate of net migration,566,nigeria,ng,9,1958,-1097.0
crude rate of net migration,566,nigeria,ng,10,1959,-66.0
crude rate of net migration,566,nigeria,ng,11,1960,271.0
crude rate of net migration,566,nigeria,ng,12,1961,0.46
crude rate of net migration,566,nigeria,ng,13,1962,498.0
crude rate of net migration,566,nigeria,ng,14,1963,463.0
crude rate of net migration,566,nigeria,ng,15,1964,439.0
crude rate of net migration,566,nigeria,ng,16,1965,565.0
crude rate of net migration,566,nigeria,ng,17,1966,146.0
crude rate of net migration,566,nigeria,ng,18,1967,271.0
crude rate of net migration,566,nigeria,ng,19,1968,93.0
crude rate of net migration,566,nigeria,ng,20,1969,31.0
crude rate of net migration,566,nigeria,ng,21,1970,143.0
crude rate of net migration,566,nigeria,ng,22,1971,-626.0
crude rate of net migration,566,nigeria,ng,23,1972,-225.0
crude rate of net migration,566,nigeria,ng,24,1973,-12.0
crude rate of net migration,566,nigeria,ng,25,1974,723.0
crude rate of net migration,566,nigeria,ng,26,1975,1201.0
crude rate of net migration,566,nigeria,ng,27,1976,1125.0
crude rate of net migration,566,nigeria,ng,28,1977,1939.0
crude rate of net migration,566,nigeria,ng,29,1978,1622.0
crude rate of net migration,566,nigeria,ng,30,1979,1947.0
crude rate of net migration,566,nigeria,ng,31,1980,2531.0
crude rate of net migration,566,nigeria,ng,32,1981,44958.0
crude rate of net migration,566,nigeria,ng,33,1982,947.0
crude rate of net migration,566,nigeria,ng,34,1983,-6375.0
crude rate of net migration,566,nigeria,ng,35,1984,827.0
crude rate of net migration,566,nigeria,ng,36,1985,237.0
crude rate of net migration,566,nigeria,ng,37,1986,145.0
crude rate of net migration,566,nigeria,ng,38,1987,455.0
crude rate of net migration,566,nigeria,ng,39,1988,0.8
crude rate of net migration,566,nigeria,ng,40,1989,881.0
crude rate of net migration,566,nigeria,ng,41,1990,1126.0
crude rate of net migration,566,nigeria,ng,42,1991,0.13
crude rate of net migration,566,nigeria,ng,43,1992,636.0
crude rate of net migration,566,nigeria,ng,44,1993,588.0
crude rate of net migration,566,nigeria,ng,45,1994,931.0
crude rate of net migration,566,nigeria,ng,46,1995,402.0
crude rate of net migration,566,nigeria,ng,47,1996,493.0
crude rate of net migration,566,nigeria,ng,48,1997,0.59
crude rate of net migration,566,nigeria,ng,49,1998,533.0
crude rate of net migration,566,nigeria,ng,50,1999,345.0
crude rate of net migration,566,nigeria,ng,51,2000,278.0
crude rate of net migration,566,nigeria,ng,52,2001,295.0
crude rate of net migration,566,nigeria,ng,53,2002,306.0
crude rate of net migration,566,nigeria,ng,54,2003,32.0
crude rate of net migration,566,nigeria,ng,55,2004,121.0
crude rate of net migration,566,nigeria,ng,56,2005,-333.0
crude rate of net migration,566,nigeria,ng,57,2006,-288.0
crude rate of net migration,566,nigeria,ng,58,2007,-263.0
crude rate of net migration,566,nigeria,ng,59,2008,-285.0
crude rate of net migration,566,nigeria,ng,60,2009,-309.0
crude rate of net migration,566,nigeria,ng,61,2010,112.0
crude rate of net migration,566,nigeria,ng,62,2011,231.0
crude rate of net migration,566,nigeria,ng,63,2012,245.0
crude rate of net migration,566,nigeria,ng,64,2013,61.0
crude rate of net migration,566,nigeria,ng,65,2014,-275.0
crude rate of net migration,566,nigeria,ng,66,2015,-793.0
crude rate of net migration,566,nigeria,ng,67,2016,-288.0
crude rate of net migration,566,nigeria,ng,68,2017,78.0
crude rate of net migration,566,nigeria,ng,69,2018,-0.41
crude rate of net migration,566,nigeria,ng,70,2019,-511.0
crude rate of net migration,566,nigeria,ng,71,2020,-23.0
crude rate of net migration,566,nigeria,ng,72,2021,-358.0
crude rate of net migration,566,nigeria,ng,73,2022,-274.0
crude rate of net migration,566,nigeria,ng,74,2023,-268.0
