indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,566,nigeria,ng,1,1950,20550.0
total net number of migrants,566,nigeria,ng,2,1951,17604.0
total net number of migrants,566,nigeria,ng,3,1952,5964.0
total net number of migrants,566,nigeria,ng,4,1953,-16417.0
total net number of migrants,566,nigeria,ng,5,1954,-11451.0
total net number of migrants,566,nigeria,ng,6,1955,-12619.0
total net number of migrants,566,nigeria,ng,7,1956,-13093.0
total net number of migrants,566,nigeria,ng,8,1957,-16814.0
total net number of migrants,566,nigeria,ng,9,1958,-47446.0
total net number of migrants,566,nigeria,ng,10,1959,-2927.0
total net number of migrants,566,nigeria,ng,11,1960,12174.0
total net number of migrants,566,nigeria,ng,12,1961,21080.0
total net number of migrants,566,nigeria,ng,13,1962,23312.0
total net number of migrants,566,nigeria,ng,14,1963,22134.0
total net number of migrants,566,nigeria,ng,15,1964,21439.0
total net number of migrants,566,nigeria,ng,16,1965,28207.0
total net number of migrants,566,nigeria,ng,17,1966,7449.0
total net number of migrants,566,nigeria,ng,18,1967,14132.0
total net number of migrants,566,nigeria,ng,19,1968,4930.0
total net number of migrants,566,nigeria,ng,20,1969,1669.0
total net number of migrants,566,nigeria,ng,21,1970,7960.0
total net number of migrants,566,nigeria,ng,22,1971,-35585.0
total net number of migrants,566,nigeria,ng,23,1972,-13077.0
total net number of migrants,566,nigeria,ng,24,1973,-699.0
total net number of migrants,566,nigeria,ng,25,1974,44211.0
total net number of migrants,566,nigeria,ng,26,1975,75448.0
total net number of migrants,566,nigeria,ng,27,1976,72700.0
total net number of migrants,566,nigeria,ng,28,1977,129022.0
total net number of migrants,566,nigeria,ng,29,1978,111237.0
total net number of migrants,566,nigeria,ng,30,1979,137656.0
total net number of migrants,566,nigeria,ng,31,1980,184467.0
total net number of migrants,566,nigeria,ng,32,1981,90174.0
total net number of migrants,566,nigeria,ng,33,1982,73253.0
total net number of migrants,566,nigeria,ng,34,1983,-507539.0
total net number of migrants,566,nigeria,ng,35,1984,67234.0
total net number of migrants,566,nigeria,ng,36,1985,19791.0
total net number of migrants,566,nigeria,ng,37,1986,12447.0
total net number of migrants,566,nigeria,ng,38,1987,40048.0
total net number of migrants,566,nigeria,ng,39,1988,72254.0
total net number of migrants,566,nigeria,ng,40,1989,81688.0
total net number of migrants,566,nigeria,ng,41,1990,107212.0
total net number of migrants,566,nigeria,ng,42,1991,12661.0
total net number of migrants,566,nigeria,ng,43,1992,63692.0
total net number of migrants,566,nigeria,ng,44,1993,60446.0
total net number of migrants,566,nigeria,ng,45,1994,98121.0
total net number of migrants,566,nigeria,ng,46,1995,43504.0
total net number of migrants,566,nigeria,ng,47,1996,54743.0
total net number of migrants,566,nigeria,ng,48,1997,67109.0
total net number of migrants,566,nigeria,ng,49,1998,62195.0
total net number of migrants,566,nigeria,ng,50,1999,41275.0
total net number of migrants,566,nigeria,ng,51,2000,34146.0
total net number of migrants,566,nigeria,ng,52,2001,37267.0
total net number of migrants,566,nigeria,ng,53,2002,39619.0
total net number of migrants,566,nigeria,ng,54,2003,4194.0
total net number of migrants,566,nigeria,ng,55,2004,16528.0
total net number of migrants,566,nigeria,ng,56,2005,-46749.0
total net number of migrants,566,nigeria,ng,57,2006,-41526.0
total net number of migrants,566,nigeria,ng,58,2007,-38960.0
total net number of migrants,566,nigeria,ng,59,2008,-43402.0
total net number of migrants,566,nigeria,ng,60,2009,-48397.0
total net number of migrants,566,nigeria,ng,61,2010,18073.0
total net number of migrants,566,nigeria,ng,62,2011,38226.0
total net number of migrants,566,nigeria,ng,63,2012,41741.0
total net number of migrants,566,nigeria,ng,64,2013,10588.0
total net number of migrants,566,nigeria,ng,65,2014,-49351.0
total net number of migrants,566,nigeria,ng,66,2015,-145917.0
total net number of migrants,566,nigeria,ng,67,2016,-54315.0
total net number of migrants,566,nigeria,ng,68,2017,15016.0
total net number of migrants,566,nigeria,ng,69,2018,-81384.0
total net number of migrants,566,nigeria,ng,70,2019,-103989.0
total net number of migrants,566,nigeria,ng,71,2020,-4824.0
total net number of migrants,566,nigeria,ng,72,2021,-76364.0
total net number of migrants,566,nigeria,ng,73,2022,-59996.0
total net number of migrants,566,nigeria,ng,74,2023,-59996.0
