indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,807,north macedonia,mk,1,1950,5344.0
crude rate of net migration,807,north macedonia,mk,2,1951,3233.0
crude rate of net migration,807,north macedonia,mk,3,1952,1061.0
crude rate of net migration,807,north macedonia,mk,4,1953,-1027.0
crude rate of net migration,807,north macedonia,mk,5,1954,-8328.0
crude rate of net migration,807,north macedonia,mk,6,1955,-8143.0
crude rate of net migration,807,north macedonia,mk,7,1956,-8.17
crude rate of net migration,807,north macedonia,mk,8,1957,-8179.0
crude rate of net migration,807,north macedonia,mk,9,1958,-8086.0
crude rate of net migration,807,north macedonia,mk,10,1959,-7895.0
crude rate of net migration,807,north macedonia,mk,11,1960,-6904.0
crude rate of net migration,807,north macedonia,mk,12,1961,-4.25
crude rate of net migration,807,north macedonia,mk,13,1962,-9112.0
crude rate of net migration,807,north macedonia,mk,14,1963,-3805.0
crude rate of net migration,807,north macedonia,mk,15,1964,-3875.0
crude rate of net migration,807,north macedonia,mk,16,1965,-3.47
crude rate of net migration,807,north macedonia,mk,17,1966,-2.66
crude rate of net migration,807,north macedonia,mk,18,1967,-1694.0
crude rate of net migration,807,north macedonia,mk,19,1968,-742.0
crude rate of net migration,807,north macedonia,mk,20,1969,114.0
crude rate of net migration,807,north macedonia,mk,21,1970,42.0
crude rate of net migration,807,north macedonia,mk,22,1971,-1.23
crude rate of net migration,807,north macedonia,mk,23,1972,0.0
crude rate of net migration,807,north macedonia,mk,24,1973,-1.0
crude rate of net migration,807,north macedonia,mk,25,1974,-1.0
crude rate of net migration,807,north macedonia,mk,26,1975,1.0
crude rate of net migration,807,north macedonia,mk,27,1976,0.0
crude rate of net migration,807,north macedonia,mk,28,1977,0.0
crude rate of net migration,807,north macedonia,mk,29,1978,-1.0
crude rate of net migration,807,north macedonia,mk,30,1979,-1.0
crude rate of net migration,807,north macedonia,mk,31,1980,-1.0
crude rate of net migration,807,north macedonia,mk,32,1981,-8.0
crude rate of net migration,807,north macedonia,mk,33,1982,-5966.0
crude rate of net migration,807,north macedonia,mk,34,1983,-6504.0
crude rate of net migration,807,north macedonia,mk,35,1984,-6644.0
crude rate of net migration,807,north macedonia,mk,36,1985,-6718.0
crude rate of net migration,807,north macedonia,mk,37,1986,-6731.0
crude rate of net migration,807,north macedonia,mk,38,1987,-6719.0
crude rate of net migration,807,north macedonia,mk,39,1988,-6686.0
crude rate of net migration,807,north macedonia,mk,40,1989,-6611.0
crude rate of net migration,807,north macedonia,mk,41,1990,-7882.0
crude rate of net migration,807,north macedonia,mk,42,1991,-17474.0
crude rate of net migration,807,north macedonia,mk,43,1992,-16861.0
crude rate of net migration,807,north macedonia,mk,44,1993,-18.21
crude rate of net migration,807,north macedonia,mk,45,1994,-10536.0
crude rate of net migration,807,north macedonia,mk,46,1995,-1816.0
crude rate of net migration,807,north macedonia,mk,47,1996,-198.0
crude rate of net migration,807,north macedonia,mk,48,1997,-235.0
crude rate of net migration,807,north macedonia,mk,49,1998,-294.0
crude rate of net migration,807,north macedonia,mk,50,1999,2875.0
crude rate of net migration,807,north macedonia,mk,51,2000,25965.0
crude rate of net migration,807,north macedonia,mk,52,2001,3576.0
crude rate of net migration,807,north macedonia,mk,53,2002,-1383.0
crude rate of net migration,807,north macedonia,mk,54,2003,-1.39
crude rate of net migration,807,north macedonia,mk,55,2004,-1271.0
crude rate of net migration,807,north macedonia,mk,56,2005,-1082.0
crude rate of net migration,807,north macedonia,mk,57,2006,-892.0
crude rate of net migration,807,north macedonia,mk,58,2007,-747.0
crude rate of net migration,807,north macedonia,mk,59,2008,-697.0
crude rate of net migration,807,north macedonia,mk,60,2009,-707.0
crude rate of net migration,807,north macedonia,mk,61,2010,-753.0
crude rate of net migration,807,north macedonia,mk,62,2011,-806.0
crude rate of net migration,807,north macedonia,mk,63,2012,-837.0
crude rate of net migration,807,north macedonia,mk,64,2013,-826.0
crude rate of net migration,807,north macedonia,mk,65,2014,-758.0
crude rate of net migration,807,north macedonia,mk,66,2015,-654.0
crude rate of net migration,807,north macedonia,mk,67,2016,-551.0
crude rate of net migration,807,north macedonia,mk,68,2017,-482.0
crude rate of net migration,807,north macedonia,mk,69,2018,-473.0
crude rate of net migration,807,north macedonia,mk,70,2019,-467.0
crude rate of net migration,807,north macedonia,mk,71,2020,-0.23
crude rate of net migration,807,north macedonia,mk,72,2021,-231.0
crude rate of net migration,807,north macedonia,mk,73,2022,-478.0
crude rate of net migration,807,north macedonia,mk,74,2023,-479.0
