indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,912,northern africa,m2,1,1950,-473.0
crude rate of net migration,912,northern africa,m2,2,1951,-603.0
crude rate of net migration,912,northern africa,m2,3,1952,-559.0
crude rate of net migration,912,northern africa,m2,4,1953,-707.0
crude rate of net migration,912,northern africa,m2,5,1954,-742.0
crude rate of net migration,912,northern africa,m2,6,1955,-963.0
crude rate of net migration,912,northern africa,m2,7,1956,-1544.0
crude rate of net migration,912,northern africa,m2,8,1957,-2111.0
crude rate of net migration,912,northern africa,m2,9,1958,-2929.0
crude rate of net migration,912,northern africa,m2,10,1959,-1999.0
crude rate of net migration,912,northern africa,m2,11,1960,-1952.0
crude rate of net migration,912,northern africa,m2,12,1961,-2975.0
crude rate of net migration,912,northern africa,m2,13,1962,-2.5
crude rate of net migration,912,northern africa,m2,14,1963,-3057.0
crude rate of net migration,912,northern africa,m2,15,1964,-2809.0
crude rate of net migration,912,northern africa,m2,16,1965,-3047.0
crude rate of net migration,912,northern africa,m2,17,1966,-1707.0
crude rate of net migration,912,northern africa,m2,18,1967,-1445.0
crude rate of net migration,912,northern africa,m2,19,1968,-1493.0
crude rate of net migration,912,northern africa,m2,20,1969,-1681.0
crude rate of net migration,912,northern africa,m2,21,1970,-1838.0
crude rate of net migration,912,northern africa,m2,22,1971,-2583.0
crude rate of net migration,912,northern africa,m2,23,1972,-2412.0
crude rate of net migration,912,northern africa,m2,24,1973,-2.07
crude rate of net migration,912,northern africa,m2,25,1974,-882.0
crude rate of net migration,912,northern africa,m2,26,1975,3031.0
crude rate of net migration,912,northern africa,m2,27,1976,2996.0
crude rate of net migration,912,northern africa,m2,28,1977,578.0
crude rate of net migration,912,northern africa,m2,29,1978,0.79
crude rate of net migration,912,northern africa,m2,30,1979,1029.0
crude rate of net migration,912,northern africa,m2,31,1980,1505.0
crude rate of net migration,912,northern africa,m2,32,1981,1357.0
crude rate of net migration,912,northern africa,m2,33,1982,945.0
crude rate of net migration,912,northern africa,m2,34,1983,81.0
crude rate of net migration,912,northern africa,m2,35,1984,-1346.0
crude rate of net migration,912,northern africa,m2,36,1985,-1.44
crude rate of net migration,912,northern africa,m2,37,1986,-2106.0
crude rate of net migration,912,northern africa,m2,38,1987,-2645.0
crude rate of net migration,912,northern africa,m2,39,1988,-2417.0
crude rate of net migration,912,northern africa,m2,40,1989,-2448.0
crude rate of net migration,912,northern africa,m2,41,1990,-2384.0
crude rate of net migration,912,northern africa,m2,42,1991,-3201.0
crude rate of net migration,912,northern africa,m2,43,1992,-2877.0
crude rate of net migration,912,northern africa,m2,44,1993,-1793.0
crude rate of net migration,912,northern africa,m2,45,1994,-1491.0
crude rate of net migration,912,northern africa,m2,46,1995,-1516.0
crude rate of net migration,912,northern africa,m2,47,1996,-1065.0
crude rate of net migration,912,northern africa,m2,48,1997,-802.0
crude rate of net migration,912,northern africa,m2,49,1998,-1066.0
crude rate of net migration,912,northern africa,m2,50,1999,-1.07
crude rate of net migration,912,northern africa,m2,51,2000,-986.0
crude rate of net migration,912,northern africa,m2,52,2001,-1.28
crude rate of net migration,912,northern africa,m2,53,2002,-1.06
crude rate of net migration,912,northern africa,m2,54,2003,-1279.0
crude rate of net migration,912,northern africa,m2,55,2004,-727.0
crude rate of net migration,912,northern africa,m2,56,2005,-948.0
crude rate of net migration,912,northern africa,m2,57,2006,-849.0
crude rate of net migration,912,northern africa,m2,58,2007,-842.0
crude rate of net migration,912,northern africa,m2,59,2008,-1183.0
crude rate of net migration,912,northern africa,m2,60,2009,-1271.0
crude rate of net migration,912,northern africa,m2,61,2010,-2224.0
crude rate of net migration,912,northern africa,m2,62,2011,-5312.0
crude rate of net migration,912,northern africa,m2,63,2012,-1575.0
crude rate of net migration,912,northern africa,m2,64,2013,-526.0
crude rate of net migration,912,northern africa,m2,65,2014,-0.17
crude rate of net migration,912,northern africa,m2,66,2015,-759.0
crude rate of net migration,912,northern africa,m2,67,2016,-58.0
crude rate of net migration,912,northern africa,m2,68,2017,217.0
crude rate of net migration,912,northern africa,m2,69,2018,-497.0
crude rate of net migration,912,northern africa,m2,70,2019,-939.0
crude rate of net migration,912,northern africa,m2,71,2020,-216.0
crude rate of net migration,912,northern africa,m2,72,2021,-465.0
crude rate of net migration,912,northern africa,m2,73,2022,-348.0
crude rate of net migration,912,northern africa,m2,74,2023,-342.0
