indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,912,northern africa,m2,1,1950,-23686.0
total net number of migrants,912,northern africa,m2,2,1951,-30912.0
total net number of migrants,912,northern africa,m2,3,1952,-29400.0
total net number of migrants,912,northern africa,m2,4,1953,-38156.0
total net number of migrants,912,northern africa,m2,5,1954,-41037.0
total net number of migrants,912,northern africa,m2,6,1955,-54660.0
total net number of migrants,912,northern africa,m2,7,1956,-89947.0
total net number of migrants,912,northern africa,m2,8,1957,-126120.0
total net number of migrants,912,northern africa,m2,9,1958,-179311.0
total net number of migrants,912,northern africa,m2,10,1959,-125299.0
total net number of migrants,912,northern africa,m2,11,1960,-125396.0
total net number of migrants,912,northern africa,m2,12,1961,-195943.0
total net number of migrants,912,northern africa,m2,13,1962,-168670.0
total net number of migrants,912,northern africa,m2,14,1963,-211370.0
total net number of migrants,912,northern africa,m2,15,1964,-199033.0
total net number of migrants,912,northern africa,m2,16,1965,-221226.0
total net number of migrants,912,northern africa,m2,17,1966,-127010.0
total net number of migrants,912,northern africa,m2,18,1967,-110238.0
total net number of migrants,912,northern africa,m2,19,1968,-116870.0
total net number of migrants,912,northern africa,m2,20,1969,-134919.0
total net number of migrants,912,northern africa,m2,21,1970,-151190.0
total net number of migrants,912,northern africa,m2,22,1971,-217916.0
total net number of migrants,912,northern africa,m2,23,1972,-208450.0
total net number of migrants,912,northern africa,m2,24,1973,-183390.0
total net number of migrants,912,northern africa,m2,25,1974,-80142.0
total net number of migrants,912,northern africa,m2,26,1975,282888.0
total net number of migrants,912,northern africa,m2,27,1976,288395.0
total net number of migrants,912,northern africa,m2,28,1977,57365.0
total net number of migrants,912,northern africa,m2,29,1978,80707.0
total net number of migrants,912,northern africa,m2,30,1979,108264.0
total net number of migrants,912,northern africa,m2,31,1980,163197.0
total net number of migrants,912,northern africa,m2,32,1981,151699.0
total net number of migrants,912,northern africa,m2,33,1982,108871.0
total net number of migrants,912,northern africa,m2,34,1983,9644.0
total net number of migrants,912,northern africa,m2,35,1984,-164396.0
total net number of migrants,912,northern africa,m2,36,1985,-180634.0
total net number of migrants,912,northern africa,m2,37,1986,-271291.0
total net number of migrants,912,northern africa,m2,38,1987,-349332.0
total net number of migrants,912,northern africa,m2,39,1988,-326561.0
total net number of migrants,912,northern africa,m2,40,1989,-338382.0
total net number of migrants,912,northern africa,m2,41,1990,-337113.0
total net number of migrants,912,northern africa,m2,42,1991,-462810.0
total net number of migrants,912,northern africa,m2,43,1992,-424526.0
total net number of migrants,912,northern africa,m2,44,1993,-269890.0
total net number of migrants,912,northern africa,m2,45,1994,-229162.0
total net number of migrants,912,northern africa,m2,46,1995,-237833.0
total net number of migrants,912,northern africa,m2,47,1996,-170379.0
total net number of migrants,912,northern africa,m2,48,1997,-130773.0
total net number of migrants,912,northern africa,m2,49,1998,-177074.0
total net number of migrants,912,northern africa,m2,50,1999,-181180.0
total net number of migrants,912,northern africa,m2,51,2000,-169948.0
total net number of migrants,912,northern africa,m2,52,2001,-224719.0
total net number of migrants,912,northern africa,m2,53,2002,-189566.0
total net number of migrants,912,northern africa,m2,54,2003,-232806.0
total net number of migrants,912,northern africa,m2,55,2004,-134745.0
total net number of migrants,912,northern africa,m2,56,2005,-178864.0
total net number of migrants,912,northern africa,m2,57,2006,-163130.0
total net number of migrants,912,northern africa,m2,58,2007,-164948.0
total net number of migrants,912,northern africa,m2,59,2008,-236187.0
total net number of migrants,912,northern africa,m2,60,2009,-258485.0
total net number of migrants,912,northern africa,m2,61,2010,-461361.0
total net number of migrants,912,northern africa,m2,62,2011,-1122673.0
total net number of migrants,912,northern africa,m2,63,2012,-338206.0
total net number of migrants,912,northern africa,m2,64,2013,-115312.0
total net number of migrants,912,northern africa,m2,65,2014,-38033.0
total net number of migrants,912,northern africa,m2,66,2015,-173307.0
total net number of migrants,912,northern africa,m2,67,2016,-13561.0
total net number of migrants,912,northern africa,m2,68,2017,51662.0
total net number of migrants,912,northern africa,m2,69,2018,-120576.0
total net number of migrants,912,northern africa,m2,70,2019,-231955.0
total net number of migrants,912,northern africa,m2,71,2020,-54429.0
total net number of migrants,912,northern africa,m2,72,2021,-119019.0
total net number of migrants,912,northern africa,m2,73,2022,-90383.0
total net number of migrants,912,northern africa,m2,74,2023,-90383.0
