indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,905,northern america,xu,1,1950,473444.0
total net number of migrants,905,northern america,xu,2,1951,282739.0
total net number of migrants,905,northern america,xu,3,1952,411404.0
total net number of migrants,905,northern america,xu,4,1953,533970.0
total net number of migrants,905,northern america,xu,5,1954,704002.0
total net number of migrants,905,northern america,xu,6,1955,717110.0
total net number of migrants,905,northern america,xu,7,1956,683404.0
total net number of migrants,905,northern america,xu,8,1957,637665.0
total net number of migrants,905,northern america,xu,9,1958,1294430.0
total net number of migrants,905,northern america,xu,10,1959,510275.0
total net number of migrants,905,northern america,xu,11,1960,627988.0
total net number of migrants,905,northern america,xu,12,1961,565841.0
total net number of migrants,905,northern america,xu,13,1962,576239.0
total net number of migrants,905,northern america,xu,14,1963,629658.0
total net number of migrants,905,northern america,xu,15,1964,560473.0
total net number of migrants,905,northern america,xu,16,1965,601386.0
total net number of migrants,905,northern america,xu,17,1966,474471.0
total net number of migrants,905,northern america,xu,18,1967,502594.0
total net number of migrants,905,northern america,xu,19,1968,606406.0
total net number of migrants,905,northern america,xu,20,1969,755779.0
total net number of migrants,905,northern america,xu,21,1970,1233944.0
total net number of migrants,905,northern america,xu,22,1971,1110608.0
total net number of migrants,905,northern america,xu,23,1972,1021359.0
total net number of migrants,905,northern america,xu,24,1973,952856.0
total net number of migrants,905,northern america,xu,25,1974,933138.0
total net number of migrants,905,northern america,xu,26,1975,961969.0
total net number of migrants,905,northern america,xu,27,1976,853781.0
total net number of migrants,905,northern america,xu,28,1977,1068915.0
total net number of migrants,905,northern america,xu,29,1978,1185650.0
total net number of migrants,905,northern america,xu,30,1979,1184656.0
total net number of migrants,905,northern america,xu,31,1980,1224231.0
total net number of migrants,905,northern america,xu,32,1981,808392.0
total net number of migrants,905,northern america,xu,33,1982,765624.0
total net number of migrants,905,northern america,xu,34,1983,833453.0
total net number of migrants,905,northern america,xu,35,1984,750457.0
total net number of migrants,905,northern america,xu,36,1985,798680.0
total net number of migrants,905,northern america,xu,37,1986,778880.0
total net number of migrants,905,northern america,xu,38,1987,818956.0
total net number of migrants,905,northern america,xu,39,1988,966891.0
total net number of migrants,905,northern america,xu,40,1989,1142358.0
total net number of migrants,905,northern america,xu,41,1990,1566239.0
total net number of migrants,905,northern america,xu,42,1991,1695819.0
total net number of migrants,905,northern america,xu,43,1992,1939346.0
total net number of migrants,905,northern america,xu,44,1993,1880870.0
total net number of migrants,905,northern america,xu,45,1994,1938804.0
total net number of migrants,905,northern america,xu,46,1995,1815717.0
total net number of migrants,905,northern america,xu,47,1996,1921513.0
total net number of migrants,905,northern america,xu,48,1997,2006340.0
total net number of migrants,905,northern america,xu,49,1998,1925550.0
total net number of migrants,905,northern america,xu,50,1999,1810775.0
total net number of migrants,905,northern america,xu,51,2000,1680928.0
total net number of migrants,905,northern america,xu,52,2001,1559586.0
total net number of migrants,905,northern america,xu,53,2002,1374013.0
total net number of migrants,905,northern america,xu,54,2003,1256641.0
total net number of migrants,905,northern america,xu,55,2004,1393096.0
total net number of migrants,905,northern america,xu,56,2005,1333522.0
total net number of migrants,905,northern america,xu,57,2006,1315027.0
total net number of migrants,905,northern america,xu,58,2007,1318482.0
total net number of migrants,905,northern america,xu,59,2008,1333072.0
total net number of migrants,905,northern america,xu,60,2009,1271045.0
total net number of migrants,905,northern america,xu,61,2010,1257796.0
total net number of migrants,905,northern america,xu,62,2011,1550603.0
total net number of migrants,905,northern america,xu,63,2012,1567965.0
total net number of migrants,905,northern america,xu,64,2013,1562566.0
total net number of migrants,905,northern america,xu,65,2014,1445807.0
total net number of migrants,905,northern america,xu,66,2015,1453945.0
total net number of migrants,905,northern america,xu,67,2016,1769503.0
total net number of migrants,905,northern america,xu,68,2017,1738776.0
total net number of migrants,905,northern america,xu,69,2018,1618719.0
total net number of migrants,905,northern america,xu,70,2019,1550328.0
total net number of migrants,905,northern america,xu,71,2020,870890.0
total net number of migrants,905,northern america,xu,72,2021,756998.0
total net number of migrants,905,northern america,xu,73,2022,1247030.0
total net number of migrants,905,northern america,xu,74,2023,1249364.0
