indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,924,northern europe,nb,1,1950,-335.0
crude rate of net migration,924,northern europe,nb,2,1951,169.0
crude rate of net migration,924,northern europe,nb,3,1952,-134.0
crude rate of net migration,924,northern europe,nb,4,1953,-177.0
crude rate of net migration,924,northern europe,nb,5,1954,-149.0
crude rate of net migration,924,northern europe,nb,6,1955,-114.0
crude rate of net migration,924,northern europe,nb,7,1956,-206.0
crude rate of net migration,924,northern europe,nb,8,1957,-187.0
crude rate of net migration,924,northern europe,nb,9,1958,-292.0
crude rate of net migration,924,northern europe,nb,10,1959,-271.0
crude rate of net migration,924,northern europe,nb,11,1960,-162.0
crude rate of net migration,924,northern europe,nb,12,1961,56.0
crude rate of net migration,924,northern europe,nb,13,1962,85.0
crude rate of net migration,924,northern europe,nb,14,1963,28.0
crude rate of net migration,924,northern europe,nb,15,1964,-173.0
crude rate of net migration,924,northern europe,nb,16,1965,-186.0
crude rate of net migration,924,northern europe,nb,17,1966,-51.0
crude rate of net migration,924,northern europe,nb,18,1967,86.0
crude rate of net migration,924,northern europe,nb,19,1968,-39.0
crude rate of net migration,924,northern europe,nb,20,1969,-339.0
crude rate of net migration,924,northern europe,nb,21,1970,-339.0
crude rate of net migration,924,northern europe,nb,22,1971,429.0
crude rate of net migration,924,northern europe,nb,23,1972,586.0
crude rate of net migration,924,northern europe,nb,24,1973,565.0
crude rate of net migration,924,northern europe,nb,25,1974,532.0
crude rate of net migration,924,northern europe,nb,26,1975,424.0
crude rate of net migration,924,northern europe,nb,27,1976,365.0
crude rate of net migration,924,northern europe,nb,28,1977,464.0
crude rate of net migration,924,northern europe,nb,29,1978,447.0
crude rate of net migration,924,northern europe,nb,30,1979,316.0
crude rate of net migration,924,northern europe,nb,31,1980,334.0
crude rate of net migration,924,northern europe,nb,32,1981,376.0
crude rate of net migration,924,northern europe,nb,33,1982,352.0
crude rate of net migration,924,northern europe,nb,34,1983,312.0
crude rate of net migration,924,northern europe,nb,35,1984,252.0
crude rate of net migration,924,northern europe,nb,36,1985,239.0
crude rate of net migration,924,northern europe,nb,37,1986,177.0
crude rate of net migration,924,northern europe,nb,38,1987,41.0
crude rate of net migration,924,northern europe,nb,39,1988,-76.0
crude rate of net migration,924,northern europe,nb,40,1989,-0.13
crude rate of net migration,924,northern europe,nb,41,1990,96.0
crude rate of net migration,924,northern europe,nb,42,1991,302.0
crude rate of net migration,924,northern europe,nb,43,1992,-62.0
crude rate of net migration,924,northern europe,nb,44,1993,138.0
crude rate of net migration,924,northern europe,nb,45,1994,209.0
crude rate of net migration,924,northern europe,nb,46,1995,553.0
crude rate of net migration,924,northern europe,nb,47,1996,746.0
crude rate of net migration,924,northern europe,nb,48,1997,1158.0
crude rate of net migration,924,northern europe,nb,49,1998,1409.0
crude rate of net migration,924,northern europe,nb,50,1999,1837.0
crude rate of net migration,924,northern europe,nb,51,2000,2047.0
crude rate of net migration,924,northern europe,nb,52,2001,2409.0
crude rate of net migration,924,northern europe,nb,53,2002,2692.0
crude rate of net migration,924,northern europe,nb,54,2003,2831.0
crude rate of net migration,924,northern europe,nb,55,2004,3237.0
crude rate of net migration,924,northern europe,nb,56,2005,3649.0
crude rate of net migration,924,northern europe,nb,57,2006,44961.0
crude rate of net migration,924,northern europe,nb,58,2007,4349.0
crude rate of net migration,924,northern europe,nb,59,2008,3866.0
crude rate of net migration,924,northern europe,nb,60,2009,3439.0
crude rate of net migration,924,northern europe,nb,61,2010,3431.0
crude rate of net migration,924,northern europe,nb,62,2011,3533.0
crude rate of net migration,924,northern europe,nb,63,2012,3608.0
crude rate of net migration,924,northern europe,nb,64,2013,3671.0
crude rate of net migration,924,northern europe,nb,65,2014,3739.0
crude rate of net migration,924,northern europe,nb,66,2015,3774.0
crude rate of net migration,924,northern europe,nb,67,2016,3786.0
crude rate of net migration,924,northern europe,nb,68,2017,3822.0
crude rate of net migration,924,northern europe,nb,69,2018,3758.0
crude rate of net migration,924,northern europe,nb,70,2019,3689.0
crude rate of net migration,924,northern europe,nb,71,2020,3279.0
crude rate of net migration,924,northern europe,nb,72,2021,3135.0
crude rate of net migration,924,northern europe,nb,73,2022,2393.0
crude rate of net migration,924,northern europe,nb,74,2023,2413.0
