indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,924,northern europe,nb,1,1950,-25936.0
total net number of migrants,924,northern europe,nb,2,1951,13160.0
total net number of migrants,924,northern europe,nb,3,1952,-10515.0
total net number of migrants,924,northern europe,nb,4,1953,-13962.0
total net number of migrants,924,northern europe,nb,5,1954,-11839.0
total net number of migrants,924,northern europe,nb,6,1955,-9092.0
total net number of migrants,924,northern europe,nb,7,1956,-16517.0
total net number of migrants,924,northern europe,nb,8,1957,-15086.0
total net number of migrants,924,northern europe,nb,9,1958,-23666.0
total net number of migrants,924,northern europe,nb,10,1959,-22072.0
total net number of migrants,924,northern europe,nb,11,1960,-13259.0
total net number of migrants,924,northern europe,nb,12,1961,4622.0
total net number of migrants,924,northern europe,nb,13,1962,7075.0
total net number of migrants,924,northern europe,nb,14,1963,2303.0
total net number of migrants,924,northern europe,nb,15,1964,-14626.0
total net number of migrants,924,northern europe,nb,16,1965,-15804.0
total net number of migrants,924,northern europe,nb,17,1966,-4392.0
total net number of migrants,924,northern europe,nb,18,1967,7409.0
total net number of migrants,924,northern europe,nb,19,1968,-3378.0
total net number of migrants,924,northern europe,nb,20,1969,-29504.0
total net number of migrants,924,northern europe,nb,21,1970,-29656.0
total net number of migrants,924,northern europe,nb,22,1971,37651.0
total net number of migrants,924,northern europe,nb,23,1972,51654.0
total net number of migrants,924,northern europe,nb,24,1973,50085.0
total net number of migrants,924,northern europe,nb,25,1974,47301.0
total net number of migrants,924,northern europe,nb,26,1975,37762.0
total net number of migrants,924,northern europe,nb,27,1976,32567.0
total net number of migrants,924,northern europe,nb,28,1977,41521.0
total net number of migrants,924,northern europe,nb,29,1978,40119.0
total net number of migrants,924,northern europe,nb,30,1979,28350.0
total net number of migrants,924,northern europe,nb,31,1980,30117.0
total net number of migrants,924,northern europe,nb,32,1981,33899.0
total net number of migrants,924,northern europe,nb,33,1982,31839.0
total net number of migrants,924,northern europe,nb,34,1983,28289.0
total net number of migrants,924,northern europe,nb,35,1984,22900.0
total net number of migrants,924,northern europe,nb,36,1985,21759.0
total net number of migrants,924,northern europe,nb,37,1986,16139.0
total net number of migrants,924,northern europe,nb,38,1987,3770.0
total net number of migrants,924,northern europe,nb,39,1988,-7016.0
total net number of migrants,924,northern europe,nb,40,1989,-11995.0
total net number of migrants,924,northern europe,nb,41,1990,8807.0
total net number of migrants,924,northern europe,nb,42,1991,27869.0
total net number of migrants,924,northern europe,nb,43,1992,-5746.0
total net number of migrants,924,northern europe,nb,44,1993,12779.0
total net number of migrants,924,northern europe,nb,45,1994,19496.0
total net number of migrants,924,northern europe,nb,46,1995,51572.0
total net number of migrants,924,northern europe,nb,47,1996,69645.0
total net number of migrants,924,northern europe,nb,48,1997,108383.0
total net number of migrants,924,northern europe,nb,49,1998,132216.0
total net number of migrants,924,northern europe,nb,50,1999,172779.0
total net number of migrants,924,northern europe,nb,51,2000,193134.0
total net number of migrants,924,northern europe,nb,52,2001,227969.0
total net number of migrants,924,northern europe,nb,53,2002,255644.0
total net number of migrants,924,northern europe,nb,54,2003,269846.0
total net number of migrants,924,northern europe,nb,55,2004,309917.0
total net number of migrants,924,northern europe,nb,56,2005,351114.0
total net number of migrants,924,northern europe,nb,57,2006,406506.0
total net number of migrants,924,northern europe,nb,58,2007,423782.0
total net number of migrants,924,northern europe,nb,59,2008,379424.0
total net number of migrants,924,northern europe,nb,60,2009,339786.0
total net number of migrants,924,northern europe,nb,61,2010,341376.0
total net number of migrants,924,northern europe,nb,62,2011,353830.0
total net number of migrants,924,northern europe,nb,63,2012,363821.0
total net number of migrants,924,northern europe,nb,64,2013,372521.0
total net number of migrants,924,northern europe,nb,65,2014,381955.0
total net number of migrants,924,northern europe,nb,66,2015,387882.0
total net number of migrants,924,northern europe,nb,67,2016,391506.0
total net number of migrants,924,northern europe,nb,68,2017,397594.0
total net number of migrants,924,northern europe,nb,69,2018,393122.0
total net number of migrants,924,northern europe,nb,70,2019,387950.0
total net number of migrants,924,northern europe,nb,71,2020,346420.0
total net number of migrants,924,northern europe,nb,72,2021,332430.0
total net number of migrants,924,northern europe,nb,73,2022,254697.0
total net number of migrants,924,northern europe,nb,74,2023,257597.0
