indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,578,norway,no,1,1950,-34428.0
total net number of migrants,578,norway,no,2,1951,-1773.0
total net number of migrants,578,norway,no,3,1952,-1266.0
total net number of migrants,578,norway,no,4,1953,-651.0
total net number of migrants,578,norway,no,5,1954,-93.0
total net number of migrants,578,norway,no,6,1955,1423.0
total net number of migrants,578,norway,no,7,1956,-4173.0
total net number of migrants,578,norway,no,8,1957,229.0
total net number of migrants,578,norway,no,9,1958,-1583.0
total net number of migrants,578,norway,no,10,1959,-1045.0
total net number of migrants,578,norway,no,11,1960,-1990.0
total net number of migrants,578,norway,no,12,1961,978.0
total net number of migrants,578,norway,no,13,1962,637.0
total net number of migrants,578,norway,no,14,1963,744.0
total net number of migrants,578,norway,no,15,1964,-1909.0
total net number of migrants,578,norway,no,16,1965,-1976.0
total net number of migrants,578,norway,no,17,1966,-1247.0
total net number of migrants,578,norway,no,18,1967,1846.0
total net number of migrants,578,norway,no,19,1968,1647.0
total net number of migrants,578,norway,no,20,1969,2276.0
total net number of migrants,578,norway,no,21,1970,-1319.0
total net number of migrants,578,norway,no,22,1971,3107.0
total net number of migrants,578,norway,no,23,1972,5664.0
total net number of migrants,578,norway,no,24,1973,3396.0
total net number of migrants,578,norway,no,25,1974,4285.0
total net number of migrants,578,norway,no,26,1975,3311.0
total net number of migrants,578,norway,no,27,1976,4776.0
total net number of migrants,578,norway,no,28,1977,4655.0
total net number of migrants,578,norway,no,29,1978,3881.0
total net number of migrants,578,norway,no,30,1979,2820.0
total net number of migrants,578,norway,no,31,1980,3745.0
total net number of migrants,578,norway,no,32,1981,5878.0
total net number of migrants,578,norway,no,33,1982,5756.0
total net number of migrants,578,norway,no,34,1983,4041.0
total net number of migrants,578,norway,no,35,1984,3801.0
total net number of migrants,578,norway,no,36,1985,6558.0
total net number of migrants,578,norway,no,37,1986,7476.0
total net number of migrants,578,norway,no,38,1987,13732.0
total net number of migrants,578,norway,no,39,1988,10240.0
total net number of migrants,578,norway,no,40,1989,-1739.0
total net number of migrants,578,norway,no,41,1990,1895.0
total net number of migrants,578,norway,no,42,1991,8076.0
total net number of migrants,578,norway,no,43,1992,10216.0
total net number of migrants,578,norway,no,44,1993,12589.0
total net number of migrants,578,norway,no,45,1994,7652.0
total net number of migrants,578,norway,no,46,1995,6522.0
total net number of migrants,578,norway,no,47,1996,5756.0
total net number of migrants,578,norway,no,48,1997,9777.0
total net number of migrants,578,norway,no,49,1998,13331.0
total net number of migrants,578,norway,no,50,1999,19147.0
total net number of migrants,578,norway,no,51,2000,9789.0
total net number of migrants,578,norway,no,52,2001,7888.0
total net number of migrants,578,norway,no,53,2002,17269.0
total net number of migrants,578,norway,no,54,2003,11447.0
total net number of migrants,578,norway,no,55,2004,13425.0
total net number of migrants,578,norway,no,56,2005,18467.0
total net number of migrants,578,norway,no,57,2006,24017.0
total net number of migrants,578,norway,no,58,2007,39806.0
total net number of migrants,578,norway,no,59,2008,43884.0
total net number of migrants,578,norway,no,60,2009,39234.0
total net number of migrants,578,norway,no,61,2010,42906.0
total net number of migrants,578,norway,no,62,2011,47281.0
total net number of migrants,578,norway,no,63,2012,47786.0
total net number of migrants,578,norway,no,64,2013,40480.0
total net number of migrants,578,norway,no,65,2014,38565.0
total net number of migrants,578,norway,no,66,2015,30329.0
total net number of migrants,578,norway,no,67,2016,26425.0
total net number of migrants,578,norway,no,68,2017,21584.0
total net number of migrants,578,norway,no,69,2018,18388.0
total net number of migrants,578,norway,no,70,2019,25564.0
total net number of migrants,578,norway,no,71,2020,10756.0
total net number of migrants,578,norway,no,72,2021,10604.0
total net number of migrants,578,norway,no,73,2022,27998.0
total net number of migrants,578,norway,no,74,2023,27998.0
