indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,1,1950,-3142.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,2,1951,-2787.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,3,1952,-2452.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,4,1953,-2083.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,5,1954,-1976.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,6,1955,-1728.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,7,1956,-1201.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,8,1957,-1474.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,9,1958,-1.42
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,10,1959,-1596.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,11,1960,-1651.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,12,1961,-4148.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,13,1962,-4491.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,14,1963,-5216.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,15,1964,-5757.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,16,1965,-5937.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,17,1966,-6161.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,18,1967,-7246.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,19,1968,-7097.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,20,1969,-6752.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,21,1970,-6247.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,22,1971,-6243.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,23,1972,-6625.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,24,1973,-6987.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,25,1974,-7254.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,26,1975,-7436.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,27,1976,-7451.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,28,1977,-7562.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,29,1978,-7463.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,30,1979,-7261.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,31,1980,-6613.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,32,1981,-6219.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,33,1982,-6275.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,34,1983,-6402.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,35,1984,-6201.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,36,1985,-6116.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,37,1986,-6342.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,38,1987,-6569.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,39,1988,-6988.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,40,1989,-6052.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,41,1990,-3083.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,42,1991,-329.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,43,1992,1576.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,44,1993,26299.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,45,1994,1733.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,46,1995,2011.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,47,1996,3542.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,48,1997,33664.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,49,1998,3917.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,50,1999,3617.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,51,2000,2312.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,52,2001,1785.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,53,2002,1824.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,54,2003,1752.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,55,2004,24473.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,56,2005,1641.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,57,2006,1705.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,58,2007,1607.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,59,2008,14977.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,60,2009,15707.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,61,2010,1728.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,62,2011,1061.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,63,2012,727.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,64,2013,561.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,65,2014,264.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,66,2015,-135.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,67,2016,-234.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,68,2017,-349.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,69,2018,-0.46
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,70,2019,-547.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,71,2020,-405.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,72,2021,-385.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,73,2022,-769.0
crude rate of net migration,1835,oceania (excluding australia and new zealand),oz,74,2023,-734.0
