indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,934,other developing regions,od,1,1950,256.0
crude rate of net migration,934,other developing regions,od,2,1951,236.0
crude rate of net migration,934,other developing regions,od,3,1952,174.0
crude rate of net migration,934,other developing regions,od,4,1953,-33.0
crude rate of net migration,934,other developing regions,od,5,1954,-8.0
crude rate of net migration,934,other developing regions,od,6,1955,-0.02
crude rate of net migration,934,other developing regions,od,7,1956,71.0
crude rate of net migration,934,other developing regions,od,8,1957,0.03
crude rate of net migration,934,other developing regions,od,9,1958,-236.0
crude rate of net migration,934,other developing regions,od,10,1959,0.07
crude rate of net migration,934,other developing regions,od,11,1960,-82.0
crude rate of net migration,934,other developing regions,od,12,1961,-0.25
crude rate of net migration,934,other developing regions,od,13,1962,-0.24
crude rate of net migration,934,other developing regions,od,14,1963,-288.0
crude rate of net migration,934,other developing regions,od,15,1964,-293.0
crude rate of net migration,934,other developing regions,od,16,1965,-319.0
crude rate of net migration,934,other developing regions,od,17,1966,-0.29
crude rate of net migration,934,other developing regions,od,18,1967,-258.0
crude rate of net migration,934,other developing regions,od,19,1968,-246.0
crude rate of net migration,934,other developing regions,od,20,1969,-301.0
crude rate of net migration,934,other developing regions,od,21,1970,-0.32
crude rate of net migration,934,other developing regions,od,22,1971,-519.0
crude rate of net migration,934,other developing regions,od,23,1972,-434.0
crude rate of net migration,934,other developing regions,od,24,1973,-0.4
crude rate of net migration,934,other developing regions,od,25,1974,-426.0
crude rate of net migration,934,other developing regions,od,26,1975,-0.26
crude rate of net migration,934,other developing regions,od,27,1976,-0.13
crude rate of net migration,934,other developing regions,od,28,1977,-92.0
crude rate of net migration,934,other developing regions,od,29,1978,-411.0
crude rate of net migration,934,other developing regions,od,30,1979,-151.0
crude rate of net migration,934,other developing regions,od,31,1980,387.0
crude rate of net migration,934,other developing regions,od,32,1981,0.39
crude rate of net migration,934,other developing regions,od,33,1982,-93.0
crude rate of net migration,934,other developing regions,od,34,1983,-268.0
crude rate of net migration,934,other developing regions,od,35,1984,-315.0
crude rate of net migration,934,other developing regions,od,36,1985,-201.0
crude rate of net migration,934,other developing regions,od,37,1986,-142.0
crude rate of net migration,934,other developing regions,od,38,1987,-137.0
crude rate of net migration,934,other developing regions,od,39,1988,-129.0
crude rate of net migration,934,other developing regions,od,40,1989,-239.0
crude rate of net migration,934,other developing regions,od,41,1990,-225.0
crude rate of net migration,934,other developing regions,od,42,1991,-0.44
crude rate of net migration,934,other developing regions,od,43,1992,-1031.0
crude rate of net migration,934,other developing regions,od,44,1993,-994.0
crude rate of net migration,934,other developing regions,od,45,1994,-715.0
crude rate of net migration,934,other developing regions,od,46,1995,-586.0
crude rate of net migration,934,other developing regions,od,47,1996,-462.0
crude rate of net migration,934,other developing regions,od,48,1997,-395.0
crude rate of net migration,934,other developing regions,od,49,1998,-0.36
crude rate of net migration,934,other developing regions,od,50,1999,-392.0
crude rate of net migration,934,other developing regions,od,51,2000,-181.0
crude rate of net migration,934,other developing regions,od,52,2001,-295.0
crude rate of net migration,934,other developing regions,od,53,2002,-734.0
crude rate of net migration,934,other developing regions,od,54,2003,-506.0
crude rate of net migration,934,other developing regions,od,55,2004,-392.0
crude rate of net migration,934,other developing regions,od,56,2005,-432.0
crude rate of net migration,934,other developing regions,od,57,2006,-293.0
crude rate of net migration,934,other developing regions,od,58,2007,-279.0
crude rate of net migration,934,other developing regions,od,59,2008,-301.0
crude rate of net migration,934,other developing regions,od,60,2009,-233.0
crude rate of net migration,934,other developing regions,od,61,2010,-233.0
crude rate of net migration,934,other developing regions,od,62,2011,-393.0
crude rate of net migration,934,other developing regions,od,63,2012,-368.0
crude rate of net migration,934,other developing regions,od,64,2013,-374.0
crude rate of net migration,934,other developing regions,od,65,2014,-317.0
crude rate of net migration,934,other developing regions,od,66,2015,-352.0
crude rate of net migration,934,other developing regions,od,67,2016,-585.0
crude rate of net migration,934,other developing regions,od,68,2017,-513.0
crude rate of net migration,934,other developing regions,od,69,2018,-488.0
crude rate of net migration,934,other developing regions,od,70,2019,-528.0
crude rate of net migration,934,other developing regions,od,71,2020,-482.0
crude rate of net migration,934,other developing regions,od,72,2021,-343.0
crude rate of net migration,934,other developing regions,od,73,2022,-0.23
crude rate of net migration,934,other developing regions,od,74,2023,-0.23
