indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,585,palau,pw,1,1950,-94.0
total net number of migrants,585,palau,pw,2,1951,-49.0
total net number of migrants,585,palau,pw,3,1952,-20.0
total net number of migrants,585,palau,pw,4,1953,17.0
total net number of migrants,585,palau,pw,5,1954,37.0
total net number of migrants,585,palau,pw,6,1955,55.0
total net number of migrants,585,palau,pw,7,1956,62.0
total net number of migrants,585,palau,pw,8,1957,54.0
total net number of migrants,585,palau,pw,9,1958,-16.0
total net number of migrants,585,palau,pw,10,1959,-76.0
total net number of migrants,585,palau,pw,11,1960,-71.0
total net number of migrants,585,palau,pw,12,1961,-57.0
total net number of migrants,585,palau,pw,13,1962,-40.0
total net number of migrants,585,palau,pw,14,1963,-18.0
total net number of migrants,585,palau,pw,15,1964,1.0
total net number of migrants,585,palau,pw,16,1965,18.0
total net number of migrants,585,palau,pw,17,1966,26.0
total net number of migrants,585,palau,pw,18,1967,-128.0
total net number of migrants,585,palau,pw,19,1968,-160.0
total net number of migrants,585,palau,pw,20,1969,-156.0
total net number of migrants,585,palau,pw,21,1970,81.0
total net number of migrants,585,palau,pw,22,1971,191.0
total net number of migrants,585,palau,pw,23,1972,203.0
total net number of migrants,585,palau,pw,24,1973,75.0
total net number of migrants,585,palau,pw,25,1974,-268.0
total net number of migrants,585,palau,pw,26,1975,-269.0
total net number of migrants,585,palau,pw,27,1976,-269.0
total net number of migrants,585,palau,pw,28,1977,-264.0
total net number of migrants,585,palau,pw,29,1978,-255.0
total net number of migrants,585,palau,pw,30,1979,-260.0
total net number of migrants,585,palau,pw,31,1980,-156.0
total net number of migrants,585,palau,pw,32,1981,124.0
total net number of migrants,585,palau,pw,33,1982,138.0
total net number of migrants,585,palau,pw,34,1983,153.0
total net number of migrants,585,palau,pw,35,1984,169.0
total net number of migrants,585,palau,pw,36,1985,185.0
total net number of migrants,585,palau,pw,37,1986,155.0
total net number of migrants,585,palau,pw,38,1987,151.0
total net number of migrants,585,palau,pw,39,1988,151.0
total net number of migrants,585,palau,pw,40,1989,154.0
total net number of migrants,585,palau,pw,41,1990,169.0
total net number of migrants,585,palau,pw,42,1991,188.0
total net number of migrants,585,palau,pw,43,1992,189.0
total net number of migrants,585,palau,pw,44,1993,189.0
total net number of migrants,585,palau,pw,45,1994,209.0
total net number of migrants,585,palau,pw,46,1995,283.0
total net number of migrants,585,palau,pw,47,1996,408.0
total net number of migrants,585,palau,pw,48,1997,415.0
total net number of migrants,585,palau,pw,49,1998,420.0
total net number of migrants,585,palau,pw,50,1999,415.0
total net number of migrants,585,palau,pw,51,2000,79.0
total net number of migrants,585,palau,pw,52,2001,-78.0
total net number of migrants,585,palau,pw,53,2002,-78.0
total net number of migrants,585,palau,pw,54,2003,-76.0
total net number of migrants,585,palau,pw,55,2004,-68.0
total net number of migrants,585,palau,pw,56,2005,-277.0
total net number of migrants,585,palau,pw,57,2006,-338.0
total net number of migrants,585,palau,pw,58,2007,-337.0
total net number of migrants,585,palau,pw,59,2008,-342.0
total net number of migrants,585,palau,pw,60,2009,-347.0
total net number of migrants,585,palau,pw,61,2010,-356.0
total net number of migrants,585,palau,pw,62,2011,-364.0
total net number of migrants,585,palau,pw,63,2012,-339.0
total net number of migrants,585,palau,pw,64,2013,-50.0
total net number of migrants,585,palau,pw,65,2014,-51.0
total net number of migrants,585,palau,pw,66,2015,8.0
total net number of migrants,585,palau,pw,67,2016,8.0
total net number of migrants,585,palau,pw,68,2017,8.0
total net number of migrants,585,palau,pw,69,2018,8.0
total net number of migrants,585,palau,pw,70,2019,8.0
total net number of migrants,585,palau,pw,71,2020,7.0
total net number of migrants,585,palau,pw,72,2021,3.0
total net number of migrants,585,palau,pw,73,2022,-20.0
total net number of migrants,585,palau,pw,74,2023,-20.0
