indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,591,panama,pa,1,1950,-3639.0
crude rate of net migration,591,panama,pa,2,1951,-3392.0
crude rate of net migration,591,panama,pa,3,1952,-3169.0
crude rate of net migration,591,panama,pa,4,1953,-2961.0
crude rate of net migration,591,panama,pa,5,1954,-2781.0
crude rate of net migration,591,panama,pa,6,1955,-2622.0
crude rate of net migration,591,panama,pa,7,1956,-2484.0
crude rate of net migration,591,panama,pa,8,1957,-2.37
crude rate of net migration,591,panama,pa,9,1958,-2286.0
crude rate of net migration,591,panama,pa,10,1959,-2208.0
crude rate of net migration,591,panama,pa,11,1960,-2135.0
crude rate of net migration,591,panama,pa,12,1961,-2.06
crude rate of net migration,591,panama,pa,13,1962,-1984.0
crude rate of net migration,591,panama,pa,14,1963,-1927.0
crude rate of net migration,591,panama,pa,15,1964,-1.9
crude rate of net migration,591,panama,pa,16,1965,-1.87
crude rate of net migration,591,panama,pa,17,1966,-1849.0
crude rate of net migration,591,panama,pa,18,1967,-1815.0
crude rate of net migration,591,panama,pa,19,1968,-1763.0
crude rate of net migration,591,panama,pa,20,1969,-1701.0
crude rate of net migration,591,panama,pa,21,1970,-1632.0
crude rate of net migration,591,panama,pa,22,1971,-1573.0
crude rate of net migration,591,panama,pa,23,1972,-1526.0
crude rate of net migration,591,panama,pa,24,1973,-1495.0
crude rate of net migration,591,panama,pa,25,1974,-1496.0
crude rate of net migration,591,panama,pa,26,1975,-1518.0
crude rate of net migration,591,panama,pa,27,1976,-1532.0
crude rate of net migration,591,panama,pa,28,1977,-1531.0
crude rate of net migration,591,panama,pa,29,1978,-1505.0
crude rate of net migration,591,panama,pa,30,1979,-1449.0
crude rate of net migration,591,panama,pa,31,1980,-1379.0
crude rate of net migration,591,panama,pa,32,1981,-1307.0
crude rate of net migration,591,panama,pa,33,1982,-1245.0
crude rate of net migration,591,panama,pa,34,1983,-1199.0
crude rate of net migration,591,panama,pa,35,1984,-1133.0
crude rate of net migration,591,panama,pa,36,1985,-1045.0
crude rate of net migration,591,panama,pa,37,1986,-0.95
crude rate of net migration,591,panama,pa,38,1987,-0.85
crude rate of net migration,591,panama,pa,39,1988,-745.0
crude rate of net migration,591,panama,pa,40,1989,-0.57
crude rate of net migration,591,panama,pa,41,1990,-348.0
crude rate of net migration,591,panama,pa,42,1991,-122.0
crude rate of net migration,591,panama,pa,43,1992,71.0
crude rate of net migration,591,panama,pa,44,1993,215.0
crude rate of net migration,591,panama,pa,45,1994,338.0
crude rate of net migration,591,panama,pa,46,1995,0.45
crude rate of net migration,591,panama,pa,47,1996,553.0
crude rate of net migration,591,panama,pa,48,1997,644.0
crude rate of net migration,591,panama,pa,49,1998,723.0
crude rate of net migration,591,panama,pa,50,1999,796.0
crude rate of net migration,591,panama,pa,51,2000,867.0
crude rate of net migration,591,panama,pa,52,2001,933.0
crude rate of net migration,591,panama,pa,53,2002,993.0
crude rate of net migration,591,panama,pa,54,2003,1054.0
crude rate of net migration,591,panama,pa,55,2004,1109.0
crude rate of net migration,591,panama,pa,56,2005,1163.0
crude rate of net migration,591,panama,pa,57,2006,1214.0
crude rate of net migration,591,panama,pa,58,2007,1262.0
crude rate of net migration,591,panama,pa,59,2008,1308.0
crude rate of net migration,591,panama,pa,60,2009,12420.0
crude rate of net migration,591,panama,pa,61,2010,1368.0
crude rate of net migration,591,panama,pa,62,2011,1402.0
crude rate of net migration,591,panama,pa,63,2012,1452.0
crude rate of net migration,591,panama,pa,64,2013,1552.0
crude rate of net migration,591,panama,pa,65,2014,1829.0
crude rate of net migration,591,panama,pa,66,2015,2188.0
crude rate of net migration,591,panama,pa,67,2016,2514.0
crude rate of net migration,591,panama,pa,68,2017,2704.0
crude rate of net migration,591,panama,pa,69,2018,2676.0
crude rate of net migration,591,panama,pa,70,2019,2513.0
crude rate of net migration,591,panama,pa,71,2020,1275.0
crude rate of net migration,591,panama,pa,72,2021,1259.0
crude rate of net migration,591,panama,pa,73,2022,1809.0
crude rate of net migration,591,panama,pa,74,2023,1627.0
