indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,598,papua new guinea,pg,1,1950,-3134.0
crude rate of net migration,598,papua new guinea,pg,2,1951,-2437.0
crude rate of net migration,598,papua new guinea,pg,3,1952,-1804.0
crude rate of net migration,598,papua new guinea,pg,4,1953,-1241.0
crude rate of net migration,598,papua new guinea,pg,5,1954,-757.0
crude rate of net migration,598,papua new guinea,pg,6,1955,-346.0
crude rate of net migration,598,papua new guinea,pg,7,1956,-4.0
crude rate of net migration,598,papua new guinea,pg,8,1957,-244.0
crude rate of net migration,598,papua new guinea,pg,9,1958,-413.0
crude rate of net migration,598,papua new guinea,pg,10,1959,-743.0
crude rate of net migration,598,papua new guinea,pg,11,1960,-1023.0
crude rate of net migration,598,papua new guinea,pg,12,1961,-5097.0
crude rate of net migration,598,papua new guinea,pg,13,1962,-5809.0
crude rate of net migration,598,papua new guinea,pg,14,1963,-7103.0
crude rate of net migration,598,papua new guinea,pg,15,1964,-8114.0
crude rate of net migration,598,papua new guinea,pg,16,1965,-8303.0
crude rate of net migration,598,papua new guinea,pg,17,1966,-7653.0
crude rate of net migration,598,papua new guinea,pg,18,1967,-8471.0
crude rate of net migration,598,papua new guinea,pg,19,1968,-8046.0
crude rate of net migration,598,papua new guinea,pg,20,1969,-7781.0
crude rate of net migration,598,papua new guinea,pg,21,1970,-7513.0
crude rate of net migration,598,papua new guinea,pg,22,1971,-7402.0
crude rate of net migration,598,papua new guinea,pg,23,1972,-7745.0
crude rate of net migration,598,papua new guinea,pg,24,1973,-8126.0
crude rate of net migration,598,papua new guinea,pg,25,1974,-8298.0
crude rate of net migration,598,papua new guinea,pg,26,1975,-8396.0
crude rate of net migration,598,papua new guinea,pg,27,1976,-8435.0
crude rate of net migration,598,papua new guinea,pg,28,1977,-8437.0
crude rate of net migration,598,papua new guinea,pg,29,1978,-8425.0
crude rate of net migration,598,papua new guinea,pg,30,1979,-8384.0
crude rate of net migration,598,papua new guinea,pg,31,1980,-8221.0
crude rate of net migration,598,papua new guinea,pg,32,1981,-7976.0
crude rate of net migration,598,papua new guinea,pg,33,1982,-7805.0
crude rate of net migration,598,papua new guinea,pg,34,1983,-7676.0
crude rate of net migration,598,papua new guinea,pg,35,1984,-7524.0
crude rate of net migration,598,papua new guinea,pg,36,1985,-7.36
crude rate of net migration,598,papua new guinea,pg,37,1986,-7211.0
crude rate of net migration,598,papua new guinea,pg,38,1987,-7117.0
crude rate of net migration,598,papua new guinea,pg,39,1988,-7103.0
crude rate of net migration,598,papua new guinea,pg,40,1989,-5253.0
crude rate of net migration,598,papua new guinea,pg,41,1990,0.62
crude rate of net migration,598,papua new guinea,pg,42,1991,6746.0
crude rate of net migration,598,papua new guinea,pg,43,1992,8891.0
crude rate of net migration,598,papua new guinea,pg,44,1993,8944.0
crude rate of net migration,598,papua new guinea,pg,45,1994,8949.0
crude rate of net migration,598,papua new guinea,pg,46,1995,8908.0
crude rate of net migration,598,papua new guinea,pg,47,1996,8809.0
crude rate of net migration,598,papua new guinea,pg,48,1997,8662.0
crude rate of net migration,598,papua new guinea,pg,49,1998,15554.0
crude rate of net migration,598,papua new guinea,pg,50,1999,8019.0
crude rate of net migration,598,papua new guinea,pg,51,2000,7626.0
crude rate of net migration,598,papua new guinea,pg,52,2001,7389.0
crude rate of net migration,598,papua new guinea,pg,53,2002,7264.0
crude rate of net migration,598,papua new guinea,pg,54,2003,7189.0
crude rate of net migration,598,papua new guinea,pg,55,2004,7144.0
crude rate of net migration,598,papua new guinea,pg,56,2005,7105.0
crude rate of net migration,598,papua new guinea,pg,57,2006,7059.0
crude rate of net migration,598,papua new guinea,pg,58,2007,6988.0
crude rate of net migration,598,papua new guinea,pg,59,2008,6886.0
crude rate of net migration,598,papua new guinea,pg,60,2009,6768.0
crude rate of net migration,598,papua new guinea,pg,61,2010,6628.0
crude rate of net migration,598,papua new guinea,pg,62,2011,5226.0
crude rate of net migration,598,papua new guinea,pg,63,2012,4732.0
crude rate of net migration,598,papua new guinea,pg,64,2013,4288.0
crude rate of net migration,598,papua new guinea,pg,65,2014,3887.0
crude rate of net migration,598,papua new guinea,pg,66,2015,3528.0
crude rate of net migration,598,papua new guinea,pg,67,2016,3205.0
crude rate of net migration,598,papua new guinea,pg,68,2017,2913.0
crude rate of net migration,598,papua new guinea,pg,69,2018,23774.0
crude rate of net migration,598,papua new guinea,pg,70,2019,2411.0
crude rate of net migration,598,papua new guinea,pg,71,2020,1097.0
crude rate of net migration,598,papua new guinea,pg,72,2021,1075.0
crude rate of net migration,598,papua new guinea,pg,73,2022,-79.0
crude rate of net migration,598,papua new guinea,pg,74,2023,-77.0
