indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,598,papua new guinea,pg,1,1950,-4844.0
total net number of migrants,598,papua new guinea,pg,2,1951,-3842.0
total net number of migrants,598,papua new guinea,pg,3,1952,-2905.0
total net number of migrants,598,papua new guinea,pg,4,1953,-2047.0
total net number of migrants,598,papua new guinea,pg,5,1954,-1281.0
total net number of migrants,598,papua new guinea,pg,6,1955,-601.0
total net number of migrants,598,papua new guinea,pg,7,1956,-7.0
total net number of migrants,598,papua new guinea,pg,8,1957,-447.0
total net number of migrants,598,papua new guinea,pg,9,1958,-778.0
total net number of migrants,598,papua new guinea,pg,10,1959,-1437.0
total net number of migrants,598,papua new guinea,pg,11,1960,-2033.0
total net number of migrants,598,papua new guinea,pg,12,1961,-10404.0
total net number of migrants,598,papua new guinea,pg,13,1962,-12136.0
total net number of migrants,598,papua new guinea,pg,14,1963,-15180.0
total net number of migrants,598,papua new guinea,pg,15,1964,-17726.0
total net number of migrants,598,papua new guinea,pg,16,1965,-18532.0
total net number of migrants,598,papua new guinea,pg,17,1966,-17455.0
total net number of migrants,598,papua new guinea,pg,18,1967,-19762.0
total net number of migrants,598,papua new guinea,pg,19,1968,-19193.0
total net number of migrants,598,papua new guinea,pg,20,1969,-18993.0
total net number of migrants,598,papua new guinea,pg,21,1970,-18774.0
total net number of migrants,598,papua new guinea,pg,22,1971,-18943.0
total net number of migrants,598,papua new guinea,pg,23,1972,-20301.0
total net number of migrants,598,papua new guinea,pg,24,1973,-21803.0
total net number of migrants,598,papua new guinea,pg,25,1974,-22776.0
total net number of migrants,598,papua new guinea,pg,26,1975,-23563.0
total net number of migrants,598,papua new guinea,pg,27,1976,-24192.0
total net number of migrants,598,papua new guinea,pg,28,1977,-24722.0
total net number of migrants,598,papua new guinea,pg,29,1978,-25212.0
total net number of migrants,598,papua new guinea,pg,30,1979,-25612.0
total net number of migrants,598,papua new guinea,pg,31,1980,-25633.0
total net number of migrants,598,papua new guinea,pg,32,1981,-25380.0
total net number of migrants,598,papua new guinea,pg,33,1982,-25353.0
total net number of migrants,598,papua new guinea,pg,34,1983,-25462.0
total net number of migrants,598,papua new guinea,pg,35,1984,-25489.0
total net number of migrants,598,papua new guinea,pg,36,1985,-25472.0
total net number of migrants,598,papua new guinea,pg,37,1986,-25499.0
total net number of migrants,598,papua new guinea,pg,38,1987,-25718.0
total net number of migrants,598,papua new guinea,pg,39,1988,-26234.0
total net number of migrants,598,papua new guinea,pg,40,1989,-19827.0
total net number of migrants,598,papua new guinea,pg,41,1990,2397.0
total net number of migrants,598,papua new guinea,pg,42,1991,26836.0
total net number of migrants,598,papua new guinea,pg,43,1992,36623.0
total net number of migrants,598,papua new guinea,pg,44,1993,38223.0
total net number of migrants,598,papua new guinea,pg,45,1994,39667.0
total net number of migrants,598,papua new guinea,pg,46,1995,40951.0
total net number of migrants,598,papua new guinea,pg,47,1996,41986.0
total net number of migrants,598,papua new guinea,pg,48,1997,42791.0
total net number of migrants,598,papua new guinea,pg,49,1998,43097.0
total net number of migrants,598,papua new guinea,pg,50,1999,42513.0
total net number of migrants,598,papua new guinea,pg,51,2000,41857.0
total net number of migrants,598,papua new guinea,pg,52,2001,41963.0
total net number of migrants,598,papua new guinea,pg,53,2002,42657.0
total net number of migrants,598,papua new guinea,pg,54,2003,43638.0
total net number of migrants,598,papua new guinea,pg,55,2004,44804.0
total net number of migrants,598,papua new guinea,pg,56,2005,46016.0
total net number of migrants,598,papua new guinea,pg,57,2006,47192.0
total net number of migrants,598,papua new guinea,pg,58,2007,48204.0
total net number of migrants,598,papua new guinea,pg,59,2008,48988.0
total net number of migrants,598,papua new guinea,pg,60,2009,49646.0
total net number of migrants,598,papua new guinea,pg,61,2010,50107.0
total net number of migrants,598,papua new guinea,pg,62,2011,40693.0
total net number of migrants,598,papua new guinea,pg,63,2012,37896.0
total net number of migrants,598,papua new guinea,pg,64,2013,35283.0
total net number of migrants,598,papua new guinea,pg,65,2014,32841.0
total net number of migrants,598,papua new guinea,pg,66,2015,30581.0
total net number of migrants,598,papua new guinea,pg,67,2016,28474.0
total net number of migrants,598,papua new guinea,pg,68,2017,26515.0
total net number of migrants,598,papua new guinea,pg,69,2018,24688.0
total net number of migrants,598,papua new guinea,pg,70,2019,22977.0
total net number of migrants,598,papua new guinea,pg,71,2020,10695.0
total net number of migrants,598,papua new guinea,pg,72,2021,10695.0
total net number of migrants,598,papua new guinea,pg,73,2022,-800.0
total net number of migrants,598,papua new guinea,pg,74,2023,-800.0
