indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,600,paraguay,py,1,1950,-10779.0
crude rate of net migration,600,paraguay,py,2,1951,-10427.0
crude rate of net migration,600,paraguay,py,3,1952,-10086.0
crude rate of net migration,600,paraguay,py,4,1953,-9751.0
crude rate of net migration,600,paraguay,py,5,1954,-9427.0
crude rate of net migration,600,paraguay,py,6,1955,-9107.0
crude rate of net migration,600,paraguay,py,7,1956,-8804.0
crude rate of net migration,600,paraguay,py,8,1957,-8501.0
crude rate of net migration,600,paraguay,py,9,1958,-8224.0
crude rate of net migration,600,paraguay,py,10,1959,-7945.0
crude rate of net migration,600,paraguay,py,11,1960,-7679.0
crude rate of net migration,600,paraguay,py,12,1961,-7416.0
crude rate of net migration,600,paraguay,py,13,1962,-7147.0
crude rate of net migration,600,paraguay,py,14,1963,-6884.0
crude rate of net migration,600,paraguay,py,15,1964,-6631.0
crude rate of net migration,600,paraguay,py,16,1965,-6381.0
crude rate of net migration,600,paraguay,py,17,1966,-6146.0
crude rate of net migration,600,paraguay,py,18,1967,-5917.0
crude rate of net migration,600,paraguay,py,19,1968,-5685.0
crude rate of net migration,600,paraguay,py,20,1969,-5447.0
crude rate of net migration,600,paraguay,py,21,1970,-5208.0
crude rate of net migration,600,paraguay,py,22,1971,-4231.0
crude rate of net migration,600,paraguay,py,23,1972,-3024.0
crude rate of net migration,600,paraguay,py,24,1973,-1682.0
crude rate of net migration,600,paraguay,py,25,1974,-1313.0
crude rate of net migration,600,paraguay,py,26,1975,-1.4
crude rate of net migration,600,paraguay,py,27,1976,-1459.0
crude rate of net migration,600,paraguay,py,28,1977,-1473.0
crude rate of net migration,600,paraguay,py,29,1978,-1388.0
crude rate of net migration,600,paraguay,py,30,1979,-1188.0
crude rate of net migration,600,paraguay,py,31,1980,-909.0
crude rate of net migration,600,paraguay,py,32,1981,-783.0
crude rate of net migration,600,paraguay,py,33,1982,-838.0
crude rate of net migration,600,paraguay,py,34,1983,-851.0
crude rate of net migration,600,paraguay,py,35,1984,-1095.0
crude rate of net migration,600,paraguay,py,36,1985,-1007.0
crude rate of net migration,600,paraguay,py,37,1986,-951.0
crude rate of net migration,600,paraguay,py,38,1987,-0.92
crude rate of net migration,600,paraguay,py,39,1988,-925.0
crude rate of net migration,600,paraguay,py,40,1989,-1015.0
crude rate of net migration,600,paraguay,py,41,1990,-1154.0
crude rate of net migration,600,paraguay,py,42,1991,-1299.0
crude rate of net migration,600,paraguay,py,43,1992,-1409.0
crude rate of net migration,600,paraguay,py,44,1993,-1465.0
crude rate of net migration,600,paraguay,py,45,1994,-1555.0
crude rate of net migration,600,paraguay,py,46,1995,-1661.0
crude rate of net migration,600,paraguay,py,47,1996,-1754.0
crude rate of net migration,600,paraguay,py,48,1997,-1805.0
crude rate of net migration,600,paraguay,py,49,1998,-1883.0
crude rate of net migration,600,paraguay,py,50,1999,-2257.0
crude rate of net migration,600,paraguay,py,51,2000,-3095.0
crude rate of net migration,600,paraguay,py,52,2001,-5296.0
crude rate of net migration,600,paraguay,py,53,2002,-6.96
crude rate of net migration,600,paraguay,py,54,2003,-7434.0
crude rate of net migration,600,paraguay,py,55,2004,-7525.0
crude rate of net migration,600,paraguay,py,56,2005,-7669.0
crude rate of net migration,600,paraguay,py,57,2006,-8.02
crude rate of net migration,600,paraguay,py,58,2007,-8.18
crude rate of net migration,600,paraguay,py,59,2008,-7883.0
crude rate of net migration,600,paraguay,py,60,2009,-7009.0
crude rate of net migration,600,paraguay,py,61,2010,-4527.0
crude rate of net migration,600,paraguay,py,62,2011,-3491.0
crude rate of net migration,600,paraguay,py,63,2012,-2994.0
crude rate of net migration,600,paraguay,py,64,2013,-2866.0
crude rate of net migration,600,paraguay,py,65,2014,-2785.0
crude rate of net migration,600,paraguay,py,66,2015,-2721.0
crude rate of net migration,600,paraguay,py,67,2016,-2667.0
crude rate of net migration,600,paraguay,py,68,2017,-2613.0
crude rate of net migration,600,paraguay,py,69,2018,-2553.0
crude rate of net migration,600,paraguay,py,70,2019,-2489.0
crude rate of net migration,600,paraguay,py,71,2020,-1243.0
crude rate of net migration,600,paraguay,py,72,2021,-1227.0
crude rate of net migration,600,paraguay,py,73,2022,-1842.0
crude rate of net migration,600,paraguay,py,74,2023,-1.82
