indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,604,peru,pe,1,1950,956.0
total net number of migrants,604,peru,pe,2,1951,456.0
total net number of migrants,604,peru,pe,3,1952,-1959.0
total net number of migrants,604,peru,pe,4,1953,-6774.0
total net number of migrants,604,peru,pe,5,1954,-5850.0
total net number of migrants,604,peru,pe,6,1955,-6272.0
total net number of migrants,604,peru,pe,7,1956,-6582.0
total net number of migrants,604,peru,pe,8,1957,-7632.0
total net number of migrants,604,peru,pe,9,1958,-14723.0
total net number of migrants,604,peru,pe,10,1959,-5085.0
total net number of migrants,604,peru,pe,11,1960,-2026.0
total net number of migrants,604,peru,pe,12,1961,-375.0
total net number of migrants,604,peru,pe,13,1962,-4365.0
total net number of migrants,604,peru,pe,14,1963,-5288.0
total net number of migrants,604,peru,pe,15,1964,-4922.0
total net number of migrants,604,peru,pe,16,1965,-2311.0
total net number of migrants,604,peru,pe,17,1966,-6843.0
total net number of migrants,604,peru,pe,18,1967,-5432.0
total net number of migrants,604,peru,pe,19,1968,-7677.0
total net number of migrants,604,peru,pe,20,1969,-4045.0
total net number of migrants,604,peru,pe,21,1970,-649.0
total net number of migrants,604,peru,pe,22,1971,-20192.0
total net number of migrants,604,peru,pe,23,1972,-24131.0
total net number of migrants,604,peru,pe,24,1973,-28209.0
total net number of migrants,604,peru,pe,25,1974,-33516.0
total net number of migrants,604,peru,pe,26,1975,-34423.0
total net number of migrants,604,peru,pe,27,1976,-41650.0
total net number of migrants,604,peru,pe,28,1977,-20129.0
total net number of migrants,604,peru,pe,29,1978,-19936.0
total net number of migrants,604,peru,pe,30,1979,-17161.0
total net number of migrants,604,peru,pe,31,1980,-4806.0
total net number of migrants,604,peru,pe,32,1981,-15019.0
total net number of migrants,604,peru,pe,33,1982,-14261.0
total net number of migrants,604,peru,pe,34,1983,-7843.0
total net number of migrants,604,peru,pe,35,1984,-16863.0
total net number of migrants,604,peru,pe,36,1985,-23587.0
total net number of migrants,604,peru,pe,37,1986,-37880.0
total net number of migrants,604,peru,pe,38,1987,-40277.0
total net number of migrants,604,peru,pe,39,1988,-36127.0
total net number of migrants,604,peru,pe,40,1989,-37668.0
total net number of migrants,604,peru,pe,41,1990,-35982.0
total net number of migrants,604,peru,pe,42,1991,-61663.0
total net number of migrants,604,peru,pe,43,1992,-51779.0
total net number of migrants,604,peru,pe,44,1993,-51720.0
total net number of migrants,604,peru,pe,45,1994,-39297.0
total net number of migrants,604,peru,pe,46,1995,-46443.0
total net number of migrants,604,peru,pe,47,1996,-38694.0
total net number of migrants,604,peru,pe,48,1997,-32467.0
total net number of migrants,604,peru,pe,49,1998,-35941.0
total net number of migrants,604,peru,pe,50,1999,-60881.0
total net number of migrants,604,peru,pe,51,2000,-94554.0
total net number of migrants,604,peru,pe,52,2001,-128827.0
total net number of migrants,604,peru,pe,53,2002,-157162.0
total net number of migrants,604,peru,pe,54,2003,-181202.0
total net number of migrants,604,peru,pe,55,2004,-194133.0
total net number of migrants,604,peru,pe,56,2005,-221582.0
total net number of migrants,604,peru,pe,57,2006,-231739.0
total net number of migrants,604,peru,pe,58,2007,-236705.0
total net number of migrants,604,peru,pe,59,2008,-235263.0
total net number of migrants,604,peru,pe,60,2009,-219304.0
total net number of migrants,604,peru,pe,61,2010,-181284.0
total net number of migrants,604,peru,pe,62,2011,-148270.0
total net number of migrants,604,peru,pe,63,2012,-118758.0
total net number of migrants,604,peru,pe,64,2013,-95149.0
total net number of migrants,604,peru,pe,65,2014,-50381.0
total net number of migrants,604,peru,pe,66,2015,2462.0
total net number of migrants,604,peru,pe,67,2016,80725.0
total net number of migrants,604,peru,pe,68,2017,104242.0
total net number of migrants,604,peru,pe,69,2018,326831.0
total net number of migrants,604,peru,pe,70,2019,136558.0
total net number of migrants,604,peru,pe,71,2020,79456.0
total net number of migrants,604,peru,pe,72,2021,68012.0
total net number of migrants,604,peru,pe,73,2022,-60652.0
total net number of migrants,604,peru,pe,74,2023,-61442.0
