indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,620,portugal,pt,1,1950,-40177.0
total net number of migrants,620,portugal,pt,2,1951,-54187.0
total net number of migrants,620,portugal,pt,3,1952,-60201.0
total net number of migrants,620,portugal,pt,4,1953,-59438.0
total net number of migrants,620,portugal,pt,5,1954,-60674.0
total net number of migrants,620,portugal,pt,6,1955,-62944.0
total net number of migrants,620,portugal,pt,7,1956,-63038.0
total net number of migrants,620,portugal,pt,8,1957,-63643.0
total net number of migrants,620,portugal,pt,9,1958,-67333.0
total net number of migrants,620,portugal,pt,10,1959,-70745.0
total net number of migrants,620,portugal,pt,11,1960,-99337.0
total net number of migrants,620,portugal,pt,12,1961,-108748.0
total net number of migrants,620,portugal,pt,13,1962,-113654.0
total net number of migrants,620,portugal,pt,14,1963,-115226.0
total net number of migrants,620,portugal,pt,15,1964,-116960.0
total net number of migrants,620,portugal,pt,16,1965,-123211.0
total net number of migrants,620,portugal,pt,17,1966,-126471.0
total net number of migrants,620,portugal,pt,18,1967,-132757.0
total net number of migrants,620,portugal,pt,19,1968,-143420.0
total net number of migrants,620,portugal,pt,20,1969,-155330.0
total net number of migrants,620,portugal,pt,21,1970,-193554.0
total net number of migrants,620,portugal,pt,22,1971,56182.0
total net number of migrants,620,portugal,pt,23,1972,41305.0
total net number of migrants,620,portugal,pt,24,1973,44642.0
total net number of migrants,620,portugal,pt,25,1974,45390.0
total net number of migrants,620,portugal,pt,26,1975,43650.0
total net number of migrants,620,portugal,pt,27,1976,43767.0
total net number of migrants,620,portugal,pt,28,1977,42134.0
total net number of migrants,620,portugal,pt,29,1978,38455.0
total net number of migrants,620,portugal,pt,30,1979,36763.0
total net number of migrants,620,portugal,pt,31,1980,29423.0
total net number of migrants,620,portugal,pt,32,1981,-6136.0
total net number of migrants,620,portugal,pt,33,1982,-12429.0
total net number of migrants,620,portugal,pt,34,1983,-13806.0
total net number of migrants,620,portugal,pt,35,1984,-15283.0
total net number of migrants,620,portugal,pt,36,1985,-16080.0
total net number of migrants,620,portugal,pt,37,1986,-16732.0
total net number of migrants,620,portugal,pt,38,1987,-20860.0
total net number of migrants,620,portugal,pt,39,1988,-22820.0
total net number of migrants,620,portugal,pt,40,1989,-28937.0
total net number of migrants,620,portugal,pt,41,1990,-33704.0
total net number of migrants,620,portugal,pt,42,1991,-35318.0
total net number of migrants,620,portugal,pt,43,1992,-7612.0
total net number of migrants,620,portugal,pt,44,1993,11901.0
total net number of migrants,620,portugal,pt,45,1994,22141.0
total net number of migrants,620,portugal,pt,46,1995,30130.0
total net number of migrants,620,portugal,pt,47,1996,35377.0
total net number of migrants,620,portugal,pt,48,1997,39207.0
total net number of migrants,620,portugal,pt,49,1998,43501.0
total net number of migrants,620,portugal,pt,50,1999,49266.0
total net number of migrants,620,portugal,pt,51,2000,63195.0
total net number of migrants,620,portugal,pt,52,2001,57075.0
total net number of migrants,620,portugal,pt,53,2002,45651.0
total net number of migrants,620,portugal,pt,54,2003,28311.0
total net number of migrants,620,portugal,pt,55,2004,17114.0
total net number of migrants,620,portugal,pt,56,2005,17155.0
total net number of migrants,620,portugal,pt,57,2006,18775.0
total net number of migrants,620,portugal,pt,58,2007,21954.0
total net number of migrants,620,portugal,pt,59,2008,10008.0
total net number of migrants,620,portugal,pt,60,2009,15657.0
total net number of migrants,620,portugal,pt,61,2010,-11820.0
total net number of migrants,620,portugal,pt,62,2011,-24048.0
total net number of migrants,620,portugal,pt,63,2012,-37448.0
total net number of migrants,620,portugal,pt,64,2013,-36657.0
total net number of migrants,620,portugal,pt,65,2014,-30033.0
total net number of migrants,620,portugal,pt,66,2015,-10124.0
total net number of migrants,620,portugal,pt,67,2016,-8128.0
total net number of migrants,620,portugal,pt,68,2017,5244.0
total net number of migrants,620,portugal,pt,69,2018,10177.0
total net number of migrants,620,portugal,pt,70,2019,43656.0
total net number of migrants,620,portugal,pt,71,2020,40535.0
total net number of migrants,620,portugal,pt,72,2021,27295.0
total net number of migrants,620,portugal,pt,73,2022,9999.0
total net number of migrants,620,portugal,pt,74,2023,9999.0
