indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,634,qatar,qa,1,1950,0.0
total net number of migrants,634,qatar,qa,2,1951,0.0
total net number of migrants,634,qatar,qa,3,1952,0.0
total net number of migrants,634,qatar,qa,4,1953,0.0
total net number of migrants,634,qatar,qa,5,1954,13.0
total net number of migrants,634,qatar,qa,6,1955,38.0
total net number of migrants,634,qatar,qa,7,1956,85.0
total net number of migrants,634,qatar,qa,8,1957,187.0
total net number of migrants,634,qatar,qa,9,1958,393.0
total net number of migrants,634,qatar,qa,10,1959,788.0
total net number of migrants,634,qatar,qa,11,1960,1586.0
total net number of migrants,634,qatar,qa,12,1961,3177.0
total net number of migrants,634,qatar,qa,13,1962,3771.0
total net number of migrants,634,qatar,qa,14,1963,4278.0
total net number of migrants,634,qatar,qa,15,1964,4684.0
total net number of migrants,634,qatar,qa,16,1965,5082.0
total net number of migrants,634,qatar,qa,17,1966,5880.0
total net number of migrants,634,qatar,qa,18,1967,6637.0
total net number of migrants,634,qatar,qa,19,1968,7270.0
total net number of migrants,634,qatar,qa,20,1969,7790.0
total net number of migrants,634,qatar,qa,21,1970,10398.0
total net number of migrants,634,qatar,qa,22,1971,10404.0
total net number of migrants,634,qatar,qa,23,1972,10381.0
total net number of migrants,634,qatar,qa,24,1973,10298.0
total net number of migrants,634,qatar,qa,25,1974,10201.0
total net number of migrants,634,qatar,qa,26,1975,10070.0
total net number of migrants,634,qatar,qa,27,1976,9953.0
total net number of migrants,634,qatar,qa,28,1977,9803.0
total net number of migrants,634,qatar,qa,29,1978,9711.0
total net number of migrants,634,qatar,qa,30,1979,9670.0
total net number of migrants,634,qatar,qa,31,1980,9672.0
total net number of migrants,634,qatar,qa,32,1981,9667.0
total net number of migrants,634,qatar,qa,33,1982,9580.0
total net number of migrants,634,qatar,qa,34,1983,9319.0
total net number of migrants,634,qatar,qa,35,1984,8941.0
total net number of migrants,634,qatar,qa,36,1985,8632.0
total net number of migrants,634,qatar,qa,37,1986,6348.0
total net number of migrants,634,qatar,qa,38,1987,5396.0
total net number of migrants,634,qatar,qa,39,1988,5049.0
total net number of migrants,634,qatar,qa,40,1989,4904.0
total net number of migrants,634,qatar,qa,41,1990,5021.0
total net number of migrants,634,qatar,qa,42,1991,5494.0
total net number of migrants,634,qatar,qa,43,1992,5451.0
total net number of migrants,634,qatar,qa,44,1993,5250.0
total net number of migrants,634,qatar,qa,45,1994,5106.0
total net number of migrants,634,qatar,qa,46,1995,4893.0
total net number of migrants,634,qatar,qa,47,1996,4552.0
total net number of migrants,634,qatar,qa,48,1997,19387.0
total net number of migrants,634,qatar,qa,49,1998,22500.0
total net number of migrants,634,qatar,qa,50,1999,22364.0
total net number of migrants,634,qatar,qa,51,2000,22039.0
total net number of migrants,634,qatar,qa,52,2001,21641.0
total net number of migrants,634,qatar,qa,53,2002,24200.0
total net number of migrants,634,qatar,qa,54,2003,23444.0
total net number of migrants,634,qatar,qa,55,2004,12430.0
total net number of migrants,634,qatar,qa,56,2005,106609.0
total net number of migrants,634,qatar,qa,57,2006,203572.0
total net number of migrants,634,qatar,qa,58,2007,206156.0
total net number of migrants,634,qatar,qa,59,2008,192654.0
total net number of migrants,634,qatar,qa,60,2009,111510.0
total net number of migrants,634,qatar,qa,61,2010,64531.0
total net number of migrants,634,qatar,qa,62,2011,82815.0
total net number of migrants,634,qatar,qa,63,2012,83444.0
total net number of migrants,634,qatar,qa,64,2013,137597.0
total net number of migrants,634,qatar,qa,65,2014,179768.0
total net number of migrants,634,qatar,qa,66,2015,178133.0
total net number of migrants,634,qatar,qa,67,2016,138455.0
total net number of migrants,634,qatar,qa,68,2017,46900.0
total net number of migrants,634,qatar,qa,69,2018,11662.0
total net number of migrants,634,qatar,qa,70,2019,15493.0
total net number of migrants,634,qatar,qa,71,2020,-163999.0
total net number of migrants,634,qatar,qa,72,2021,-30801.0
total net number of migrants,634,qatar,qa,73,2022,0.0
total net number of migrants,634,qatar,qa,74,2023,0.0
