indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,498,republic of moldova,md,1,1950,10632.0
crude rate of net migration,498,republic of moldova,md,2,1951,10963.0
crude rate of net migration,498,republic of moldova,md,3,1952,11368.0
crude rate of net migration,498,republic of moldova,md,4,1953,11846.0
crude rate of net migration,498,republic of moldova,md,5,1954,12207.0
crude rate of net migration,498,republic of moldova,md,6,1955,12286.0
crude rate of net migration,498,republic of moldova,md,7,1956,12128.0
crude rate of net migration,498,republic of moldova,md,8,1957,11722.0
crude rate of net migration,498,republic of moldova,md,9,1958,11005.0
crude rate of net migration,498,republic of moldova,md,10,1959,9914.0
crude rate of net migration,498,republic of moldova,md,11,1960,9007.0
crude rate of net migration,498,republic of moldova,md,12,1961,7968.0
crude rate of net migration,498,republic of moldova,md,13,1962,6913.0
crude rate of net migration,498,republic of moldova,md,14,1963,5946.0
crude rate of net migration,498,republic of moldova,md,15,1964,5116.0
crude rate of net migration,498,republic of moldova,md,16,1965,4385.0
crude rate of net migration,498,republic of moldova,md,17,1966,3798.0
crude rate of net migration,498,republic of moldova,md,18,1967,3239.0
crude rate of net migration,498,republic of moldova,md,19,1968,2847.0
crude rate of net migration,498,republic of moldova,md,20,1969,2309.0
crude rate of net migration,498,republic of moldova,md,21,1970,1727.0
crude rate of net migration,498,republic of moldova,md,22,1971,1285.0
crude rate of net migration,498,republic of moldova,md,23,1972,941.0
crude rate of net migration,498,republic of moldova,md,24,1973,855.0
crude rate of net migration,498,republic of moldova,md,25,1974,694.0
crude rate of net migration,498,republic of moldova,md,26,1975,0.71
crude rate of net migration,498,republic of moldova,md,27,1976,531.0
crude rate of net migration,498,republic of moldova,md,28,1977,257.0
crude rate of net migration,498,republic of moldova,md,29,1978,-195.0
crude rate of net migration,498,republic of moldova,md,30,1979,-742.0
crude rate of net migration,498,republic of moldova,md,31,1980,-933.0
crude rate of net migration,498,republic of moldova,md,32,1981,-1162.0
crude rate of net migration,498,republic of moldova,md,33,1982,-1297.0
crude rate of net migration,498,republic of moldova,md,34,1983,-1382.0
crude rate of net migration,498,republic of moldova,md,35,1984,-1478.0
crude rate of net migration,498,republic of moldova,md,36,1985,-1489.0
crude rate of net migration,498,republic of moldova,md,37,1986,-1722.0
crude rate of net migration,498,republic of moldova,md,38,1987,-1887.0
crude rate of net migration,498,republic of moldova,md,39,1988,-2186.0
crude rate of net migration,498,republic of moldova,md,40,1989,-2742.0
crude rate of net migration,498,republic of moldova,md,41,1990,-3327.0
crude rate of net migration,498,republic of moldova,md,42,1991,-3662.0
crude rate of net migration,498,republic of moldova,md,43,1992,-3965.0
crude rate of net migration,498,republic of moldova,md,44,1993,-4277.0
crude rate of net migration,498,republic of moldova,md,45,1994,-4797.0
crude rate of net migration,498,republic of moldova,md,46,1995,-5597.0
crude rate of net migration,498,republic of moldova,md,47,1996,-6564.0
crude rate of net migration,498,republic of moldova,md,48,1997,-7749.0
crude rate of net migration,498,republic of moldova,md,49,1998,-9262.0
crude rate of net migration,498,republic of moldova,md,50,1999,-10972.0
crude rate of net migration,498,republic of moldova,md,51,2000,-10394.0
crude rate of net migration,498,republic of moldova,md,52,2001,-10922.0
crude rate of net migration,498,republic of moldova,md,53,2002,-11258.0
crude rate of net migration,498,republic of moldova,md,54,2003,-12.11
crude rate of net migration,498,republic of moldova,md,55,2004,-9956.0
crude rate of net migration,498,republic of moldova,md,56,2005,-12731.0
crude rate of net migration,498,republic of moldova,md,57,2006,-17122.0
crude rate of net migration,498,republic of moldova,md,58,2007,-17713.0
crude rate of net migration,498,republic of moldova,md,59,2008,-18234.0
crude rate of net migration,498,republic of moldova,md,60,2009,-18736.0
crude rate of net migration,498,republic of moldova,md,61,2010,-23236.0
crude rate of net migration,498,republic of moldova,md,62,2011,-24398.0
crude rate of net migration,498,republic of moldova,md,63,2012,-25622.0
crude rate of net migration,498,republic of moldova,md,64,2013,-26182.0
crude rate of net migration,498,republic of moldova,md,65,2014,-19916.0
crude rate of net migration,498,republic of moldova,md,66,2015,-17964.0
crude rate of net migration,498,republic of moldova,md,67,2016,-15885.0
crude rate of net migration,498,republic of moldova,md,68,2017,-13704.0
crude rate of net migration,498,republic of moldova,md,69,2018,-11423.0
crude rate of net migration,498,republic of moldova,md,70,2019,-9071.0
crude rate of net migration,498,republic of moldova,md,71,2020,-4619.0
crude rate of net migration,498,republic of moldova,md,72,2021,-4653.0
crude rate of net migration,498,republic of moldova,md,73,2022,152203.0
crude rate of net migration,498,republic of moldova,md,74,2023,-35768.0
