indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,642,romania,ro,1,1950,11267.0
total net number of migrants,642,romania,ro,2,1951,-5064.0
total net number of migrants,642,romania,ro,3,1952,-20768.0
total net number of migrants,642,romania,ro,4,1953,-32792.0
total net number of migrants,642,romania,ro,5,1954,-38471.0
total net number of migrants,642,romania,ro,6,1955,-44099.0
total net number of migrants,642,romania,ro,7,1956,-12173.0
total net number of migrants,642,romania,ro,8,1957,-9893.0
total net number of migrants,642,romania,ro,9,1958,-24163.0
total net number of migrants,642,romania,ro,10,1959,10327.0
total net number of migrants,642,romania,ro,11,1960,-24974.0
total net number of migrants,642,romania,ro,12,1961,-650.0
total net number of migrants,642,romania,ro,13,1962,6071.0
total net number of migrants,642,romania,ro,14,1963,-18074.0
total net number of migrants,642,romania,ro,15,1964,-16856.0
total net number of migrants,642,romania,ro,16,1965,-12261.0
total net number of migrants,642,romania,ro,17,1966,-16716.0
total net number of migrants,642,romania,ro,18,1967,-181606.0
total net number of migrants,642,romania,ro,19,1968,-144389.0
total net number of migrants,642,romania,ro,20,1969,-52807.0
total net number of migrants,642,romania,ro,21,1970,-10510.0
total net number of migrants,642,romania,ro,22,1971,28445.0
total net number of migrants,642,romania,ro,23,1972,52257.0
total net number of migrants,642,romania,ro,24,1973,80665.0
total net number of migrants,642,romania,ro,25,1974,53621.0
total net number of migrants,642,romania,ro,26,1975,58626.0
total net number of migrants,642,romania,ro,27,1976,77674.0
total net number of migrants,642,romania,ro,28,1977,-27834.0
total net number of migrants,642,romania,ro,29,1978,-31297.0
total net number of migrants,642,romania,ro,30,1979,-29008.0
total net number of migrants,642,romania,ro,31,1980,-19516.0
total net number of migrants,642,romania,ro,32,1981,-23851.0
total net number of migrants,642,romania,ro,33,1982,-10995.0
total net number of migrants,642,romania,ro,34,1983,-8009.0
total net number of migrants,642,romania,ro,35,1984,-34940.0
total net number of migrants,642,romania,ro,36,1985,-29179.0
total net number of migrants,642,romania,ro,37,1986,-50569.0
total net number of migrants,642,romania,ro,38,1987,-44277.0
total net number of migrants,642,romania,ro,39,1988,-48425.0
total net number of migrants,642,romania,ro,40,1989,-31258.0
total net number of migrants,642,romania,ro,41,1990,-39265.0
total net number of migrants,642,romania,ro,42,1991,-32488.0
total net number of migrants,642,romania,ro,43,1992,-76545.0
total net number of migrants,642,romania,ro,44,1993,-76366.0
total net number of migrants,642,romania,ro,45,1994,-80789.0
total net number of migrants,642,romania,ro,46,1995,-75823.0
total net number of migrants,642,romania,ro,47,1996,-70462.0
total net number of migrants,642,romania,ro,48,1997,-88880.0
total net number of migrants,642,romania,ro,49,1998,-89939.0
total net number of migrants,642,romania,ro,50,1999,-85301.0
total net number of migrants,642,romania,ro,51,2000,-91807.0
total net number of migrants,642,romania,ro,52,2001,-87561.0
total net number of migrants,642,romania,ro,53,2002,-101632.0
total net number of migrants,642,romania,ro,54,2003,-97597.0
total net number of migrants,642,romania,ro,55,2004,-106593.0
total net number of migrants,642,romania,ro,56,2005,-129933.0
total net number of migrants,642,romania,ro,57,2006,-125012.0
total net number of migrants,642,romania,ro,58,2007,-127609.0
total net number of migrants,642,romania,ro,59,2008,-138327.0
total net number of migrants,642,romania,ro,60,2009,-129392.0
total net number of migrants,642,romania,ro,61,2010,-112173.0
total net number of migrants,642,romania,ro,62,2011,-47867.0
total net number of migrants,642,romania,ro,63,2012,-21485.0
total net number of migrants,642,romania,ro,64,2013,-13890.0
total net number of migrants,642,romania,ro,65,2014,-20445.0
total net number of migrants,642,romania,ro,66,2015,-49612.0
total net number of migrants,642,romania,ro,67,2016,-64002.0
total net number of migrants,642,romania,ro,68,2017,-58735.0
total net number of migrants,642,romania,ro,69,2018,-57865.0
total net number of migrants,642,romania,ro,70,2019,-25453.0
total net number of migrants,642,romania,ro,71,2020,-12724.0
total net number of migrants,642,romania,ro,72,2021,-12724.0
total net number of migrants,642,romania,ro,73,2022,916813.0
total net number of migrants,642,romania,ro,74,2023,-254616.0
