indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,646,rwanda,rw,1,1950,538.0
crude rate of net migration,646,rwanda,rw,2,1951,448.0
crude rate of net migration,646,rwanda,rw,3,1952,139.0
crude rate of net migration,646,rwanda,rw,4,1953,-435.0
crude rate of net migration,646,rwanda,rw,5,1954,-307.0
crude rate of net migration,646,rwanda,rw,6,1955,-324.0
crude rate of net migration,646,rwanda,rw,7,1956,-328.0
crude rate of net migration,646,rwanda,rw,8,1957,-411.0
crude rate of net migration,646,rwanda,rw,9,1958,-1392.0
crude rate of net migration,646,rwanda,rw,10,1959,-2173.0
crude rate of net migration,646,rwanda,rw,11,1960,-4441.0
crude rate of net migration,646,rwanda,rw,12,1961,-6718.0
crude rate of net migration,646,rwanda,rw,13,1962,-8175.0
crude rate of net migration,646,rwanda,rw,14,1963,-7978.0
crude rate of net migration,646,rwanda,rw,15,1964,-5954.0
crude rate of net migration,646,rwanda,rw,16,1965,-2918.0
crude rate of net migration,646,rwanda,rw,17,1966,-564.0
crude rate of net migration,646,rwanda,rw,18,1967,1311.0
crude rate of net migration,646,rwanda,rw,19,1968,47119.0
crude rate of net migration,646,rwanda,rw,20,1969,0.79
crude rate of net migration,646,rwanda,rw,21,1970,297.0
crude rate of net migration,646,rwanda,rw,22,1971,-1048.0
crude rate of net migration,646,rwanda,rw,23,1972,-1002.0
crude rate of net migration,646,rwanda,rw,24,1973,-906.0
crude rate of net migration,646,rwanda,rw,25,1974,-1032.0
crude rate of net migration,646,rwanda,rw,26,1975,-1.06
crude rate of net migration,646,rwanda,rw,27,1976,-1512.0
crude rate of net migration,646,rwanda,rw,28,1977,-2316.0
crude rate of net migration,646,rwanda,rw,29,1978,-2809.0
crude rate of net migration,646,rwanda,rw,30,1979,-684.0
crude rate of net migration,646,rwanda,rw,31,1980,883.0
crude rate of net migration,646,rwanda,rw,32,1981,2618.0
crude rate of net migration,646,rwanda,rw,33,1982,2232.0
crude rate of net migration,646,rwanda,rw,34,1983,-2498.0
crude rate of net migration,646,rwanda,rw,35,1984,-3089.0
crude rate of net migration,646,rwanda,rw,36,1985,641.0
crude rate of net migration,646,rwanda,rw,37,1986,2771.0
crude rate of net migration,646,rwanda,rw,38,1987,1577.0
crude rate of net migration,646,rwanda,rw,39,1988,-3828.0
crude rate of net migration,646,rwanda,rw,40,1989,-6533.0
crude rate of net migration,646,rwanda,rw,41,1990,-4324.0
crude rate of net migration,646,rwanda,rw,42,1991,-6403.0
crude rate of net migration,646,rwanda,rw,43,1992,451.0
crude rate of net migration,646,rwanda,rw,44,1993,16088.0
crude rate of net migration,646,rwanda,rw,45,1994,-276964.0
crude rate of net migration,646,rwanda,rw,46,1995,81107.0
crude rate of net migration,646,rwanda,rw,47,1996,227.55
crude rate of net migration,646,rwanda,rw,48,1997,31755.0
crude rate of net migration,646,rwanda,rw,49,1998,-10561.0
crude rate of net migration,646,rwanda,rw,50,1999,-12139.0
crude rate of net migration,646,rwanda,rw,51,2000,-12237.0
crude rate of net migration,646,rwanda,rw,52,2001,-11118.0
crude rate of net migration,646,rwanda,rw,53,2002,-5716.0
crude rate of net migration,646,rwanda,rw,54,2003,-2029.0
crude rate of net migration,646,rwanda,rw,55,2004,-2151.0
crude rate of net migration,646,rwanda,rw,56,2005,-2.55
crude rate of net migration,646,rwanda,rw,57,2006,-2176.0
crude rate of net migration,646,rwanda,rw,58,2007,-1859.0
crude rate of net migration,646,rwanda,rw,59,2008,-1724.0
crude rate of net migration,646,rwanda,rw,60,2009,-1504.0
crude rate of net migration,646,rwanda,rw,61,2010,-814.0
crude rate of net migration,646,rwanda,rw,62,2011,-506.0
crude rate of net migration,646,rwanda,rw,63,2012,-1366.0
crude rate of net migration,646,rwanda,rw,64,2013,-1425.0
crude rate of net migration,646,rwanda,rw,65,2014,-1321.0
crude rate of net migration,646,rwanda,rw,66,2015,-1242.0
crude rate of net migration,646,rwanda,rw,67,2016,-218.0
crude rate of net migration,646,rwanda,rw,68,2017,-422.0
crude rate of net migration,646,rwanda,rw,69,2018,-861.0
crude rate of net migration,646,rwanda,rw,70,2019,-921.0
crude rate of net migration,646,rwanda,rw,71,2020,-0.12
crude rate of net migration,646,rwanda,rw,72,2021,-454.0
crude rate of net migration,646,rwanda,rw,73,2022,-653.0
crude rate of net migration,646,rwanda,rw,74,2023,-638.0
