indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,638,réunion,re,1,1950,6962.0
crude rate of net migration,638,réunion,re,2,1951,4597.0
crude rate of net migration,638,réunion,re,3,1952,6447.0
crude rate of net migration,638,réunion,re,4,1953,4283.0
crude rate of net migration,638,réunion,re,5,1954,8647.0
crude rate of net migration,638,réunion,re,6,1955,8122.0
crude rate of net migration,638,réunion,re,7,1956,7867.0
crude rate of net migration,638,réunion,re,8,1957,8812.0
crude rate of net migration,638,réunion,re,9,1958,47331.0
crude rate of net migration,638,réunion,re,10,1959,8071.0
crude rate of net migration,638,réunion,re,11,1960,7007.0
crude rate of net migration,638,réunion,re,12,1961,3071.0
crude rate of net migration,638,réunion,re,13,1962,-168.0
crude rate of net migration,638,réunion,re,14,1963,-1401.0
crude rate of net migration,638,réunion,re,15,1964,-947.0
crude rate of net migration,638,réunion,re,16,1965,-7604.0
crude rate of net migration,638,réunion,re,17,1966,-8466.0
crude rate of net migration,638,réunion,re,18,1967,-8061.0
crude rate of net migration,638,réunion,re,19,1968,-4691.0
crude rate of net migration,638,réunion,re,20,1969,-4565.0
crude rate of net migration,638,réunion,re,21,1970,-1745.0
crude rate of net migration,638,réunion,re,22,1971,-2024.0
crude rate of net migration,638,réunion,re,23,1972,-2948.0
crude rate of net migration,638,réunion,re,24,1973,-4096.0
crude rate of net migration,638,réunion,re,25,1974,-5423.0
crude rate of net migration,638,réunion,re,26,1975,-4928.0
crude rate of net migration,638,réunion,re,27,1976,-4725.0
crude rate of net migration,638,réunion,re,28,1977,-4717.0
crude rate of net migration,638,réunion,re,29,1978,-4695.0
crude rate of net migration,638,réunion,re,30,1979,-4627.0
crude rate of net migration,638,réunion,re,31,1980,-4529.0
crude rate of net migration,638,réunion,re,32,1981,-3423.0
crude rate of net migration,638,réunion,re,33,1982,-1036.0
crude rate of net migration,638,réunion,re,34,1983,608.0
crude rate of net migration,638,réunion,re,35,1984,1014.0
crude rate of net migration,638,réunion,re,36,1985,42005.0
crude rate of net migration,638,réunion,re,37,1986,1235.0
crude rate of net migration,638,réunion,re,38,1987,1235.0
crude rate of net migration,638,réunion,re,39,1988,1187.0
crude rate of net migration,638,réunion,re,40,1989,1527.0
crude rate of net migration,638,réunion,re,41,1990,2304.0
crude rate of net migration,638,réunion,re,42,1991,45171.0
crude rate of net migration,638,réunion,re,43,1992,3065.0
crude rate of net migration,638,réunion,re,44,1993,3122.0
crude rate of net migration,638,réunion,re,45,1994,3122.0
crude rate of net migration,638,réunion,re,46,1995,3099.0
crude rate of net migration,638,réunion,re,47,1996,3031.0
crude rate of net migration,638,réunion,re,48,1997,2952.0
crude rate of net migration,638,réunion,re,49,1998,1838.0
crude rate of net migration,638,réunion,re,50,1999,-477.0
crude rate of net migration,638,réunion,re,51,2000,-1931.0
crude rate of net migration,638,réunion,re,52,2001,-2095.0
crude rate of net migration,638,réunion,re,53,2002,-2006.0
crude rate of net migration,638,réunion,re,54,2003,-1907.0
crude rate of net migration,638,réunion,re,55,2004,-2754.0
crude rate of net migration,638,réunion,re,56,2005,-3028.0
crude rate of net migration,638,réunion,re,57,2006,3705.0
crude rate of net migration,638,réunion,re,58,2007,12540.0
crude rate of net migration,638,réunion,re,59,2008,-1227.0
crude rate of net migration,638,réunion,re,60,2009,-4003.0
crude rate of net migration,638,réunion,re,61,2010,-5367.0
crude rate of net migration,638,réunion,re,62,2011,-5051.0
crude rate of net migration,638,réunion,re,63,2012,-7521.0
crude rate of net migration,638,réunion,re,64,2013,-6307.0
crude rate of net migration,638,réunion,re,65,2014,0.0
crude rate of net migration,638,réunion,re,66,2015,-6644.0
crude rate of net migration,638,réunion,re,67,2016,-7218.0
crude rate of net migration,638,réunion,re,68,2017,-1455.0
crude rate of net migration,638,réunion,re,69,2018,-1254.0
crude rate of net migration,638,réunion,re,70,2019,-1066.0
crude rate of net migration,638,réunion,re,71,2020,-442.0
crude rate of net migration,638,réunion,re,72,2021,-438.0
crude rate of net migration,638,réunion,re,73,2022,-647.0
crude rate of net migration,638,réunion,re,74,2023,-641.0
